ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-15,1,21.355,WAS,@,CHI,W 38-28,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,245,49.00,0
2,1968,1968-09-22,2,21.362,WAS,@,NOR,L 17-37,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,233,38.83,1
3,1968,1968-09-29,3,22.003,WAS,@,NYG,L 21-48,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,110,55.00,0
4,1968,1968-10-06,4,22.010,WAS,,PHI,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,298,49.67,0
5,1968,1968-10-13,5,22.017,WAS,,PIT,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,182,45.50,0
6,1968,1968-10-20,6,22.024,WAS,@,STL,L 14-41,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,86,43.00,0
7,1968,1968-10-27,7,22.031,WAS,,NYG,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,207,41.40,0
8,1968,1968-11-03,8,22.038,WAS,@,MIN,L 14-27,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,348,43.50,1
9,1968,1968-11-10,9,22.045,WAS,@,PHI,W 16-10,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,152,30.40,0
10,1968,1968-11-17,10,22.052,WAS,,DAL,L 24-44,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,9,401,44.56,0
11,1968,1968-11-24,11,22.059,WAS,,GNB,L 7-27,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,310,44.29,0
12,1968,1968-11-28,12,22.063,WAS,@,DAL,L 20-29,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,217,43.40,0
13,1968,1968-12-08,13,22.073,WAS,,CLE,L 21-24,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,260,43.33,0
14,1968,1968-12-15,14,22.080,WAS,,DET,W 14-3,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,238,39.67,0
15,1969,1969-09-21,1,22.360,WAS,@,NOR,W 26-20,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,264,44.00,0
16,1969,1969-09-28,2,23.002,WAS,@,CLE,L 23-27,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,183,45.75,0
17,1969,1969-10-05,3,23.009,WAS,@,SFO,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,198,49.50,0
18,1969,1969-10-12,4,23.016,WAS,,STL,W 33-17,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,229,45.80,0
19,1969,1969-10-19,5,23.023,WAS,,NYG,W 20-14,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,127,42.33,0
20,1969,1969-10-26,6,23.030,WAS,@,PIT,W 14-7,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,9,381,42.33,0
21,1969,1969-11-02,7,23.037,WAS,@,BAL,L 17-41,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,88,29.33,1
22,1969,1969-11-09,8,23.044,WAS,,PHI,T 28-28,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,324,46.29,0
23,1969,1969-11-16,9,23.051,WAS,,DAL,L 28-41,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,138,46.00,0
24,1969,1969-11-23,10,23.058,WAS,,ATL,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,125,31.25,0
25,1969,1969-11-30,11,23.065,WAS,,RAM,L 13-24,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,317,39.63,1
26,1969,1969-12-07,12,23.072,WAS,@,PHI,W 34-29,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,201,40.20,0
27,1969,1969-12-14,13,23.079,WAS,,NOR,W 17-14,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,180,45.00,0
28,1969,1969-12-21,14,23.086,WAS,@,DAL,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,202,40.40,0
29,1970,1970-09-20,1,23.359,WAS,@,SFO,L 17-26,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,290,41.43,0
30,1970,1970-09-27,2,24.001,WAS,@,STL,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,167,41.75,0
31,1970,1970-10-04,3,24.008,WAS,@,PHI,W 33-21,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,163,40.75,0
32,1970,1970-10-11,4,24.015,WAS,,DET,W 31-10,1,-15,-15.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,88,44.00,0
33,1970,1970-10-19,5,24.023,WAS,@,OAK,L 20-34,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,0,4,149,37.25,0
34,1970,1970-10-25,6,24.029,WAS,,CIN,W 20-0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,249,49.80,0
35,1970,1970-11-01,7,24.036,WAS,@,DEN,W 19-3,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,287,47.83,0
36,1970,1970-11-08,8,24.043,WAS,,MIN,L 10-19,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,41,20.50,1
37,1970,1970-11-15,9,24.050,WAS,@,NYG,L 33-35,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,127,42.33,0
38,1970,1970-11-22,10,24.057,WAS,,DAL,L 21-45,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,200,33.33,0
39,1970,1970-11-29,11,24.064,WAS,,NYG,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,177,44.25,0
40,1970,1970-12-06,12,24.071,WAS,@,DAL,L 0-34,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,279,46.50,0
41,1970,1970-12-13,13,24.078,WAS,,PHI,W 24-6,1,40,40.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,99,33.00,0
