ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1996,1996-09-01,1,24.172,NYG,,BUF,L 20-23,,0,0,,0,0.0%,,0,0,,0
2,1996,1996-09-08,2,24.179,NYG,@,DAL,L 0-27,,0,0,,0,0.0%,,0,0,,0
3,1996,1996-09-15,3,24.186,NYG,,WAS,L 10-31,0,0,0,,0,0.0%,,0,0,,0
4,1996,1996-09-22,4,24.193,NYG,@,NYJ,W 13-6,,0,0,,0,0.0%,,0,0,,0
5,1996,1996-09-29,5,24.200,NYG,,MIN,W 15-10,,0,0,,0,0.0%,,0,0,,0
6,1996,1996-10-13,6,24.214,NYG,,PHI,L 10-19,0,0,0,,0,0.0%,,1,12,12.00,0
7,1996,1996-10-20,7,24.221,NYG,@,WAS,L 21-31,,0,0,,0,0.0%,,0,0,,0
8,1996,1996-10-27,8,24.228,NYG,@,DET,W 35-7,,0,0,,0,0.0%,,0,0,,0
9,1996,1996-11-03,9,24.235,NYG,,ARI,W 16-8,,0,0,,0,0.0%,,0,0,,0
10,1996,1996-11-10,10,24.242,NYG,@,CAR,L 17-27,1,0,0,,0,0.0%,0.00,0,0,,0
11,1996,1996-11-17,11,24.249,NYG,@,ARI,L 23-31,5,2,14,7.00,0,40.0%,2.80,0,0,,0
12,1996,1996-11-24,12,24.256,NYG,,DAL,W 20-6,,0,0,,0,0.0%,,0,0,,0
13,1996,1996-12-01,13,24.263,NYG,@,PHI,L 0-24,1,0,0,,0,0.0%,0.00,1,9,9.00,0
14,1996,1996-12-08,14,24.270,NYG,@,MIA,W 17-7,1,1,14,14.00,0,100.0%,14.00,0,0,,0
15,1996,1996-12-15,15,24.277,NYG,,NOR,L 3-17,3,1,3,3.00,0,33.3%,1.00,0,0,,0
16,1996,1996-12-21,16,24.283,NYG,,NWE,L 22-23,0,0,0,,0,0.0%,,1,10,10.00,0
17,1997,1997-12-07,14,25.269,ATL,@,SDG,W 14-3,,,,,,0.0%,,,,,
18,1997,1997-12-14,15,25.276,ATL,,PHI,W 20-17,,,,,,0.0%,,,,,
19,1997,1997-12-21,16,25.283,ATL,@,ARI,L 26-29,,,,,,0.0%,,,,,
