ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1986,1986-09-07,1,23.015,KAN,,CIN,W 24-14,6,209,34.83,0
2,1986,1986-09-14,2,23.022,KAN,@,SEA,L 17-23,5,212,42.40,0
3,1986,1986-09-21,3,23.029,KAN,,HOU,W 27-13,9,382,42.44,0
4,1986,1986-09-28,4,23.036,KAN,@,BUF,W 20-17,4,154,38.50,0
5,1986,1986-10-05,5,23.043,KAN,,RAI,L 17-24,6,256,42.67,0
6,1986,1986-10-12,6,23.050,KAN,@,CLE,L 7-20,8,374,46.75,0
7,1986,1986-10-19,7,23.057,KAN,,SDG,W 42-41,8,315,39.38,0
8,1986,1986-10-26,8,23.064,KAN,,TAM,W 27-20,3,115,38.33,0
9,1986,1986-11-02,9,23.071,KAN,@,SDG,W 24-23,5,234,46.80,0
10,1986,1986-11-09,10,23.078,KAN,,SEA,W 27-7,6,228,38.00,0
11,1986,1986-11-16,11,23.085,KAN,@,DEN,L 17-38,8,329,41.13,0
12,1986,1986-11-23,12,23.092,KAN,@,STL,L 14-23,6,237,39.50,0
13,1986,1986-11-30,13,23.099,KAN,,BUF,L 14-17,4,160,40.00,0
14,1986,1986-12-07,14,23.106,KAN,,DEN,W 37-10,7,273,39.00,0
15,1986,1986-12-14,15,23.113,KAN,@,RAI,W 20-17,6,256,42.67,0
16,1986,1986-12-21,16,23.120,KAN,@,PIT,W 24-19,8,299,37.38,0
17,1987,1987-09-13,1,24.021,KAN,,SDG,W 20-13,6,235,39.17,0
18,1987,1987-09-20,2,24.028,KAN,@,SEA,L 14-43,4,142,35.50,0
19,1989,1989-09-10,1,26.018,SDG,@,RAI,L 14-40,6,206,34.33,0
20,1989,1989-09-17,2,26.025,SDG,,HOU,L 27-34,2,60,30.00,0
