ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2002,2002-09-08,1,23.006,PHI,@,TEN,L 24-27,,8,42,5.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
2,2002,2002-09-16,2,23.014,PHI,@,WAS,W 37-7,*,2,12,6.00,0,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
3,2002,2002-09-22,3,23.020,PHI,,DAL,W 44-13,,4,0,0.00,0,1,1,13,13.00,0,100.0%,13.00,1,1,100.00,25,1,0,158.3,0,0,25.00,45.00,0,0,,0,0,0,,0,0,0
4,2002,2002-09-29,4,23.027,PHI,,HOU,W 35-17,,4,7,1.75,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
5,2002,2002-10-06,5,23.034,PHI,@,JAX,L 25-28,,1,1,1.00,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
6,2002,2002-10-20,6,23.048,PHI,,TAM,W 20-10,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
7,2002,2002-10-28,7,23.056,PHI,,NYG,W 17-3,,3,29,9.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
8,2002,2002-11-03,8,23.062,PHI,@,CHI,W 19-13,*,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
9,2002,2002-11-10,9,23.069,PHI,,IND,L 13-35,,1,-1,-1.00,0,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
10,2002,2002-11-17,10,23.076,PHI,,ARI,W 38-14,,4,16,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
11,2002,2002-11-25,11,23.084,PHI,@,SFO,W 38-17,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
12,2002,2002-12-01,12,23.090,PHI,,STL,W 10-3,,1,4,4.00,0,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
13,2002,2002-12-08,13,23.097,PHI,@,SEA,W 27-20,*,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
14,2002,2002-12-21,15,23.110,PHI,@,DAL,W 27-3,,8,55,6.88,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
15,2002,2002-12-28,16,23.117,PHI,@,NYG,L 7-10,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,,
16,2003,2003-09-08,1,24.006,PHI,,TAM,L 0-17,,2,5,2.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,69,34.50,0,0,0,,0,0,0
17,2003,2003-09-14,2,24.012,PHI,,NWE,L 10-31,,6,29,4.83,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,6,123,20.50,0,4,29,7.25,0,0,0
18,2003,2003-09-28,3,24.026,PHI,@,BUF,W 23-13,*,11,96,8.73,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,2,49,24.50,0,3,23,7.67,0,1,6
19,2003,2003-10-05,4,24.033,PHI,,WAS,W 27-25,,11,64,5.82,1,6,4,15,3.75,0,66.7%,2.50,0,0,,0,0,0,,,,,,4,74,18.50,0,2,28,14.00,0,1,6
20,2003,2003-10-12,5,24.040,PHI,@,DAL,L 21-23,*,8,37,4.63,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,16,16.00,0,1,11,11.00,0,1,6
21,2003,2003-10-19,6,24.047,PHI,@,NYG,W 14-10,*,15,67,4.47,1,6,3,11,3.67,0,50.0%,1.83,0,0,,0,0,0,,,,,,3,61,20.33,0,2,84,42.00,1,2,12
22,2003,2003-10-26,7,24.054,PHI,,NYJ,W 24-17,,5,25,5.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,3,71,23.67,0,0,0,,0,0,0
23,2003,2003-11-10,9,24.069,PHI,@,GNB,W 17-14,,5,1,0.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
24,2003,2003-11-16,10,24.075,PHI,,NYG,W 28-10,*,9,48,5.33,1,5,5,60,12.00,2,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,3,18
25,2003,2003-11-23,11,24.082,PHI,,NOR,W 33-20,*,9,52,5.78,1,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,,,,,,0,0,,0,1,15,15.00,0,1,6
26,2003,2003-11-30,12,24.089,PHI,@,CAR,W 25-16,,12,64,5.33,0,5,5,32,6.40,0,100.0%,6.40,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,0,0
27,2003,2003-12-07,13,24.096,PHI,,DAL,W 36-10,,7,31,4.43,0,3,3,40,13.33,1,100.0%,13.33,0,0,,0,0,0,,,,,,2,24,12.00,0,2,14,7.00,0,1,6
28,2003,2003-12-15,14,24.104,PHI,@,MIA,W 34-27,*,8,59,7.38,1,5,3,45,15.00,1,60.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12
29,2003,2003-12-21,15,24.110,PHI,,SFO,L 28-31,*,5,29,5.80,0,5,5,39,7.80,0,100.0%,7.80,0,0,,0,0,0,,,,,,0,0,,0,2,91,45.50,1,1,6
30,2003,2003-12-27,16,24.116,PHI,@,WAS,W 31-7,*,4,6,1.50,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
31,2004,2004-09-12,1,25.010,PHI,,NYG,W 31-17,*,17,119,7.00,0,3,3,42,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
32,2004,2004-09-20,2,25.018,PHI,,MIN,W 27-16,*,12,69,5.75,0,6,5,69,13.80,0,83.3%,11.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
33,2004,2004-09-26,3,25.024,PHI,@,DET,W 30-13,*,13,44,3.38,0,8,7,32,4.57,0,87.5%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
34,2004,2004-10-03,4,25.031,PHI,@,CHI,W 19-9,*,22,119,5.41,0,11,9,63,7.00,0,81.8%,5.73,0,0,,0,0,0,,0,4,,,0,0,,0,0,0,,0,0,0
35,2004,2004-10-17,5,25.045,PHI,,CAR,W 30-8,*,13,64,4.92,1,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
36,2004,2004-10-24,6,25.052,PHI,@,CLE,W 34-31,*,13,43,3.31,0,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
37,2004,2004-11-07,8,25.066,PHI,@,PIT,L 3-27,,6,17,2.83,0,3,3,4,1.33,0,100.0%,1.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
38,2004,2004-11-15,9,25.074,PHI,@,DAL,W 49-21,*,15,56,3.73,1,5,4,62,15.50,0,80.0%,12.40,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
39,2004,2004-11-21,10,25.080,PHI,,WAS,W 28-6,*,12,63,5.25,0,7,5,42,8.40,2,71.4%,6.00,0,0,,0,0,0,,0,,,,0,0,,0,1,14,14.00,0,2,12
40,2004,2004-11-28,11,25.087,PHI,@,NYG,W 27-6,*,18,74,4.11,1,6,5,53,10.60,1,83.3%,8.83,0,0,,0,0,0,,0,,,,0,0,,0,1,0,0.00,0,2,12
41,2004,2004-12-05,12,25.094,PHI,,GNB,W 47-17,*,12,37,3.08,0,11,11,156,14.18,3,100.0%,14.18,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,3,18
42,2004,2004-12-12,13,25.101,PHI,@,WAS,W 17-14,*,12,59,4.92,0,7,6,59,9.83,0,85.7%,8.43,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
