ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-09,1,22.310,PIT,@,CLE,W 34-7,,,,,,,,,,
2,2007,2007-09-16,2,22.317,PIT,,BUF,W 26-3,,,0,0,1.0,,,0,0,0
3,2007,2007-09-23,3,22.324,PIT,,SFO,W 37-16,,,0,0,1.0,,,0,0,0
4,2007,2007-09-30,4,22.331,PIT,@,ARI,L 14-21,,,,,,,,,,
5,2007,2007-10-07,5,22.338,PIT,,SEA,W 21-0,,,,,,,,,,
6,2007,2007-10-21,6,22.352,PIT,@,DEN,L 28-31,,,0,0,1.0,,,0,0,0
7,2007,2007-10-28,7,22.359,PIT,@,CIN,W 24-13,,,,,,,,,,
8,2007,2007-11-05,8,23.002,PIT,,BAL,W 38-7,,,,,,,,,,
9,2007,2007-11-11,9,23.008,PIT,,CLE,W 31-28,,,,,,,,,,
10,2007,2007-12-02,12,23.029,PIT,,CIN,W 24-10,,,,,,,,,,
11,2007,2007-12-16,14,23.043,PIT,,JAX,L 22-29,,,,,,,,,,
12,2007,2007-12-20,15,23.047,PIT,@,STL,W 41-24,,,,,,,,,,
13,2007,2007-12-30,16,23.057,PIT,@,BAL,L 21-27,,,0,0,1.0,,,0,0,0
14,2008,2008-09-07,1,23.309,PIT,,HOU,W 38-17,*,,0,0,1.0,3,0,1,6,0
15,2008,2008-09-14,2,23.316,PIT,@,CLE,W 10-6,*,,0,0,0.0,3,0,0,0,0
16,2008,2008-09-21,3,23.323,PIT,@,PHI,L 6-15,*,,0,0,1.0,2,1,0,0,0
17,2008,2008-09-29,4,23.331,PIT,,BAL,W 23-20,*,,1,6,1.5,5,3,0,0,0
18,2008,2008-10-05,5,23.337,PIT,@,JAX,W 26-21,*,,0,0,2.0,6,0,0,0,0
19,2008,2008-10-19,6,23.351,PIT,@,CIN,W 38-10,*,,0,0,2.0,2,2,0,0,0
20,2008,2008-10-26,7,23.358,PIT,,NYG,L 14-21,*,,0,0,0.0,3,2,0,0,0
21,2008,2008-11-03,8,24.000,PIT,@,WAS,W 23-6,*,,0,0,2.0,3,2,0,0,0
22,2008,2008-11-16,10,24.013,PIT,,SDG,W 11-10,*,,0,0,0.0,3,0,0,0,0
23,2008,2008-11-20,11,24.017,PIT,,CIN,W 27-10,*,,0,0,1.0,1,2,0,0,0
24,2008,2008-11-30,12,24.027,PIT,@,NWE,W 33-10,*,,0,0,1.0,4,1,0,0,0
25,2008,2008-12-07,13,24.034,PIT,,DAL,W 20-13,*,,0,0,0.0,3,2,0,0,0
26,2008,2008-12-14,14,24.041,PIT,@,BAL,W 13-9,*,,0,0,0.0,1,1,0,0,0
27,2008,2008-12-21,15,24.048,PIT,@,TEN,L 14-31,*,,0,0,0.0,1,2,0,0,0
28,2008,2008-12-28,16,24.055,PIT,,CLE,W 31-0,*,,0,0,0.0,1,1,0,0,0
29,2009,2009-09-10,1,24.311,PIT,,TEN,W 13-10,*,,0,0,0.0,1,0,0,0,0
30,2009,2009-09-20,2,24.321,PIT,@,CHI,L 14-17,*,,0,0,0.0,0,1,0,0,0
31,2009,2009-09-27,3,24.328,PIT,@,CIN,L 20-23,*,,0,0,0.0,1,0,0,0,0
