ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,22.339,MIN,,SFO,W 28-21,,,,,
2,1985,1985-09-15,2,22.346,MIN,@,TAM,W 31-16,,,,,
3,1985,1985-09-19,3,22.350,MIN,,CHI,L 24-33,,,,,
4,1985,1985-09-29,4,22.360,MIN,@,BUF,W 27-20,,,,,
5,1985,1985-10-06,5,23.002,MIN,@,RAM,L 10-13,,,,,
6,1985,1985-10-13,6,23.009,MIN,@,GNB,L 17-20,,,,,
7,1985,1985-10-20,7,23.016,MIN,,SDG,W 21-17,0,0,1,0,0
8,1985,1985-10-27,8,23.023,MIN,@,CHI,L 9-27,,,,,
9,1985,1985-11-03,9,23.030,MIN,,DET,W 16-13,,,,,
10,1985,1985-11-10,10,23.037,MIN,,GNB,L 17-27,,,,,
11,1985,1985-11-17,11,23.044,MIN,@,DET,L 21-41,,,,,
12,1985,1985-12-01,13,23.058,MIN,@,PHI,W 28-23,,,,,
13,1985,1985-12-08,14,23.065,MIN,,TAM,W 26-7,,,,,
14,1985,1985-12-15,15,23.072,MIN,@,ATL,L 13-14,,,,,
15,1985,1985-12-22,16,23.079,MIN,,PHI,L 35-37,,,,,
16,1986,1986-09-07,1,23.338,MIN,,DET,L 10-13,0,0,1,0,0
17,1986,1986-09-14,2,23.345,MIN,@,TAM,W 23-10,,,,,
18,1986,1986-09-21,3,23.352,MIN,,PIT,W 31-7,,,,,
19,1986,1986-09-28,4,23.359,MIN,,GNB,W 42-7,,,,,
20,1986,1986-10-05,5,24.001,MIN,@,CHI,L 0-23,0,0,1,2,0
21,1986,1986-10-12,6,24.008,MIN,@,SFO,W 27-24,0,0,1,14,0
22,1986,1986-10-19,7,24.015,MIN,,CHI,W 23-7,0,0,1,9,0
23,1986,1986-10-26,8,24.022,MIN,,CLE,L 20-23,0,0,1,0,0
24,1986,1986-11-02,9,24.029,MIN,@,WAS,L 38-44,,,,,
25,1986,1986-11-09,10,24.036,MIN,@,DET,W 24-10,,,,,
26,1986,1986-11-16,11,24.043,MIN,,NYG,L 20-22,0,0,2,27,0
27,1986,1986-11-23,12,24.050,MIN,@,CIN,L 20-24,0,0,1,2,0
28,1986,1986-11-30,13,24.057,MIN,,TAM,W 45-13,,,,,
29,1986,1986-12-07,14,24.064,MIN,@,GNB,W 32-6,,,,,
30,1986,1986-12-14,15,24.071,MIN,@,HOU,L 10-23,,,,,
31,1986,1986-12-21,16,24.078,MIN,,NOR,W 33-17,,,,,
32,1987,1987-10-26,6,25.022,MIN,,DEN,W 34-27,,,,,
33,1987,1987-11-01,7,25.028,MIN,@,SEA,L 17-28,,,,,
34,1987,1987-11-08,8,25.035,MIN,,RAI,W 31-20,,,,,
35,1987,1987-11-22,10,25.049,MIN,,ATL,W 24-13,,,,,
36,1987,1987-11-26,11,25.053,MIN,@,DAL,W 44-38,0,0,1,0,0
37,1987,1987-12-06,12,25.063,MIN,,CHI,L 24-30,,,,,
38,1987,1987-12-13,13,25.070,MIN,@,GNB,L 10-16,,,,,
39,1987,1987-12-20,14,25.077,MIN,@,DET,W 17-14,,,,,
40,1987,1987-12-26,15,25.083,MIN,,WAS,L 24-27,0,0,1,7,0
41,1988,1988-09-04,1,25.336,MIN,@,BUF,L 10-13,,,,,
42,1988,1988-09-11,2,25.343,MIN,,NWE,W 36-6,,,,,
43,1988,1988-09-18,3,25.350,MIN,@,CHI,W 31-7,,,,,
44,1988,1988-09-25,4,25.357,MIN,,PHI,W 23-21,0,0,1,0,0
45,1988,1988-10-02,5,25.364,MIN,@,MIA,L 7-24,,,,,
46,1988,1988-10-09,6,26.005,MIN,,TAM,W 14-13,,,,,
47,1988,1988-10-16,7,26.012,MIN,,GNB,L 14-34,,,,,
48,1988,1988-10-23,8,26.019,MIN,@,TAM,W 49-20,0,0,1,15,0
49,1988,1988-10-30,9,26.026,MIN,@,SFO,L 21-24,,,,,
50,1988,1988-11-13,11,26.040,MIN,@,DAL,W 43-3,,,,,
51,1988,1988-12-04,14,26.061,MIN,,NOR,W 45-3,,,,,
52,1988,1988-12-11,15,26.068,MIN,@,GNB,L 6-18,,,,,
53,1988,1988-12-19,16,26.076,MIN,,CHI,W 28-27,,,,,
54,1989,1989-09-10,1,26.341,MIN,,HOU,W 38-7,,,,,
55,1989,1989-09-17,2,26.348,MIN,@,CHI,L 7-38,,,,,
56,1989,1989-09-24,3,26.355,MIN,@,PIT,L 14-27,,,,,
57,1989,1989-10-01,4,26.362,MIN,,TAM,W 17-3,,,,,
58,1989,1989-10-08,5,27.004,MIN,,DET,W 24-17,1,6,1,90,1
59,1989,1989-10-22,7,27.018,DAL,@,KAN,L 28-36,,,,,
60,1989,1989-10-29,8,27.025,DAL,,PHO,L 10-19,,,,,
61,1989,1989-11-05,9,27.032,DAL,@,WAS,W 13-3,,,,,
62,1989,1989-11-12,10,27.039,DAL,@,PHO,L 20-24,,,,,
63,1989,1989-11-19,11,27.046,DAL,,MIA,L 14-17,,,,,
64,1989,1989-11-23,12,27.050,DAL,,PHI,L 0-27,,,,,
65,1989,1989-12-10,14,27.067,DAL,@,PHI,L 10-20,,,,,
66,1989,1989-12-16,15,27.073,DAL,@,NYG,L 0-15,,,,,
67,1989,1989-12-24,16,27.081,DAL,,GNB,L 10-20,,,,,
68,1990,1990-09-09,1,27.340,DAL,,SDG,W 17-14,0,0,1,8,0
69,1990,1990-09-16,2,27.347,DAL,,NYG,L 7-28,,,,,
70,1990,1990-09-30,4,27.361,DAL,@,NYG,L 17-31,,,,,
71,1990,1990-10-07,5,28.003,DAL,,TAM,W 14-10,,,,,
72,1990,1990-10-14,6,28.010,DAL,@,PHO,L 3-20,,,,,
73,1990,1990-10-21,7,28.017,DAL,@,TAM,W 17-13,1,6,2,64,1
74,1990,1990-10-28,8,28.024,DAL,,PHI,L 20-21,,,,,
75,1990,1990-11-04,9,28.031,DAL,@,NYJ,L 9-24,,,,,
76,1990,1990-11-11,10,28.038,DAL,,SFO,L 6-24,,,,,
77,1990,1990-11-18,11,28.045,DAL,@,RAM,W 24-21,,,,,
78,1990,1990-11-22,12,28.049,DAL,,WAS,W 27-17,,,,,
79,1990,1990-12-02,13,28.059,DAL,,NOR,W 17-13,,,,,
80,1990,1990-12-16,14,28.073,DAL,,PHO,W 41-10,,,,,
81,1990,1990-12-23,15,28.080,DAL,@,PHI,L 3-17,,,,,
82,1990,1990-12-30,16,28.087,DAL,@,ATL,L 7-26,,,,,
83,1991,1991-09-01,1,28.332,DAL,@,CLE,W 26-14,,,,,
84,1991,1991-09-09,2,28.340,DAL,,WAS,L 31-33,0,0,1,2,0
85,1991,1991-09-15,3,28.346,DAL,,PHI,L 0-24,,,,,
86,1991,1991-09-22,4,28.353,DAL,@,PHO,W 17-9,,,,,
87,1991,1991-09-29,5,28.360,DAL,,NYG,W 21-16,0,0,1,0,0
88,1991,1991-10-06,6,29.002,DAL,@,GNB,W 20-17,0,0,1,0,0
89,1991,1991-10-13,7,29.009,DAL,,CIN,W 35-23,0,0,1,0,0
90,1991,1991-10-27,8,29.023,DAL,@,DET,L 10-34,,,,,
91,1991,1991-11-03,9,29.030,DAL,,PHO,W 27-7,,,,,
92,1991,1991-11-10,10,29.037,DAL,@,HOU,L 23-26,,,,,
93,1991,1991-11-24,12,29.051,DAL,@,WAS,W 24-21,,,,,
94,1991,1991-11-28,13,29.055,DAL,,PIT,W 20-10,,,,,
95,1991,1991-12-08,14,29.065,DAL,,NOR,W 23-14,,,,,
96,1991,1991-12-15,15,29.072,DAL,@,PHI,W 25-13,,,,,
97,1991,1991-12-22,16,29.079,DAL,,ATL,W 31-27,,,,,
98,1992,1992-09-07,1,29.339,DAL,,WAS,W 23-10,,,,,
99,1992,1992-09-13,2,29.345,DAL,@,NYG,W 34-28,,,,,
100,1992,1992-09-20,3,29.352,DAL,,PHO,W 31-20,,,,,
101,1992,1992-10-05,4,30.001,DAL,@,PHI,L 7-31,0,0,1,3,0
102,1992,1992-10-11,5,30.007,DAL,,SEA,W 27-0,,,,,
103,1992,1992-10-18,6,30.014,DAL,,KAN,W 17-10,,,,,
104,1992,1992-10-25,7,30.021,DAL,@,RAI,W 28-13,,,,,
105,1992,1992-11-01,8,30.028,DAL,,PHI,W 20-10,0,0,1,8,0
106,1992,1992-11-08,9,30.035,DAL,@,DET,W 37-3,,,,,
107,1992,1992-11-15,10,30.042,DAL,,RAM,L 23-27,,,,,
108,1992,1992-11-22,11,30.049,DAL,@,PHO,W 16-10,,,,,
109,1992,1992-11-26,12,30.053,DAL,,NYG,W 30-3,,,,,
110,1992,1992-12-06,13,30.063,DAL,@,DEN,W 31-27,,,,,
111,1992,1992-12-13,14,30.070,DAL,@,WAS,L 17-20,,,,,
112,1992,1992-12-21,15,30.078,DAL,@,ATL,W 41-17,,,,,
113,1992,1992-12-27,16,30.084,DAL,,CHI,W 27-14,,,,,
