ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-18,2,23.339,KAN,@,DET,L 3-48,,,,,,,,
2,2011,2011-09-25,3,23.346,KAN,@,SDG,L 17-20,,,,,,,,
3,2011,2011-10-02,4,23.353,KAN,,MIN,W 22-17,,0,0,,0,0.0,0,0
4,2011,2011-10-09,5,23.360,KAN,@,IND,W 28-24,,,,,,,,
5,2011,2011-10-23,6,24.009,KAN,@,OAK,W 28-0,,,,,,,,
6,2011,2011-11-06,8,24.023,KAN,,MIA,L 3-31,,,,,,,,
7,2011,2011-11-13,9,24.030,KAN,,DEN,L 10-17,,,,,,,,
8,2011,2011-11-21,10,24.038,KAN,@,NWE,L 3-34,,0,0,,0,0.0,2,1
9,2011,2011-11-27,11,24.044,KAN,,PIT,L 9-13,,,,,,,,
10,2011,2011-12-04,12,24.051,KAN,@,CHI,W 10-3,,1,0,0.00,0,0.0,0,0
11,2011,2011-12-11,13,24.058,KAN,@,NYJ,L 10-37,,0,0,,0,0.0,0,0
12,2011,2011-12-18,14,24.065,KAN,,GNB,W 19-14,,0,0,,0,0.0,0,0
13,2011,2011-12-24,15,24.071,KAN,,OAK,L 13-16,,0,0,,0,0.0,0,0
14,2011,2012-01-01,16,24.079,KAN,@,DEN,W 7-3,,0,0,,0,0.0,0,0
15,2012,2012-09-09,1,24.331,KAN,,ATL,L 24-40,,,,,,,,
16,2012,2012-09-16,2,24.338,KAN,@,BUF,L 17-35,,,,,,,,
17,2012,2012-09-23,3,24.345,KAN,@,NOR,W 27-24,,0,0,,0,0.0,0,0
18,2012,2012-09-30,4,24.352,KAN,,SDG,L 20-37,,0,0,,0,0.0,1,0
19,2012,2012-10-14,6,25.000,KAN,@,TAM,L 10-38,,,,,,,,
20,2012,2012-10-28,7,25.014,KAN,,OAK,L 16-26,,0,0,,0,0.0,0,0
21,2012,2012-11-01,8,25.018,KAN,@,SDG,L 13-31,,0,0,,0,0.0,0,0
22,2012,2012-11-12,9,25.029,KAN,@,PIT,L 13-16,,0,0,,0,0.0,3,0
23,2012,2012-11-18,10,25.035,KAN,,CIN,L 6-28,,0,0,,0,0.0,1,0
24,2012,2012-11-25,11,25.042,KAN,,DEN,L 9-17,*,0,0,,0,0.0,5,0
25,2012,2012-12-02,12,25.049,KAN,,CAR,W 27-21,,,,,,,,
26,2012,2012-12-09,13,25.056,KAN,@,CLE,L 7-30,,0,0,,0,0.0,2,0
27,2012,2012-12-16,14,25.063,KAN,@,OAK,L 0-15,,0,0,,0,0.0,4,0
28,2012,2012-12-23,15,25.070,KAN,,IND,L 13-20,,0,0,,0,0.0,1,0
29,2012,2012-12-30,16,25.077,KAN,@,DEN,L 3-38,*,0,0,,0,0.0,3,0
30,2013,2013-11-03,8,26.020,IND,@,HOU,W 27-24,,,,,,,,
31,2013,2013-11-10,9,26.027,IND,,STL,L 8-38,,,,,,,,
32,2013,2013-11-14,10,26.031,IND,@,TEN,W 30-27,,,,,,,,
33,2013,2013-11-24,11,26.041,IND,@,ARI,L 11-40,,0,0,,0,0.0,3,0
34,2013,2013-12-01,12,26.048,IND,,TEN,W 22-14,,0,0,,0,0.0,0,1
35,2014,2014-10-09,6,26.360,IND,@,HOU,W 33-28,,,,,,,,
36,2014,2014-10-19,7,27.005,IND,,CIN,W 27-0,,,,,,,,
37,2014,2014-11-30,12,27.047,IND,,WAS,W 49-27,,,,,,,,
38,2014,2014-12-07,13,27.054,IND,@,CLE,W 25-24,,,,,,,,
39,2014,2014-12-28,16,27.075,IND,@,TEN,W 27-10,,0,0,,0,0.0,1,0
40,2015,2015-09-13,1,27.334,IND,@,BUF,L 14-27,,0,0,,0,0.0,2,0
41,2015,2015-09-21,2,27.342,IND,,NYJ,L 7-20,*,0,0,,0,0.0,5,1
42,2015,2015-09-27,3,27.348,IND,@,TEN,W 35-33,*,0,0,,0,0.0,5,2
43,2015,2015-10-04,4,27.355,IND,,JAX,W 16-13,*,0,0,,0,0.0,0,0
44,2015,2015-12-13,13,28.060,IND,@,JAX,L 16-51,*,0,0,,0,0.0,2,0
45,2015,2015-12-20,14,28.067,IND,,HOU,L 10-16,,0,0,,0,0.0,3,0
46,2015,2015-12-27,15,28.074,IND,@,MIA,W 18-12,,0,0,,0,0.0,1,0
47,2015,2016-01-03,16,28.081,IND,,TEN,W 30-24,,0,0,,0,0.0,1,0
