ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2004,2004-09-12,1,24.010,CIN,@,NYJ,L 24-31,,0,0,,0,0,0,3,151,50.33,0
2,2004,2004-09-19,2,24.017,CIN,,MIA,W 16-13,,0,0,,0,0,0,10,418,41.80,0
3,2004,2004-09-26,3,24.024,CIN,,BAL,L 9-23,,0,0,,0,0,0,5,206,41.20,0
4,2004,2004-10-03,4,24.031,CIN,@,PIT,L 17-28,,0,0,,0,0,0,6,213,35.50,0
5,2004,2004-10-17,5,24.045,CIN,@,CLE,L 17-34,,0,0,,0,0,0,8,335,41.88,0
6,2004,2004-10-25,6,24.053,CIN,,DEN,W 23-10,,0,0,,0,0,0,5,191,38.20,0
7,2004,2004-10-31,7,24.059,CIN,@,TEN,L 20-27,,0,0,,0,0,0,5,266,53.20,0
8,2004,2004-11-07,8,24.066,CIN,,DAL,W 26-3,,0,0,,0,0,0,5,199,39.80,0
9,2004,2004-11-14,9,24.073,CIN,@,WAS,W 17-10,,0,0,,0,0,0,6,238,39.67,0
10,2004,2004-11-21,10,24.080,CIN,,PIT,L 14-19,,0,0,,0,0,0,7,327,46.71,0
11,2004,2004-11-28,11,24.087,CIN,,CLE,W 58-48,,0,0,,0,0,0,2,105,52.50,0
12,2004,2004-12-05,12,24.094,CIN,@,BAL,W 27-26,,0,0,,0,0,0,4,153,38.25,0
13,2004,2004-12-12,13,24.101,CIN,@,NWE,L 28-35,,1,11,11.00,1,1,6,2,61,30.50,0
14,2004,2004-12-19,14,24.108,CIN,,BUF,L 17-33,,0,0,,0,0,0,5,204,40.80,1
15,2004,2004-12-26,15,24.115,CIN,,NYG,W 23-22,,0,0,,0,0,0,3,140,46.67,0
16,2004,2005-01-02,16,24.122,CIN,@,PHI,W 38-10,,0,0,,0,0,0,7,292,41.71,0
17,2005,2005-09-11,1,25.009,CIN,@,CLE,W 27-13,,0,0,,0,0,0,3,142,47.33,0
18,2005,2005-09-18,2,25.016,CIN,,MIN,W 37-8,,0,0,,0,0,0,3,125,41.67,0
19,2005,2005-09-25,3,25.023,CIN,@,CHI,W 24-7,,0,0,,0,0,0,9,360,40.00,0
20,2005,2005-10-02,4,25.030,CIN,,HOU,W 16-10,,0,0,,0,0,0,2,95,47.50,0
21,2005,2005-10-09,5,25.037,CIN,@,JAX,L 20-23,,0,0,,0,0,0,5,216,43.20,1
22,2005,2005-10-16,6,25.044,CIN,@,TEN,W 31-23,,0,0,,0,0,0,4,190,47.50,0
23,2005,2005-10-23,7,25.051,CIN,,PIT,L 13-27,,0,0,,0,0,0,4,150,37.50,0
24,2005,2005-10-30,8,25.058,CIN,,GNB,W 21-14,,0,0,,0,0,0,6,252,42.00,0
25,2005,2005-11-06,9,25.065,CIN,@,BAL,W 21-9,,0,0,,0,0,0,2,93,46.50,0
26,2005,2005-11-20,10,25.079,CIN,,IND,L 37-45,,0,0,,0,0,0,1,18,18.00,0
27,2005,2005-11-27,11,25.086,CIN,,BAL,W 42-29,,0,0,,0,0,0,3,111,37.00,0
28,2005,2005-12-04,12,25.093,CIN,@,PIT,W 38-31,,0,0,,0,0,0,5,234,46.80,0
29,2005,2005-12-11,13,25.100,CIN,,CLE,W 23-20,,0,0,,0,0,0,3,120,40.00,0
30,2005,2005-12-18,14,25.107,CIN,@,DET,W 41-17,,0,0,,0,0,0,1,51,51.00,0
31,2005,2005-12-24,15,25.113,CIN,,BUF,L 27-37,,0,0,,0,0,0,2,88,44.00,0
32,2005,2006-01-01,16,25.121,CIN,@,KAN,L 3-37,,0,0,,0,0,0,7,346,49.43,0
33,2006,2006-09-10,1,26.008,CIN,@,KAN,W 23-10,,0,0,,0,0,0,5,213,42.60,0
34,2006,2006-09-17,2,26.015,CIN,,CLE,W 34-17,,0,0,,0,0,0,4,192,48.00,0
35,2006,2006-09-24,3,26.022,CIN,@,PIT,W 28-20,,0,0,,0,0,0,5,267,53.40,0
36,2006,2006-10-01,4,26.029,CIN,,NWE,L 13-38,,0,0,,0,0,0,6,267,44.50,0
37,2006,2006-10-15,5,26.043,CIN,@,TAM,L 13-14,,0,0,,0,0,0,7,294,42.00,0
38,2006,2006-10-22,6,26.050,CIN,,CAR,W 17-14,,0,0,,0,0,0,8,301,37.63,0
39,2006,2006-10-29,7,26.057,CIN,,ATL,L 27-29,,0,0,,0,0,0,4,180,45.00,0
40,2006,2006-11-05,8,26.064,CIN,@,BAL,L 20-26,,0,0,,0,0,0,4,193,48.25,0
41,2006,2006-11-12,9,26.071,CIN,,SDG,L 41-49,,0,0,,0,0,0,3,107,35.67,0
42,2006,2006-11-19,10,26.078,CIN,@,NOR,W 31-16,,0,0,,0,0,0,6,248,41.33,0
43,2006,2006-11-26,11,26.085,CIN,@,CLE,W 30-0,,0,0,,0,0,0,4,186,46.50,0
44,2006,2006-11-30,12,26.089,CIN,,BAL,W 13-7,,0,0,,0,0,0,6,277,46.17,0
45,2006,2006-12-10,13,26.099,CIN,,OAK,W 27-10,,,,,,,,,,,
46,2006,2006-12-18,14,26.107,CIN,@,IND,L 16-34,,0,0,,0,0,0,4,172,43.00,0
47,2006,2006-12-24,15,26.113,CIN,@,DEN,L 23-24,,0,0,,0,0,0,5,229,45.80,0
48,2006,2006-12-31,16,26.120,CIN,,PIT,L 17-23,,0,0,,0,0,0,6,302,50.33,0
49,2007,2007-09-10,1,27.008,CIN,,BAL,W 27-20,,0,0,,0,0,0,7,314,44.86,0
50,2007,2007-09-16,2,27.014,CIN,@,CLE,L 45-51,,0,0,,0,0,0,3,117,39.00,0
51,2007,2007-09-23,3,27.021,CIN,@,SEA,L 21-24,,0,0,,0,0,0,4,163,40.75,0
52,2007,2007-10-01,4,27.029,CIN,,NWE,L 13-34,,0,0,,0,0,0,4,168,42.00,0
53,2007,2007-10-14,5,27.042,CIN,@,KAN,L 20-27,,0,0,,0,0,0,6,271,45.17,0
54,2007,2007-10-21,6,27.049,CIN,,NYJ,W 38-31,,0,0,,0,0,0,2,81,40.50,0
55,2007,2007-10-28,7,27.056,CIN,,PIT,L 13-24,,0,0,,0,0,0,2,91,45.50,0
56,2007,2007-11-04,8,27.063,CIN,@,BUF,L 21-33,,0,0,,0,0,0,6,234,39.00,0
57,2007,2007-11-11,9,27.070,CIN,@,BAL,W 21-7,,0,0,,0,0,0,2,94,47.00,0
58,2007,2007-11-18,10,27.077,CIN,,ARI,L 27-35,,0,0,,0,0,0,1,29,29.00,0
59,2007,2007-11-25,11,27.084,CIN,,TEN,W 35-6,,0,0,,0,0,0,2,87,43.50,0
60,2007,2007-12-02,12,27.091,CIN,@,PIT,L 10-24,,0,0,,0,0,0,5,184,36.80,0
61,2007,2007-12-09,13,27.098,CIN,,STL,W 19-10,,0,0,,0,0,0,3,151,50.33,0
62,2007,2007-12-15,14,27.104,CIN,@,SFO,L 13-20,,0,0,,0,0,0,3,123,41.00,0
63,2007,2007-12-23,15,27.112,CIN,,CLE,W 19-14,,0,0,,0,0,0,5,186,37.20,0
64,2007,2007-12-30,16,27.119,CIN,@,MIA,W 38-25,,0,0,,0,0,0,4,144,36.00,0
65,2008,2008-09-07,1,28.005,CIN,@,BAL,L 10-17,,0,0,,0,0,0,7,316,45.14,0
66,2008,2008-09-14,2,28.012,CIN,,TEN,L 7-24,,0,0,,0,0,0,6,216,36.00,1
67,2008,2008-09-21,3,28.019,CIN,@,NYG,L 23-26,,0,0,,0,0,0,5,233,46.60,0
68,2008,2008-09-28,4,28.026,CIN,,CLE,L 12-20,,0,0,,0,0,0,4,173,43.25,0
69,2008,2008-10-05,5,28.033,CIN,@,DAL,L 22-31,,0,0,,0,0,0,4,185,46.25,0
70,2008,2008-10-12,6,28.040,CIN,@,NYJ,L 14-26,,0,0,,0,0,0,7,292,41.71,0
71,2008,2008-10-19,7,28.047,CIN,,PIT,L 10-38,,0,0,,0,0,0,8,303,37.88,0
72,2008,2008-10-26,8,28.054,CIN,@,HOU,L 6-35,,0,0,,0,0,0,3,127,42.33,0
73,2008,2008-11-02,9,28.061,CIN,,JAX,W 21-19,,0,0,,0,0,0,7,247,35.29,0
74,2008,2008-11-16,10,28.075,CIN,,PHI,T 13-13,,0,0,,0,0,0,11,397,36.09,0
75,2008,2008-11-20,11,28.079,CIN,@,PIT,L 10-27,,0,0,,0,0,0,8,293,36.63,0
76,2008,2008-11-30,12,28.089,CIN,,BAL,L 3-34,,0,0,,0,0,0,11,480,43.64,0
77,2008,2008-12-07,13,28.096,CIN,@,IND,L 3-35,,0,0,,0,0,0,4,127,31.75,0
78,2008,2008-12-14,14,28.103,CIN,,WAS,W 20-13,,0,0,,0,0,0,6,230,38.33,0
79,2008,2008-12-21,15,28.110,CIN,@,CLE,W 14-0,,0,0,,0,0,0,6,193,32.17,0
80,2008,2008-12-28,16,28.117,CIN,,KAN,W 16-6,,0,0,,0,0,0,3,133,44.33,0
