ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-10-04,3,25.173,KAN,@,RAI,L 17-35,0,0,,0,4,175,43.75,0
2,1987,1987-10-11,4,25.180,KAN,@,MIA,L 0-42,0,0,,0,8,286,35.75,0
3,1987,1987-10-18,5,25.187,KAN,,DEN,L 17-26,0,0,,0,6,273,45.50,0
4,1987,1987-10-25,6,25.194,KAN,@,SDG,L 21-42,0,0,,0,5,213,42.60,0
5,1987,1987-11-01,7,25.201,KAN,@,CHI,L 28-31,0,0,,0,5,178,35.60,0
6,1987,1987-11-08,8,25.208,KAN,,PIT,L 16-17,0,0,,0,3,141,47.00,0
7,1987,1987-11-15,9,25.215,KAN,,NYJ,L 9-16,0,0,,0,3,113,37.67,0
8,1987,1987-11-22,10,25.222,KAN,,GNB,L 3-23,0,0,,0,7,297,42.43,0
9,1987,1987-11-26,11,25.226,KAN,@,DET,W 27-20,0,0,,0,3,147,49.00,0
10,1987,1987-12-06,12,25.236,KAN,@,CIN,L 27-30,0,0,,0,5,164,32.80,0
11,1987,1987-12-13,13,25.243,KAN,,RAI,W 16-10,1,16,16.00,0,4,143,35.75,0
12,1987,1987-12-19,14,25.249,KAN,@,DEN,L 17-20,0,0,,0,5,234,46.80,0
13,1987,1987-12-27,15,25.257,KAN,,SEA,W 41-20,0,0,,0,1,48,48.00,0
14,1988,1988-09-04,1,26.143,KAN,,CLE,L 3-6,0,0,,0,9,377,41.89,0
15,1988,1988-09-11,2,26.150,KAN,@,SEA,L 10-31,0,0,,0,2,81,40.50,0
16,1988,1988-09-18,3,26.157,KAN,,DEN,W 20-13,0,0,,0,6,229,38.17,0
17,1988,1988-09-25,4,26.164,KAN,,SDG,L 23-24,0,0,,0,5,215,43.00,0
18,1988,1988-10-02,5,26.171,KAN,@,NYJ,T 17-17,0,0,,0,10,420,42.00,0
19,1988,1988-10-09,6,26.178,KAN,@,HOU,L 6-7,0,0,,0,6,181,30.17,0
20,1988,1988-10-16,7,26.185,KAN,,RAI,L 17-27,0,0,,0,6,210,35.00,0
21,1988,1988-10-23,8,26.192,KAN,,DET,L 6-7,0,0,,0,6,236,39.33,0
22,1988,1988-10-30,9,26.199,KAN,@,RAI,L 10-17,0,0,,0,5,211,42.20,0
23,1988,1988-11-06,10,26.206,KAN,@,DEN,L 11-17,0,0,,0,3,166,55.33,0
24,1988,1988-11-13,11,26.213,KAN,,CIN,W 31-28,0,0,,0,2,102,51.00,0
25,1988,1988-11-20,12,26.220,KAN,,SEA,W 27-24,0,0,,0,3,136,45.33,0
26,1988,1988-11-27,13,26.227,KAN,@,PIT,L 10-16,0,0,,0,5,220,44.00,0
27,1988,1988-12-04,14,26.234,KAN,,NYJ,W 38-34,0,0,,0,2,71,35.50,0
28,1988,1988-12-11,15,26.241,KAN,@,NYG,L 12-28,1,15,15.00,0,5,162,32.40,0
29,1988,1988-12-18,16,26.248,KAN,@,SDG,L 13-24,0,0,,0,1,42,42.00,0
30,1989,1989-09-10,1,27.149,KAN,@,DEN,L 20-34,0,0,,0,3,140,46.67,0
31,1989,1989-09-17,2,27.156,KAN,,RAI,W 24-19,0,0,,0,1,41,41.00,0
32,1989,1989-09-24,3,27.163,KAN,@,SDG,L 6-21,0,0,,0,2,83,41.50,0
33,1989,1989-10-01,4,27.170,KAN,,CIN,L 17-21,0,0,,0,4,160,40.00,0
