ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td
1,1952,1952-10-26,5,25.233,CHI,@,RAM,L 7-31,0,0,,0,2,22,11.00,0,0,0,,0,0,,,,,,,0,,,,
2,1952,1952-11-02,6,25.240,CHI,@,SFO,W 20-17,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,
3,1952,1952-11-09,7,25.247,CHI,,GNB,L 28-41,6,29,4.83,0,3,-6,-2.00,0,0,0,,0,0,,,,,,,0,,,,
4,1952,1952-11-16,8,25.254,CHI,,RAM,L 24-40,5,61,12.20,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,
5,1952,1952-11-23,9,25.261,CHI,,DET,W 24-23,7,63,9.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,
6,1952,1952-12-07,11,25.275,CHI,@,DET,L 21-45,1,-8,-8.00,0,1,7,7.00,0,0,0,,0,0,,,,,,,0,,,,
7,1953,1953-09-27,1,26.204,CHI,@,BAL,L 9-13,5,22,4.40,0,1,0,0.00,0,0,0,,0,0,,,,,,,0,,,,
8,1953,1953-10-04,2,26.211,CHI,@,GNB,W 17-13,2,8,4.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,
9,1953,1953-10-11,3,26.218,CHI,,BAL,L 14-16,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,
10,1953,1953-11-15,8,26.253,CHI,@,WAS,W 27-24,10,57,5.70,0,1,9,9.00,1,0,0,,0,0,,,,,,,1,,,,
11,1953,1953-11-22,9,26.260,CHI,,DET,L 16-20,9,41,4.56,1,2,6,3.00,0,0,0,,0,0,,,,,,,1,,,,
12,1953,1953-11-29,10,26.267,CHI,,RAM,W 24-21,6,5,0.83,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,
13,1953,1953-12-06,11,26.274,CHI,@,DET,L 7-13,5,10,2.00,0,2,9,4.50,1,0,0,,0,0,,,,,,,1,,,,
14,1953,1953-12-13,12,26.281,CHI,,CRD,L 17-24,2,-8,-4.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,,,,
15,1960,1960-09-11,1,33.188,OAK,,HOU,L 22-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,1,42,1
16,1960,1960-09-25,3,33.202,OAK,@,HOU,W 14-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,58,0
17,1960,1960-10-09,5,33.216,OAK,@,DTX,W 20-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,5,0
18,1960,1960-10-16,6,33.223,OAK,,BOS,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
19,1960,1960-10-23,7,33.230,OAK,@,BUF,L 9-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
20,1960,1960-10-28,8,33.235,OAK,@,NYT,W 28-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,0,0
21,1960,1960-12-17,14,33.285,OAK,,DEN,W 48-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0
