ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2015,2015-09-13,1,23.348,KAN,@,HOU,W 27-20,,0,0,,0,,0,0,0.0,0,0
2,2015,2015-09-17,2,23.352,KAN,,DEN,L 24-31,,0,0,,0,,0,0,0.0,0,0
3,2015,2015-09-28,3,23.363,KAN,@,GNB,L 28-38,,0,0,,0,,0,0,0.0,0,0
4,2015,2015-10-04,4,24.004,KAN,@,CIN,L 21-36,,0,0,,0,,0,0,0.0,0,0
5,2015,2015-10-11,5,24.011,KAN,,CHI,L 17-18,,0,0,,0,,0,0,0.0,0,0
6,2015,2015-10-18,6,24.018,KAN,@,MIN,L 10-16,,0,0,,0,,0,0,0.0,0,0
7,2015,2015-10-25,7,24.025,KAN,,PIT,W 23-13,,0,0,,0,,0,0,0.0,0,0
8,2015,2015-11-01,8,24.032,KAN,,DET,W 45-10,,0,0,,0,,0,0,0.0,0,0
9,2015,2015-11-15,9,24.046,KAN,@,DEN,W 29-13,,0,0,,0,,0,0,0.0,0,0
10,2015,2015-11-22,10,24.053,KAN,@,SDG,W 33-3,,0,0,,0,,0,0,0.0,1,1
11,2015,2015-11-29,11,24.060,KAN,,BUF,W 30-22,,0,0,,0,,0,0,0.0,0,0
12,2015,2015-12-06,12,24.067,KAN,@,OAK,W 34-20,,0,0,,0,,0,0,0.0,0,0
13,2015,2015-12-13,13,24.074,KAN,,SDG,W 10-3,,0,0,,0,,0,0,0.0,0,0
14,2015,2015-12-20,14,24.081,KAN,@,BAL,W 34-14,,0,0,,0,,0,0,0.0,0,0
15,2015,2015-12-27,15,24.088,KAN,,CLE,W 17-13,,0,0,,0,,0,0,0.0,0,0
16,2015,2016-01-03,16,24.095,KAN,,OAK,W 23-17,,0,0,,0,1,0,2,0.0,0,0
17,2016,2016-09-11,1,24.347,KAN,,SDG,W 33-27,,1,0,0.00,0,,0,0,0.0,0,0
18,2016,2016-09-18,2,24.354,KAN,@,HOU,L 12-19,,0,0,,0,,0,0,0.0,0,0
19,2016,2016-09-25,3,24.361,KAN,,NYJ,W 24-3,,0,0,,0,,0,0,0.0,0,0
20,2016,2016-10-02,4,25.002,KAN,@,PIT,L 14-43,,0,0,,0,,0,0,0.0,0,0
21,2016,2016-10-16,5,25.016,KAN,@,OAK,W 26-10,,0,0,,0,,0,0,0.0,0,0
22,2016,2016-10-23,6,25.023,KAN,,NOR,W 27-21,,0,0,,0,,0,0,0.0,0,0
23,2016,2016-10-30,7,25.030,KAN,@,IND,W 30-14,,0,0,,0,,0,0,0.0,0,0
24,2016,2016-11-06,8,25.037,KAN,,JAX,W 19-14,,0,0,,0,,0,0,0.0,0,0
25,2016,2016-11-13,9,25.044,KAN,@,CAR,W 20-17,,0,0,,0,,0,0,0.0,0,0
26,2016,2016-11-20,10,25.051,KAN,,TAM,L 17-19,,0,0,,0,,0,0,0.0,0,0
27,2016,2016-11-27,11,25.058,KAN,@,DEN,W 30-27,,0,0,,0,,0,0,0.0,1,0
28,2016,2016-12-04,12,25.065,KAN,@,ATL,W 29-28,,0,0,,0,,0,0,0.0,0,0
29,2016,2016-12-08,13,25.069,KAN,,OAK,W 21-13,,0,0,,0,,0,0,0.0,0,0
30,2016,2016-12-18,14,25.079,KAN,,TEN,L 17-19,*,0,0,,0,,0,0,0.0,4,0
31,2016,2016-12-25,15,25.086,KAN,,DEN,W 33-10,,0,0,,0,,0,0,0.0,0,0
32,2016,2017-01-01,16,25.093,KAN,@,SDG,W 37-27,,0,0,,0,,0,0,0.0,0,0
33,2017,2017-09-10,1,25.345,SEA,@,GNB,L 9-17,,0,0,,0,,0,0,0.0,0,0
34,2017,2017-09-17,2,25.352,SEA,,SFO,W 12-9,,0,0,,0,,0,0,0.0,0,0
35,2017,2017-10-01,4,26.001,SEA,,IND,W 46-18,,0,0,,0,,0,0,0.0,0,0
36,2017,2017-10-08,5,26.008,SEA,@,LAR,W 16-10,,0,0,,0,,0,0,0.0,0,0
37,2017,2017-10-22,6,26.022,SEA,@,NYG,W 24-7,,0,0,,0,,0,0,0.0,0,0
38,2017,2017-10-29,7,26.029,SEA,,HOU,W 41-38,,0,0,,0,,0,0,0.0,0,0
39,2017,2017-11-05,8,26.036,SEA,,WAS,L 14-17,,0,0,,0,,0,0,0.0,0,0
40,2017,2017-11-09,9,26.040,SEA,@,ARI,W 22-16,,0,0,,0,,0,0,0.0,0,0
41,2017,2017-11-20,10,26.051,SEA,,ATL,L 31-34,,0,0,,0,,0,0,0.0,0,0
42,2017,2017-12-03,12,26.064,SEA,,PHI,W 24-10,,0,0,,0,,0,0,0.0,0,0
43,2017,2017-12-10,13,26.071,SEA,@,JAX,L 24-30,,0,0,,0,,0,0,0.0,2,0
44,2017,2017-12-17,14,26.078,SEA,,LAR,L 7-42,,0,0,,0,,0,0,0.0,0,0
45,2018,2018-09-06,1,26.341,PHI,,ATL,W 18-12,,0,0,,0,,0,0,0.0,0,0
46,2018,2018-09-16,2,26.351,PHI,@,TAM,L 21-27,,0,0,,0,,0,0,0.0,0,0
47,2018,2018-09-23,3,26.358,PHI,,IND,W 20-16,,0,0,,0,,0,0,0.0,0,0
