ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.176,ATL,,NOR,W 37-34,,2,15,7.50,0,2,2,18,9.00,0,100.0%,9.00,0,0,0.0,0,0
2,2014,2014-09-14,2,22.183,ATL,@,CIN,L 10-24,,0,0,,0,3,2,22,11.00,0,66.7%,7.33,0,0,0.0,0,0
3,2014,2014-09-18,3,22.187,ATL,,TAM,W 56-14,,11,12,1.09,0,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0
4,2014,2014-09-28,4,22.197,ATL,@,MIN,L 28-41,,2,8,4.00,0,2,2,12,6.00,0,100.0%,6.00,0,0,0.0,0,0
5,2014,2014-10-05,5,22.204,ATL,@,NYG,L 20-30,,4,38,9.50,0,6,5,44,8.80,0,83.3%,7.33,0,0,0.0,0,0
6,2014,2014-10-12,6,22.211,ATL,,CHI,L 13-27,,2,5,2.50,0,3,2,26,13.00,0,66.7%,8.67,0,0,0.0,0,0
7,2014,2014-10-19,7,22.218,ATL,@,BAL,L 7-29,,2,20,10.00,0,5,5,17,3.40,0,100.0%,3.40,0,0,0.0,0,0
8,2014,2014-10-26,8,22.225,ATL,,DET,L 21-22,,3,5,1.67,0,1,1,7,7.00,1,100.0%,7.00,1,6,0.0,1,0
9,2014,2014-11-09,9,22.239,ATL,@,TAM,W 27-17,,3,16,5.33,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,0.0,1,0
10,2014,2014-11-16,10,22.246,ATL,@,CAR,W 19-17,,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,1
11,2014,2014-11-23,11,22.253,ATL,,CLE,L 24-26,,5,7,1.40,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
12,2014,2014-11-30,12,22.260,ATL,,ARI,W 29-18,,8,26,3.25,0,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0
13,2014,2014-12-08,13,22.268,ATL,@,GNB,L 37-43,,2,-2,-1.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,0.0,1,0
14,2014,2014-12-14,14,22.274,ATL,,PIT,L 20-27,,4,21,5.25,0,2,1,9,9.00,0,50.0%,4.50,0,0,0.0,0,0
15,2014,2014-12-21,15,22.281,ATL,@,NOR,W 30-14,,5,36,7.20,1,4,3,48,16.00,0,75.0%,12.00,1,6,0.0,0,0
16,2014,2014-12-28,16,22.288,ATL,,CAR,L 3-34,,6,13,2.17,0,3,2,3,1.50,0,66.7%,1.00,0,0,0.0,0,0
17,2015,2015-09-14,1,23.183,ATL,,PHI,W 26-24,,10,18,1.80,0,4,3,29,9.67,0,75.0%,7.25,0,0,0.0,0,0
18,2015,2015-09-20,2,23.189,ATL,@,NYG,W 24-20,,12,25,2.08,1,8,4,34,8.50,0,50.0%,4.25,1,6,0.0,0,0
19,2015,2015-09-27,3,23.196,ATL,@,DAL,W 39-28,*,30,141,4.70,3,5,5,52,10.40,0,100.0%,10.40,3,18,0.0,0,0
20,2015,2015-10-04,4,23.203,ATL,,HOU,W 48-21,*,14,68,4.86,3,6,5,81,16.20,0,83.3%,13.50,3,18,0.0,0,0
21,2015,2015-10-11,5,23.210,ATL,,WAS,W 25-19,*,27,153,5.67,1,8,7,44,6.29,0,87.5%,5.50,1,6,0.0,0,0
22,2015,2015-10-15,6,23.214,ATL,@,NOR,L 21-31,*,13,100,7.69,1,10,8,56,7.00,1,80.0%,5.60,2,12,0.0,0,0
23,2015,2015-10-25,7,23.224,ATL,@,TEN,W 10-7,*,25,116,4.64,0,3,2,14,7.00,0,66.7%,4.67,0,0,0.0,0,0
24,2015,2015-11-01,8,23.231,ATL,,TAM,L 20-23,*,21,88,4.19,0,8,6,43,7.17,0,75.0%,5.38,0,0,0.0,0,0
25,2015,2015-11-08,9,23.238,ATL,@,SFO,L 16-17,*,12,12,1.00,0,10,8,67,8.38,1,80.0%,6.70,1,6,0.0,0,0
26,2015,2015-11-22,10,23.252,ATL,,IND,L 21-24,*,3,43,14.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
27,2015,2015-12-06,12,23.266,ATL,@,TAM,L 19-23,*,14,47,3.36,0,11,10,56,5.60,0,90.9%,5.09,0,0,0.0,0,0
28,2015,2015-12-13,13,23.273,ATL,@,CAR,L 0-38,*,12,40,3.33,0,5,3,22,7.33,0,60.0%,4.40,0,0,0.0,0,0
29,2015,2015-12-20,14,23.280,ATL,@,JAX,W 23-17,*,25,56,2.24,1,10,7,45,6.43,0,70.0%,4.50,1,6,0.0,0,0
30,2015,2015-12-27,15,23.287,ATL,,CAR,W 20-13,*,22,73,3.32,1,5,3,17,5.67,0,60.0%,3.40,1,6,0.0,0,0
