ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1989,1989-09-10,1,24.153,SDG,@,RAI,L 14-40,2,17,8.50,0,1,10,10.00,0,0,0,,0
2,1989,1989-09-17,2,24.160,SDG,,HOU,L 27-34,0,0,,0,1,11,11.00,0,0,0,,0
3,1989,1989-09-24,3,24.167,SDG,,KAN,W 21-6,1,5,5.00,0,2,5,2.50,0,0,0,,0
4,1989,1989-10-01,4,24.174,SDG,@,PHO,W 24-13,5,19,3.80,0,0,0,,0,4,43,10.75,0
5,1989,1989-10-08,5,24.181,SDG,@,DEN,L 10-16,1,7,7.00,0,3,23,7.67,0,1,52,52.00,0
6,1989,1989-10-15,6,24.188,SDG,,SEA,L 16-17,3,9,3.00,0,3,15,5.00,0,3,8,2.67,0
7,1989,1989-11-05,9,24.209,SDG,,PHI,W 20-17,5,7,1.40,0,2,7,3.50,0,0,0,,0
8,1989,1989-11-12,10,24.216,SDG,,RAI,W 14-12,0,0,,0,0,0,,0,2,9,4.50,0
9,1989,1989-11-19,11,24.223,SDG,@,PIT,L 17-20,0,0,,0,0,0,,0,1,0,0.00,0
10,1989,1989-11-26,12,24.230,SDG,@,IND,L 6-10,0,0,,0,0,0,,0,0,0,,0
