ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1963,1963-09-15,1,22.062,CHI,@,GNB,W 10-3,0,0,,0,1,1,100.0,1,2,50.0,0,4
2,1963,1963-09-22,2,22.069,CHI,@,MIN,W 28-7,1,6,6.00,0,4,4,100.0,,2,0.0,0,4
3,1963,1963-09-29,3,22.076,CHI,@,DET,W 37-21,0,0,,0,5,5,100.0,,2,0.0,0,5
4,1963,1963-10-06,4,22.083,CHI,,BAL,W 10-3,0,0,,0,1,1,100.0,,2,0.0,0,1
5,1963,1963-10-13,5,22.090,CHI,@,RAM,W 52-14,0,0,,0,7,7,100.0,,1,0.0,0,7
6,1963,1963-10-20,6,22.097,CHI,@,SFO,L 14-20,0,0,,0,2,2,100.0,,1,0.0,0,2
7,1963,1963-10-27,7,22.104,CHI,,PHI,W 16-7,0,0,,0,1,2,50.0,,,,0,1
8,1963,1963-11-03,8,22.111,CHI,@,BAL,W 17-7,0,0,,0,2,2,100.0,,,,0,2
9,1963,1963-11-10,9,22.118,CHI,,RAM,W 6-0,,,,,,,,,,,,
10,1963,1963-11-17,10,22.125,CHI,,GNB,W 26-7,0,0,,0,2,2,100.0,,,,0,2
11,1963,1963-11-24,11,22.132,CHI,@,PIT,T 17-17,0,0,,0,2,2,100.0,,,,0,2
12,1963,1963-12-01,12,22.139,CHI,,MIN,T 17-17,0,0,,0,2,2,100.0,,,,0,2
13,1963,1963-12-08,13,22.146,CHI,,SFO,W 27-7,0,0,,0,3,4,75.0,,,,0,3
14,1963,1963-12-15,14,22.153,CHI,,DET,W 24-14,0,0,,0,3,3,100.0,,,,0,3
15,1964,1964-09-13,1,23.060,CHI,@,GNB,L 12-23,0,0,,0,,1,0.0,2,2,100.0,0,6
16,1964,1964-09-20,2,23.067,CHI,@,MIN,W 34-28,0,0,,0,4,5,80.0,,3,0.0,0,4
17,1964,1964-10-04,4,23.081,CHI,@,SFO,L 21-31,0,0,,0,3,3,100.0,,,,0,3
18,1964,1964-10-11,5,23.088,CHI,,RAM,W 38-17,0,0,,0,5,5,100.0,1,1,100.0,0,8
19,1964,1964-10-18,6,23.095,CHI,,DET,L 0-10,0,0,,0,,,,,1,0.0,0,0
20,1964,1964-10-25,7,23.102,CHI,@,WAS,L 20-27,0,0,,0,2,3,66.7,,,,0,2
21,1964,1964-11-01,8,23.109,CHI,,DAL,L 10-24,0,0,,0,1,1,100.0,,,,0,1
22,1964,1964-11-08,9,23.116,CHI,,BAL,L 24-40,0,0,,0,3,3,100.0,,,,0,3
23,1964,1964-11-15,10,23.123,CHI,@,RAM,W 34-24,0,0,,0,4,4,100.0,,,,0,4
24,1964,1964-11-22,11,23.130,CHI,,SFO,W 23-21,0,0,,0,2,2,100.0,,,,0,2
25,1964,1964-11-26,12,23.134,CHI,@,DET,W 27-24,0,0,,0,3,3,100.0,,,,0,3
26,1964,1964-12-13,14,23.151,CHI,,MIN,L 14-41,0,0,,0,2,2,100.0,,,,0,2
27,1965,1965-09-19,1,24.066,WAS,,CLE,L 7-17,1,12,12.00,0,1,1,100.0,,3,0.0,0,1
28,1965,1965-09-26,2,24.073,WAS,@,DAL,L 7-27,0,0,,0,1,1,100.0,,,,0,1
29,1965,1965-10-03,3,24.080,WAS,@,DET,L 10-14,0,0,,0,1,1,100.0,1,2,50.0,0,4
30,1965,1965-10-10,4,24.087,WAS,,STL,L 16-37,0,0,,0,1,2,50.0,1,1,100.0,0,4
31,1965,1965-10-17,5,24.094,WAS,,BAL,L 7-38,0,0,,0,1,1,100.0,,2,0.0,0,1
32,1965,1965-10-24,6,24.101,WAS,@,STL,W 24-20,0,0,,0,3,3,100.0,1,2,50.0,0,6
33,1965,1965-10-31,7,24.108,WAS,,PHI,W 23-21,0,0,,0,2,3,66.7,1,1,100.0,0,5
34,1965,1965-11-07,8,24.115,WAS,@,NYG,W 23-7,0,0,,0,2,2,100.0,3,4,75.0,0,11
35,1965,1965-11-14,9,24.122,WAS,@,PHI,L 14-21,1,8,8.00,0,2,2,100.0,,1,0.0,0,2
36,1965,1965-11-21,10,24.129,WAS,@,PIT,W 31-3,0,0,,0,4,4,100.0,1,2,50.0,0,7
37,1965,1965-11-28,11,24.136,WAS,,DAL,W 34-31,0,0,,0,4,5,80.0,,1,0.0,0,4
38,1965,1965-12-05,12,24.143,WAS,@,CLE,L 16-24,0,0,,0,1,2,50.0,1,1,100.0,0,4
39,1965,1965-12-12,13,24.150,WAS,,NYG,L 10-27,0,0,,0,1,1,100.0,1,2,50.0,0,4
40,1965,1965-12-19,14,24.157,WAS,,PIT,W 35-14,0,0,,0,5,5,100.0,,,,0,5
