ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1999,1999-09-19,2,22.298,PHI,,TAM,L 5-19,,4,11,36.36,26,0,0,44.9,6,42,2.36,2.36,5,38,7.60,0,0,0,0,,0,0.0%,,0,0,0.0,,
2,1999,1999-09-26,3,22.305,PHI,@,BUF,L 0-26,,6,11,54.55,34,0,0,60.4,0,0,3.09,3.09,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
3,1999,1999-10-03,4,22.312,PHI,@,NYG,L 15-16,,3,7,42.86,38,0,0,60.4,4,22,5.43,5.43,1,13,13.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
4,1999,1999-10-17,6,22.326,PHI,@,CHI,W 20-16,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,,,
5,1999,1999-10-31,8,22.340,PHI,,NYG,L 17-23,,1,2,50.00,0,0,0,56.2,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
6,1999,1999-11-07,9,22.347,PHI,@,CAR,L 7-33,,8,20,40.00,68,0,1,28.7,2,9,3.40,1.15,3,21,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
7,1999,1999-11-14,10,22.354,PHI,,WAS,W 35-28,*,8,21,38.10,60,0,0,46.3,3,22,2.86,2.86,9,49,5.44,0,0,0,0,,0,0.0%,,0,0,0.0,,
8,1999,1999-11-21,11,22.361,PHI,,IND,L 17-44,*,19,36,52.78,165,1,2,51.3,4,47,4.58,2.64,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,0.0,,
9,1999,1999-11-28,12,23.003,PHI,@,WAS,L 17-20,*,16,28,57.14,172,2,0,99.1,2,16,6.14,7.57,8,71,8.88,0,0,0,0,,0,0.0%,,0,0,0.0,,
10,1999,1999-12-05,13,23.010,PHI,@,ARI,L 17-21,*,19,31,61.29,157,2,1,82.3,1,9,5.06,4.90,9,67,7.44,0,1,1,-6,-6.00,0,100.0%,-6.00,0,0,0.0,,
11,1999,1999-12-12,14,23.017,PHI,@,DAL,L 10-20,*,7,17,41.18,49,0,1,24.4,3,14,2.88,0.24,3,24,8.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
12,1999,2000-01-02,16,23.038,PHI,,STL,W 38-31,*,15,32,46.88,179,3,2,69.7,3,23,5.59,4.66,5,7,1.40,0,0,0,0,,0,0.0%,,0,0,0.0,,
13,2000,2000-09-03,1,23.283,PHI,@,DAL,W 41-14,*,16,28,57.14,130,1,2,51.2,1,11,4.64,2.14,5,29,5.80,1,0,0,0,,0,0.0%,,1,6,0.0,,
14,2000,2000-09-10,2,23.290,PHI,,NYG,L 18-33,*,19,33,57.58,214,1,0,87.2,3,33,6.48,7.09,5,45,9.00,1,0,0,0,,0,0.0%,,1,6,0.0,,
15,2000,2000-09-17,3,23.297,PHI,@,GNB,L 3-6,*,15,31,48.39,118,0,1,44.8,5,32,3.81,2.35,3,20,6.67,0,0,0,0,,0,0.0%,,0,0,0.0,,
