ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-09-09,1,22.186,PHO,@,WAS,L 0-31,,,5,56,11.20,0,,,0,0,,0,0,0,,0,0,0,,,,,,1,10,10.00,0,1,2,2.00,0,0,0
2,1990,1990-09-16,2,22.193,PHO,@,PHI,W 23-21,,,4,72,18.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
3,1990,1990-09-23,3,22.200,PHO,@,NOR,L 7-28,,,5,62,12.40,1,,,0,0,,0,0,0,,0,0,0,,,,,,3,43,14.33,0,0,0,,0,1,6
4,1990,1990-09-30,4,22.207,PHO,,WAS,L 10-38,,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
5,1990,1990-10-14,5,22.221,PHO,,DAL,W 20-3,,,4,61,15.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
6,1990,1990-10-21,6,22.228,PHO,@,NYG,L 19-20,,,2,33,16.50,0,,,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
7,1990,1990-10-28,7,22.235,PHO,,CHI,L 21-31,,,4,75,18.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
8,1990,1990-11-04,8,22.242,PHO,@,MIA,L 3-23,,,3,40,13.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
9,1990,1990-11-11,9,22.249,PHO,@,BUF,L 14-45,,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,0,,0,0,0,,0,0,
10,1990,1990-11-18,10,22.256,PHO,,GNB,L 21-24,,,2,34,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
11,1990,1990-11-25,11,22.263,PHO,,NWE,W 34-14,,,3,30,10.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
12,1990,1990-12-02,12,22.270,PHO,,IND,W 20-17,,,4,63,15.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
13,1990,1990-12-09,13,22.277,PHO,@,ATL,W 24-13,,,6,102,17.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
14,1990,1990-12-16,14,22.284,PHO,@,DAL,L 10-41,,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
15,1990,1990-12-23,15,22.291,PHO,,NYG,L 21-24,,,4,21,5.25,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
16,1990,1990-12-29,16,22.297,PHO,,PHI,L 21-23,,,7,132,18.86,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
17,1991,1991-09-01,1,23.178,PHO,@,RAM,W 24-14,,,5,69,13.80,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
18,1991,1991-09-08,2,23.185,PHO,@,PHI,W 26-10,,,2,75,37.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
19,1991,1991-09-15,3,23.192,PHO,@,WAS,L 0-34,,,1,20,20.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,6.00,0,0,0
20,1991,1991-09-22,4,23.199,PHO,,DAL,L 9-17,,,3,44,14.67,0,,,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,18,9.00,0,0,0
21,1991,1991-09-29,5,23.206,PHO,,NWE,W 24-10,,,4,107,26.75,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
22,1991,1991-10-06,6,23.213,PHO,@,NYG,L 9-20,,,6,54,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,0,0
23,1991,1991-10-13,7,23.220,PHO,@,MIN,L 7-34,,,3,41,13.67,0,,,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
24,1991,1991-10-20,8,23.227,PHO,,ATL,W 16-10,,,2,43,21.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
25,1991,1991-10-27,9,23.234,PHO,,MIN,L 0-28,,,3,34,11.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
26,1991,1991-11-03,10,23.241,PHO,@,DAL,L 7-27,,,4,47,11.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
27,1991,1991-11-10,11,23.248,PHO,,NYG,L 14-21,,,3,46,15.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
28,1991,1991-11-17,12,23.255,PHO,@,SFO,L 10-14,,,6,59,9.83,0,,,1,17,17.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
29,1991,1991-11-24,13,23.262,PHO,,PHI,L 14-34,,,2,19,9.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
30,1991,1991-12-08,14,23.276,PHO,,WAS,L 14-20,,,3,19,6.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
31,1991,1991-12-15,15,23.283,PHO,@,DEN,L 19-24,,,4,60,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
32,1991,1991-12-22,16,23.290,PHO,,NOR,L 3-27,,,4,29,7.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
33,1992,1992-09-06,1,24.183,PHO,@,TAM,L 7-23,,9,4,37,9.25,0,44.4%,4.11,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
34,1992,1992-09-13,2,24.190,PHO,,PHI,L 14-31,,8,3,29,9.67,1,37.5%,3.63,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
35,1992,1992-09-20,3,24.197,PHO,@,DAL,L 20-31,,9,4,51,12.75,0,44.4%,5.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
36,1992,1992-10-04,4,24.211,PHO,,WAS,W 27-24,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
37,1992,1992-10-11,5,24.218,PHO,@,NYG,L 21-31,,5,3,20,6.67,0,60.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
38,1992,1992-10-18,6,24.225,PHO,,NOR,L 21-30,,4,4,45,11.25,0,100.0%,11.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
39,1992,1992-10-25,7,24.232,PHO,@,PHI,L 3-7,,5,1,9,9.00,0,20.0%,1.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
40,1992,1992-11-01,8,24.239,PHO,,SFO,W 24-14,,7,4,51,12.75,1,57.1%,7.29,1,10,10.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
41,1992,1992-11-08,9,24.246,PHO,@,RAM,W 20-14,,13,9,126,14.00,0,69.2%,9.69,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
42,1992,1992-11-15,10,24.253,PHO,@,ATL,L 17-20,,11,5,52,10.40,0,45.5%,4.73,1,3,3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
43,1992,1992-11-22,11,24.260,PHO,,DAL,L 10-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,0,
44,1992,1992-11-29,12,24.267,PHO,@,WAS,L 3-41,,12,7,104,14.86,0,58.3%,8.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
45,1992,1992-12-06,13,24.274,PHO,,SDG,L 21-27,,7,6,112,18.67,1,85.7%,16.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
46,1992,1992-12-12,14,24.280,PHO,,NYG,W 19-0,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,0,
47,1992,1992-12-20,15,24.288,PHO,@,IND,L 13-16,,7,3,40,13.33,0,42.9%,5.71,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
48,1992,1992-12-27,16,24.295,PHO,,TAM,L 3-7,,8,6,47,7.83,0,75.0%,5.88,1,10,10.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,0,0
