ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2001,2001-09-09,1,27.287,CLE,,SEA,L 6-9,,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0
2,2001,2001-12-02,11,28.006,CLE,,TEN,L 15-31,,0,0,0,,0,0.0%,,1,27,27.00,0,0,0,,0
3,2001,2001-12-09,12,28.013,CLE,@,NWE,L 16-27,,0,0,0,,0,0.0%,,1,11,11.00,0,0,0,,0
4,2001,2001-12-16,13,28.020,CLE,,JAX,L 10-15,,5,4,35,8.75,0,80.0%,7.00,3,59,19.67,0,0,0,,0
5,2001,2001-12-23,14,28.027,CLE,@,GNB,L 7-30,,4,3,43,14.33,0,75.0%,10.75,3,64,21.33,0,0,0,,0
6,2001,2001-12-30,15,28.034,CLE,@,TEN,W 41-38,,5,3,61,20.33,0,60.0%,12.20,2,40,20.00,0,0,0,,0
7,2001,2002-01-06,16,28.041,CLE,@,PIT,L 7-28,,3,1,10,10.00,0,33.3%,3.33,3,57,19.00,0,0,0,,0
8,2002,2002-09-08,1,28.286,CLE,,KAN,L 39-40,,2,2,8,4.00,0,100.0%,4.00,4,80,20.00,0,0,0,,0
9,2002,2002-09-15,2,28.293,CLE,,CIN,W 20-7,,0,0,0,,0,0.0%,,1,27,27.00,0,0,0,,0
10,2002,2002-09-22,3,28.300,CLE,@,TEN,W 31-28,,,,,,,0.0%,,,,,,,,,
11,2002,2002-10-06,5,28.314,CLE,,BAL,L 21-26,,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0
12,2002,2002-10-27,8,28.335,CLE,@,NYJ,W 24-21,,,,,,,0.0%,,,,,,,,,
13,2002,2002-11-03,9,28.342,CLE,,PIT,L 20-23,*,0,0,0,,0,0.0%,,0,0,,0,1,15,15.00,0
14,2002,2002-11-17,10,28.356,CLE,@,CIN,W 27-20,,,,,,,0.0%,,,,,,,,,
15,2002,2002-12-08,13,29.012,CLE,@,JAX,W 21-20,,0,,,,,0.0%,,,,,,,,,
16,2002,2002-12-15,14,29.019,CLE,,IND,L 23-28,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0
17,2002,2002-12-22,15,29.026,CLE,@,BAL,W 14-13,,2,2,20,10.00,0,100.0%,10.00,1,13,13.00,0,0,0,,0
18,2002,2002-12-29,16,29.033,CLE,,ATL,W 24-16,,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0
19,2003,2003-09-07,1,29.285,CLE,,IND,L 6-9,,0,0,0,,0,0.0%,,1,16,16.00,0,0,0,,0
20,2003,2003-09-14,2,29.292,CLE,@,BAL,L 13-33,,1,,,,,0.0%,,,,,,,,,
21,2003,2003-09-21,3,29.299,CLE,@,SFO,W 13-12,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
22,2003,2003-09-28,4,29.306,CLE,,CIN,L 14-21,,,,,,,0.0%,,,,,,,,,
23,2003,2003-10-05,5,29.313,CLE,@,PIT,W 33-13,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
24,2003,2003-10-12,6,29.320,CLE,,OAK,W 13-7,,,,,,,0.0%,,,,,,,,,
25,2003,2003-10-26,8,29.334,CLE,@,NWE,L 3-9,,,,,,,0.0%,,,,,,,,,
26,2003,2003-11-09,9,29.348,CLE,@,KAN,L 20-41,,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0
27,2003,2003-11-16,10,29.355,CLE,,ARI,W 44-6,,1,1,28,28.00,0,100.0%,28.00,0,0,,0,0,0,,0
28,2003,2003-11-23,11,29.362,CLE,,PIT,L 6-13,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0
29,2003,2003-11-30,12,30.004,CLE,@,SEA,L 7-34,,4,3,28,9.33,0,75.0%,7.00,1,15,15.00,0,0,0,,0
30,2003,2003-12-08,13,30.012,CLE,,STL,L 20-26,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0
31,2003,2003-12-14,14,30.018,CLE,@,DEN,L 20-23,,0,0,0,,0,0.0%,,3,78,26.00,0,0,0,,0
32,2003,2003-12-21,15,30.025,CLE,,BAL,L 0-35,,1,0,0,,0,0.0%,0.00,3,44,14.67,0,0,0,,0
33,2003,2003-12-28,16,30.032,CLE,@,CIN,W 22-14,,,,,,,0.0%,,,,,,,,,
34,2004,2004-09-12,1,30.291,CLE,,BAL,W 20-3,,,,,,,0.0%,,,,,,,,,
