ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1980,1980-09-07,1,23.265,SEA,,SDG,L 13-34,,,,
2,1980,1980-09-14,2,23.272,SEA,@,KAN,W 17-16,,,,
3,1980,1980-09-28,4,23.286,SEA,@,WAS,W 14-0,,,,
4,1980,1980-10-05,5,23.293,SEA,@,HOU,W 26-7,2,4,2.00,0
