ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1986,1986-09-07,1,21.295,DEN,,RAI,W 38-36,0,0,,0,0,0,,0,1,28,28.00,0,0,0,,0
2,1986,1986-09-15,2,21.303,DEN,@,PIT,W 21-10,0,0,,0,0,0,,0,2,50,25.00,0,0,0,,0
3,1986,1986-09-21,3,21.309,DEN,@,PHI,W 33-7,1,-2,-2.00,0,1,7,7.00,0,2,57,28.50,0,0,0,,0
4,1986,1986-09-28,4,21.316,DEN,,NWE,W 27-20,0,0,,0,0,0,,0,2,34,17.00,0,0,0,,0
5,1986,1986-10-05,5,21.323,DEN,,DAL,W 29-14,0,0,,0,0,0,,0,0,0,,0,,,,
6,1986,1986-10-12,6,21.330,DEN,@,SDG,W 31-14,2,14,7.00,0,0,0,,0,1,12,12.00,0,0,0,,0
7,1986,1986-10-20,7,21.338,DEN,@,NYJ,L 10-22,0,0,,0,0,0,,0,0,0,,0,,,,
8,1986,1986-10-26,8,21.344,DEN,,SEA,W 20-13,0,0,,0,0,0,,0,0,0,,0,,,,
9,1986,1986-11-02,9,21.351,DEN,@,RAI,W 21-10,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0
10,1986,1986-11-09,10,21.358,DEN,,SDG,L 3-9,0,0,,0,0,0,,0,0,0,,0,,,,
11,1986,1986-11-16,11,22.000,DEN,,KAN,W 38-17,4,1,0.25,0,0,0,,0,0,0,,0,0,0,,0
12,1986,1986-11-23,12,22.007,DEN,@,NYG,L 16-19,0,0,,0,0,0,,0,1,25,25.00,0,0,0,,0
13,1986,1986-11-30,13,22.014,DEN,,CIN,W 34-28,0,0,,0,0,0,,0,4,104,26.00,0,0,0,,0
14,1986,1986-12-07,14,22.021,DEN,@,KAN,L 10-37,0,0,,0,0,0,,0,3,68,22.67,0,0,0,,0
15,1986,1986-12-13,15,22.027,DEN,,WAS,W 31-30,0,0,,0,0,0,,0,1,34,34.00,0,0,0,,0
16,1986,1986-12-20,16,22.034,DEN,@,SEA,L 16-41,2,4,2.00,0,1,3,3.00,0,5,103,20.60,0,0,0,,0
17,1987,1987-09-13,1,22.301,DEN,,SEA,W 40-17,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0
18,1987,1987-09-20,2,22.308,DEN,@,GNB,T 17-17,0,0,,0,0,0,,0,0,0,,0,,,,
19,1987,1987-10-26,6,22.344,DEN,@,MIN,L 27-34,0,0,,0,1,8,8.00,0,3,54,18.00,0,0,0,,0
20,1987,1987-11-01,7,22.350,DEN,,DET,W 34-0,4,21,5.25,0,0,0,,0,0,0,,0,0,0,,0
21,1987,1987-11-08,8,22.357,DEN,@,BUF,L 14-21,0,0,,0,0,0,,0,0,0,,0,,,,
22,1987,1987-11-16,9,23.000,DEN,,CHI,W 31-29,0,0,,0,0,0,,0,1,19,19.00,0,0,0,,0
23,1987,1987-11-22,10,23.006,DEN,@,RAI,W 23-17,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0
24,1987,1987-11-29,11,23.013,DEN,@,SDG,W 31-17,1,0,0.00,0,0,0,,0,2,59,29.50,0,0,0,,0
25,1987,1987-12-06,12,23.020,DEN,,NWE,W 31-20,0,0,,0,0,0,,0,4,57,14.25,0,0,0,,0
26,1987,1987-12-13,13,23.027,DEN,@,SEA,L 21-28,0,0,,0,0,0,,0,3,92,30.67,0,0,0,,0
27,1987,1987-12-19,14,23.033,DEN,,KAN,W 20-17,1,1,1.00,0,0,0,,0,1,24,24.00,0,0,0,,0
28,1987,1987-12-27,15,23.041,DEN,,SDG,W 24-0,5,15,3.00,0,0,0,,0,0,0,,0,0,0,,0
29,1988,1988-09-04,1,23.293,DEN,,SEA,L 14-21,0,0,,0,0,0,,0,3,56,18.67,0,0,0,,0
30,1988,1988-09-11,2,23.300,DEN,,SDG,W 34-3,7,30,4.29,0,0,0,,0,2,55,27.50,0,0,0,,0
31,1988,1988-09-18,3,23.307,DEN,@,KAN,L 13-20,0,0,,0,0,0,,0,3,46,15.33,0,0,0,,0
32,1988,1988-09-26,4,23.315,DEN,,RAI,L 27-30,0,0,,0,0,0,,0,3,67,22.33,0,0,0,,0
33,1988,1988-10-02,5,23.321,DEN,@,SDG,W 12-0,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0
34,1988,1988-10-09,6,23.328,DEN,@,SFO,W 16-13,0,0,,0,0,0,,0,1,26,26.00,0,0,0,,0
35,1988,1988-10-16,7,23.335,DEN,,ATL,W 30-14,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0
36,1988,1988-10-23,8,23.342,DEN,@,PIT,L 21-39,0,0,,0,0,0,,0,7,139,19.86,0,0,0,,0
37,1988,1988-10-31,9,23.350,DEN,@,IND,L 23-55,0,0,,0,0,0,,0,4,98,24.50,0,0,0,,0
38,1988,1988-11-06,10,23.356,DEN,,KAN,W 17-11,0,0,,0,0,0,,0,3,81,27.00,0,0,0,,0
39,1988,1988-11-13,11,23.363,DEN,,CLE,W 30-7,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
40,1988,1988-11-20,12,24.004,DEN,@,NOR,L 0-42,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0
41,1988,1988-11-27,13,24.011,DEN,,RAM,W 35-24,0,0,,0,,,,,0,0,,0,0,0,,0
42,1988,1988-12-04,14,24.018,DEN,@,RAI,L 20-21,0,0,,0,,,,,0,0,,0,0,0,,0
43,1988,1988-12-11,15,24.025,DEN,@,SEA,L 14-42,0,0,,0,0,0,,0,4,65,16.25,0,0,0,,0
44,1988,1988-12-17,16,24.031,DEN,,NWE,W 21-10,0,0,,0,0,0,,0,2,51,25.50,0,1,4,4.00,0
45,1989,1989-09-10,1,24.298,DEN,,KAN,W 34-20,0,0,,0,0,0,,0,2,53,26.50,0,2,23,11.50,0
46,1989,1989-09-18,2,24.306,DEN,@,BUF,W 28-14,0,0,,0,0,0,,0,3,52,17.33,0,0,0,,0
47,1989,1989-09-24,3,24.312,DEN,,RAI,W 31-21,0,0,,0,0,0,,0,1,12,12.00,0,2,7,3.50,0
48,1989,1989-10-01,4,24.319,DEN,@,CLE,L 13-16,0,0,,0,0,0,,0,3,68,22.67,0,2,10,5.00,0
49,1989,1989-10-08,5,24.326,DEN,,SDG,W 16-10,0,0,,0,0,0,,0,2,43,21.50,0,3,41,13.67,0
50,1989,1989-10-15,6,24.333,DEN,,IND,W 14-3,0,0,,0,0,0,,0,0,0,,0,4,26,6.50,0
51,1989,1989-10-22,7,24.340,DEN,@,SEA,W 24-21,0,0,,0,0,0,,0,3,60,20.00,0,4,24,6.00,0
52,1989,1989-10-29,8,24.347,DEN,,PHI,L 24-28,0,0,,0,0,0,,0,4,101,25.25,0,4,12,3.00,0
53,1989,1989-11-05,9,24.354,DEN,,PIT,W 34-7,,,,,,,,,0,0,,0,0,0,,0
54,1989,1989-11-20,11,25.004,DEN,@,WAS,W 14-10,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0
55,1989,1989-11-26,12,25.010,DEN,,SEA,W 41-14,0,0,,0,0,0,,0,2,28,14.00,0,0,0,,0
56,1989,1989-12-03,13,25.017,DEN,@,RAI,L 13-16,0,0,,0,0,0,,0,4,63,15.75,0,0,0,,0
57,1989,1989-12-10,14,25.024,DEN,,NYG,L 7-14,0,0,,0,0,0,,0,2,47,23.50,0,0,0,,0
58,1989,1989-12-16,15,25.030,DEN,@,PHO,W 37-0,0,0,,0,0,0,,0,1,4,4.00,0,0,0,,0
59,1989,1989-12-24,16,25.038,DEN,@,SDG,L 16-19,0,0,,0,0,0,,0,2,55,27.50,0,0,0,,0
