ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1995,1995-09-03,1,22.275,IND,,CIN,L 21-24,,0,0,,0,,0,0,,0,0.0%,,0,
2,1995,1995-09-10,2,22.282,IND,@,NYJ,W 27-24,,0,0,,0,,0,0,,0,0.0%,,0,
3,1995,1995-09-17,3,22.289,IND,@,BUF,L 14-20,,0,0,,0,,0,0,,0,0.0%,,0,
4,1995,1995-10-01,4,22.303,IND,,STL,W 21-18,,0,0,,0,,0,0,,0,0.0%,,0,
5,1995,1995-10-08,5,22.310,IND,@,MIA,W 27-24,,0,0,,0,,0,0,,0,0.0%,,0,
6,1995,1995-10-15,6,22.317,IND,,SFO,W 18-17,,0,0,,0,,0,0,,0,0.0%,,0,
7,1995,1995-10-22,7,22.324,IND,@,OAK,L 17-30,,0,0,,0,,0,0,,0,0.0%,,0,
8,1995,1995-10-29,8,22.331,IND,,NYJ,W 17-10,,0,0,,0,,0,0,,0,0.0%,,0,
9,1995,1995-11-05,9,22.338,IND,,BUF,L 10-16,,0,0,,0,1,1,16,16.00,0,100.0%,16.00,0,0
10,1995,1995-11-12,10,22.345,IND,@,NOR,L 14-17,,0,0,,0,,0,0,,0,0.0%,,0,
11,1995,1995-11-19,11,22.352,IND,@,NWE,W 24-10,,0,0,,0,1,0,0,,0,0.0%,0.00,0,
12,1995,1995-11-26,12,22.359,IND,,MIA,W 36-28,,0,0,,0,,0,0,,0,0.0%,,0,
13,1995,1995-12-03,13,23.001,IND,@,CAR,L 10-13,,0,0,,0,,0,0,,0,0.0%,,0,
14,1995,1995-12-10,14,23.008,IND,@,JAX,W 41-31,,0,0,,0,,0,0,,0,0.0%,,0,
15,1995,1995-12-17,15,23.015,IND,,SDG,L 24-27,,1,0,0.00,0,1,1,19,19.00,0,100.0%,19.00,0,0
16,1995,1995-12-23,16,23.021,IND,,NWE,W 10-7,,0,0,,0,1,0,0,,0,0.0%,0.00,0,
17,1996,1996-09-01,1,23.274,IND,,ARI,W 20-13,,3,19,6.33,0,1,1,2,2.00,1,100.0%,2.00,1,6
18,1996,1996-09-08,2,23.281,IND,@,NYJ,W 21-7,,6,15,2.50,0,2,2,18,9.00,0,100.0%,9.00,0,0
19,1996,1996-09-15,3,23.288,IND,@,DAL,W 25-24,,10,36,3.60,0,4,4,60,15.00,0,100.0%,15.00,0,0
20,1996,1996-09-23,4,23.296,IND,,MIA,W 10-6,,9,81,9.00,0,3,2,12,6.00,0,66.7%,4.00,0,0
21,1996,1996-10-06,5,23.309,IND,@,BUF,L 13-16,,3,13,4.33,0,5,2,4,2.00,0,40.0%,0.80,0,0
22,1997,1997-08-31,1,24.272,IND,@,MIA,L 10-16,,3,12,4.00,0,6,4,15,3.75,0,66.7%,2.50,0,0
23,1997,1997-09-07,2,24.279,IND,,NWE,L 6-31,,0,0,,0,,0,0,,0,0.0%,,0,
24,1997,1997-09-14,3,24.286,IND,,SEA,L 3-31,,3,9,3.00,0,3,2,7,3.50,0,66.7%,2.33,0,0
25,1997,1997-09-21,4,24.293,IND,@,BUF,L 35-37,,10,33,3.30,0,0,0,0,,0,0.0%,,0,0
26,1997,1997-10-05,5,24.307,IND,,NYJ,L 12-16,,2,5,2.50,0,2,2,20,10.00,0,100.0%,10.00,0,0
27,1997,1997-10-12,6,24.314,IND,@,PIT,L 22-24,,7,21,3.00,0,2,0,0,,0,0.0%,0.00,0,0
