ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-10-29,8,23.156,PHI,@,DEN,W 28-24,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
2,1989,1989-11-05,9,23.163,PHI,@,SDG,L 17-20,,0,0,,0,,,0,0,,0,2,12,6.00,0,0,0,,0,0,0
3,1989,1989-11-12,10,23.170,PHI,,WAS,L 3-10,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
4,1989,1989-11-19,11,23.177,PHI,,MIN,W 10-9,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
5,1989,1989-11-23,12,23.181,PHI,@,DAL,W 27-0,,0,0,,0,,,0,0,,0,1,11,11.00,0,0,0,,0,0,0
6,1989,1989-12-03,13,23.191,PHI,@,NYG,W 24-17,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
7,1989,1989-12-10,14,23.198,PHI,,DAL,W 20-10,,0,0,,0,,,0,0,,0,0,0,,0,3,12,4.00,0,0,0
8,1989,1989-12-18,15,23.206,PHI,@,NOR,L 20-30,,2,74,37.00,0,,,0,0,,0,0,0,,0,4,52,13.00,0,0,0
9,1989,1989-12-24,16,23.212,PHI,,PHO,W 31-14,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
10,1990,1990-11-04,8,24.162,PHI,,NWE,W 48-20,,0,0,,0,,,0,0,,0,0,0,,0,1,13,13.00,0,0,0
11,1990,1990-11-12,9,24.170,PHI,,WAS,W 28-14,,0,0,,0,,,0,0,,0,0,0,,0,4,32,8.00,0,0,0
12,1990,1990-11-18,10,24.176,PHI,@,ATL,W 24-23,,0,0,,0,,,0,0,,0,0,0,,0,2,3,1.50,0,0,0
