ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1979,1979-12-02,14,23.162,ATL,@,SDG,W 28-26,,,,,,,,,
2,1979,1979-12-09,15,23.169,ATL,,RAM,L 13-34,,,,,,,,,
3,1979,1979-12-16,16,23.176,ATL,,SFO,W 31-21,,,,,,,,,
4,1980,1980-11-09,10,24.139,GNB,,SFO,W 23-16,,,,,,,,,
5,1980,1980-11-16,11,24.146,GNB,@,NYG,L 21-27,,,,,,,,,
6,1980,1980-11-23,12,24.153,GNB,@,MIN,W 25-13,,,,,,,,,
7,1980,1980-11-30,13,24.160,GNB,,TAM,L 17-20,,,,,,,,,
8,1980,1980-12-07,14,24.167,GNB,@,CHI,L 7-61,,,,,,,,,
9,1980,1980-12-14,15,24.174,GNB,,HOU,L 3-22,,,,,,,,,
10,1980,1980-12-21,16,24.181,GNB,@,DET,L 3-24,,,,,,,,,
11,1981,1981-09-06,1,25.075,CHI,,GNB,L 9-16,,,,,,,,,
12,1981,1981-09-13,2,25.082,CHI,@,SFO,L 17-28,,,,,,,,,
13,1981,1981-09-20,3,25.089,CHI,,TAM,W 28-17,,,,,,,,,
14,1981,1981-09-28,4,25.097,CHI,,RAM,L 7-24,,,,,,,,,
15,1981,1981-10-04,5,25.103,CHI,@,MIN,L 21-24,,,,,,,,,
16,1981,1981-10-11,6,25.110,CHI,,WAS,L 7-24,,,,,,,,,
17,1981,1981-10-19,7,25.118,CHI,@,DET,L 17-48,,,,,,,,,
18,1981,1981-10-25,8,25.124,CHI,,SDG,W 20-17,,,,,,,,,
19,1981,1981-11-01,9,25.131,CHI,@,TAM,L 10-20,,,,,,,,,
20,1981,1981-11-08,10,25.138,CHI,@,KAN,W 16-13,,,,,,,,,
21,1981,1981-11-15,11,25.145,CHI,@,GNB,L 17-21,,,,,,,,,
22,1981,1981-11-22,12,25.152,CHI,,DET,L 7-23,,,,,,,,,
23,1981,1981-11-26,13,25.156,CHI,@,DAL,L 9-10,,,,,,,,,
24,1981,1981-12-06,14,25.166,CHI,,MIN,W 10-9,,,,,,,,,
25,1981,1981-12-13,15,25.173,CHI,@,OAK,W 23-6,,,,,,,,,
26,1981,1981-12-20,16,25.180,CHI,,DEN,W 35-24,,,,,,,,,
27,1982,1982-09-19,2,26.088,CHI,,NOR,L 0-10,,,,,,,,,
28,1982,1982-11-21,3,26.151,CHI,,DET,W 20-17,,,,,,,,,
29,1982,1982-11-28,4,26.158,CHI,@,MIN,L 7-35,,,,,,,,,
30,1982,1982-12-05,5,26.165,CHI,,NWE,W 26-13,,,,,,,,,
31,1982,1982-12-12,6,26.172,CHI,@,SEA,L 14-20,,,,,,,,,
32,1982,1982-12-19,7,26.179,CHI,,STL,L 7-10,,,,,,,,,
33,1982,1982-12-26,8,26.186,CHI,@,RAM,W 34-26,,,,,,,,,
34,1982,1983-01-02,9,26.193,CHI,@,TAM,L 23-26,,,,,,,,,
35,1983,1983-09-04,1,27.073,CHI,,ATL,L 17-20,,,,,0,0,,0,
36,1983,1983-09-11,2,27.080,CHI,,TAM,W 17-10,,,,,0,0,,0,
37,1983,1983-09-18,3,27.087,CHI,@,NOR,L 31-34,0,0,,0,0,0,,0,1.0
38,1983,1983-09-25,4,27.094,CHI,@,BAL,L 19-22,,,,,0,0,,0,
39,1983,1983-10-02,5,27.101,CHI,,DEN,W 31-14,,,,,0,0,,0,
40,1983,1983-10-09,6,27.108,CHI,,MIN,L 14-23,,,,,0,0,,0,
41,1983,1983-10-16,7,27.115,CHI,@,DET,L 17-31,,,,,0,0,,0,
42,1983,1983-10-23,8,27.122,CHI,@,PHI,W 7-6,,,,,0,0,,0,
43,1983,1983-10-30,9,27.129,CHI,,DET,L 17-38,0,0,,0,1,5,5.00,0,0.0
44,1983,1983-11-06,10,27.136,CHI,@,RAM,L 14-21,,,,,0,0,,0,
45,1983,1983-11-13,11,27.143,CHI,,PHI,W 17-14,,,,,0,0,,0,
46,1983,1983-11-20,12,27.150,CHI,@,TAM,W 27-0,,,,,0,0,,0,
47,1983,1983-11-27,13,27.157,CHI,,SFO,W 13-3,,,,,0,0,,0,
48,1983,1983-12-04,14,27.164,CHI,@,GNB,L 28-31,,,,,0,0,,0,
49,1983,1983-12-11,15,27.171,CHI,@,MIN,W 19-13,,,,,0,0,,0,
50,1983,1983-12-18,16,27.178,CHI,,GNB,W 23-21,0,0,,0,1,6,6.00,0,0.0
51,1984,1984-09-02,1,28.071,CHI,,TAM,W 34-14,0,0,,0,,,,,
52,1984,1984-09-09,2,28.078,CHI,,DEN,W 27-0,0,0,,0,,,,,
53,1984,1984-09-16,3,28.085,CHI,@,GNB,W 9-7,0,0,,0,,,,,
54,1984,1984-09-23,4,28.092,CHI,@,SEA,L 9-38,0,0,,0,,,,,
55,1984,1984-09-30,5,28.099,CHI,,DAL,L 14-23,0,0,,0,,,,,
56,1984,1984-10-07,6,28.106,CHI,,NOR,W 20-7,0,0,,0,,,,,
57,1984,1984-10-14,7,28.113,CHI,@,STL,L 21-38,0,0,,0,,,,,
58,1984,1984-10-21,8,28.120,CHI,@,TAM,W 44-9,0,0,,0,,,,,
59,1984,1984-10-28,9,28.127,CHI,,MIN,W 16-7,0,0,,0,,,,,
60,1984,1984-11-04,10,28.134,CHI,,RAI,W 17-6,0,0,,0,,,,,
61,1984,1984-11-11,11,28.141,CHI,@,RAM,L 13-29,0,0,,0,,,,,
62,1984,1984-11-18,12,28.148,CHI,,DET,W 16-14,1,7,7.00,0,0,0,,0,0.0
63,1984,1984-11-25,13,28.155,CHI,@,MIN,W 34-3,0,0,,0,,,,,
64,1984,1984-12-03,14,28.163,CHI,@,SDG,L 7-20,0,0,,0,,,,,
