ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2014,2014-09-21,3,24.140,BAL,@,CLE,W 23-21,,,,,,,,,,,0.0%,,,,,,,,
2,2014,2014-12-14,14,24.224,BAL,,JAX,W 20-12,,,,,,,,,,,0.0%,,,,,,,,
3,2014,2014-12-21,15,24.231,BAL,@,HOU,L 13-25,,4,11,2.75,0,5,2,20,10.00,0,40.0%,4.00,0,0,,0,,0,0
4,2014,2014-12-28,16,24.238,BAL,,CLE,W 20-10,,2,1,0.50,0,1,1,7,7.00,0,100.0%,7.00,2,41,20.50,0,,0,0
5,2015,2015-12-06,12,25.216,PIT,,IND,W 45-10,,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
6,2015,2015-12-13,13,25.223,PIT,@,CIN,W 33-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
7,2015,2015-12-20,14,25.230,PIT,,DEN,W 34-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
8,2015,2015-12-27,15,25.237,PIT,@,BAL,L 17-20,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
9,2015,2016-01-03,16,25.244,PIT,@,CLE,W 28-12,,12,24,2.00,0,0,0,0,,0,0.0%,,0,0,,0,1,0,2
10,2016,2016-09-12,1,26.131,PIT,@,WAS,W 38-16,,3,6,2.00,0,0,0,0,,0,0.0%,,1,18,18.00,0,,0,0
11,2016,2016-09-18,2,26.137,PIT,,CIN,W 24-16,,1,4,4.00,0,1,1,9,9.00,0,100.0%,9.00,1,22,22.00,0,,0,0
12,2016,2016-09-25,3,26.144,PIT,@,PHI,L 3-34,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,,0,0
13,2016,2016-10-02,4,26.151,PIT,,KAN,W 43-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
14,2016,2016-10-09,5,26.158,PIT,,NYJ,W 31-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
15,2016,2016-10-16,6,26.165,PIT,@,MIA,L 15-30,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,,0,0
16,2016,2016-10-23,7,26.172,PIT,,NWE,L 16-27,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0,,0,0
17,2016,2016-11-06,8,26.186,PIT,@,BAL,L 14-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
18,2016,2016-11-13,9,26.193,PIT,,DAL,L 30-35,,0,0,,0,0,0,0,,0,0.0%,,2,50,25.00,0,,0,0
19,2016,2016-11-20,10,26.200,PIT,@,CLE,W 24-9,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
20,2016,2016-11-24,11,26.204,PIT,@,IND,W 28-7,,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
21,2016,2016-12-04,12,26.214,PIT,,NYG,W 24-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
22,2016,2016-12-11,13,26.221,PIT,@,BUF,W 27-20,,1,6,6.00,0,0,0,0,,0,0.0%,,2,47,23.50,0,,0,0
23,2016,2016-12-18,14,26.228,PIT,@,CIN,W 24-20,,0,0,,0,0,0,0,,0,0.0%,,2,32,16.00,0,,0,0
24,2016,2016-12-25,15,26.235,PIT,,BAL,W 31-27,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,,0,0
25,2016,2017-01-01,16,26.242,PIT,,CLE,W 27-24,,3,14,4.67,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,,0,0
26,2017,2017-11-26,11,27.206,PIT,,GNB,W 31-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
27,2017,2017-12-04,12,27.214,PIT,@,CIN,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
28,2017,2017-12-10,13,27.220,PIT,,BAL,W 39-38,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,,0,0
29,2017,2017-12-17,14,27.227,PIT,,NWE,L 24-27,,1,3,3.00,0,0,0,0,,0,0.0%,,3,36,12.00,0,,0,0
30,2017,2017-12-25,15,27.235,PIT,@,HOU,W 34-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
31,2017,2017-12-31,16,27.241,PIT,,CLE,W 28-24,,5,22,4.40,0,3,2,9,4.50,0,66.7%,3.00,2,35,17.50,0,,0,0
