ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1988,1988-09-04,1,23.074,NWE,,NYJ,W 28-3,0,0,,0
2,1988,1988-09-11,2,23.081,NWE,@,MIN,L 6-36,0,0,,0
3,1988,1988-09-18,3,23.088,NWE,,BUF,L 14-16,0,0,,0
4,1988,1988-09-25,4,23.095,NWE,@,HOU,L 6-31,1,5,5.00,0
5,1988,1988-10-02,5,23.102,NWE,,IND,W 21-17,0,0,,0
6,1988,1988-10-09,6,23.109,NWE,@,GNB,L 3-45,0,0,,0
7,1988,1988-10-16,7,23.116,NWE,,CIN,W 27-21,0,0,,0
8,1988,1988-10-23,8,23.123,NWE,@,BUF,L 20-23,0,0,,0
9,1988,1988-11-13,11,23.144,NWE,@,NYJ,W 14-13,0,0,,0
10,1988,1988-11-20,12,23.151,NWE,@,MIA,W 6-3,0,0,,0
11,1988,1988-11-27,13,23.158,NWE,@,IND,L 21-24,0,0,,0
12,1988,1988-12-04,14,23.165,NWE,,SEA,W 13-7,0,0,,0
13,1988,1988-12-11,15,23.172,NWE,,TAM,W 10-7,0,0,,0
14,1988,1988-12-17,16,23.178,NWE,@,DEN,L 10-21,0,0,,0
