ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-11-08,8,24.103,CLE,,ATL,W 38-3,0,0,,0,2,74,37.00,0
2,1987,1987-11-15,9,24.110,CLE,,BUF,W 27-21,0,0,,0,1,45,45.00,0
3,1987,1987-11-22,10,24.117,CLE,@,HOU,W 40-7,0,0,,0,3,77,25.67,0
4,1987,1987-11-29,11,24.124,CLE,@,SFO,L 24-38,0,0,,0,4,160,40.00,0
5,1987,1987-12-06,12,24.131,CLE,,IND,L 7-9,0,0,,0,8,260,32.50,0
6,1989,1989-09-10,1,26.044,NOR,,DAL,W 28-0,0,0,,0,3,90,30.00,0
7,1989,1989-09-17,2,26.051,NOR,@,GNB,L 34-35,0,0,,0,2,71,35.50,0
8,1989,1989-09-24,3,26.058,NOR,@,TAM,L 10-20,0,0,,0,2,81,40.50,0
9,1989,1989-10-01,4,26.065,NOR,,WAS,L 14-16,0,0,,0,2,98,49.00,0
10,1989,1989-10-08,5,26.072,NOR,,SFO,L 20-24,1,0,0.00,0,7,255,36.43,0
