ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2016,2016-09-11,1,23.229,SEA,,MIA,W 12-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
2,2016,2016-09-25,3,23.243,SEA,,SFO,W 37-18,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0
3,2016,2016-10-02,4,23.250,SEA,@,NYJ,W 27-17,,1,1,42,42.00,1,100.0%,42.00,0,0,,0,0,0,,0,0,,,1,6
4,2016,2016-10-16,5,23.264,SEA,,ATL,W 26-24,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0
5,2016,2016-10-23,6,23.271,SEA,@,ARI,T 6-6,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,0,0
6,2016,2016-10-30,7,23.278,SEA,@,NOR,L 20-25,,0,0,0,,0,0.0%,,1,1,100.00,43,0,0,118.7,0,0,43.00,43.00,0,0
7,2016,2016-11-07,8,23.286,SEA,,BUF,W 31-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
8,2016,2016-11-20,10,23.299,SEA,,PHI,W 26-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
9,2016,2016-11-27,11,23.306,SEA,@,TAM,L 5-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
10,2016,2016-12-04,12,23.313,SEA,,CAR,W 40-7,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,,,0,0
11,2016,2016-12-11,13,23.320,SEA,@,GNB,L 10-38,,3,3,41,13.67,1,100.0%,13.67,0,0,,0,0,0,,0,0,,,1,6
12,2016,2016-12-15,14,23.324,SEA,,LAR,W 24-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
13,2016,2016-12-24,15,23.333,SEA,,ARI,L 31-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
14,2016,2017-01-01,16,23.341,SEA,@,SFO,W 25-23,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0
15,2017,2017-09-10,1,24.227,SEA,@,GNB,L 9-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0
16,2017,2017-09-17,2,24.234,SEA,,SFO,W 12-9,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0
17,2017,2017-09-24,3,24.241,SEA,@,TEN,L 27-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
18,2017,2017-10-01,4,24.248,SEA,,IND,W 46-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
19,2017,2017-10-08,5,24.255,SEA,@,LAR,W 16-10,,0,0,0,,0,0.0%,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0
20,2017,2017-10-22,6,24.269,SEA,@,NYG,W 24-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
21,2017,2017-10-29,7,24.276,SEA,,HOU,W 41-38,,1,1,53,53.00,0,100.0%,53.00,0,0,,0,0,0,,0,0,,,0,0
22,2017,2017-11-05,8,24.283,SEA,,WAS,L 14-17,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,0,0
23,2017,2017-11-09,9,24.287,SEA,@,ARI,W 22-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
24,2017,2017-11-20,10,24.298,SEA,,ATL,L 31-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
25,2017,2017-11-26,11,24.304,SEA,@,SFO,W 24-13,,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,,,0,0
26,2017,2017-12-03,12,24.311,SEA,,PHI,W 24-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
27,2017,2017-12-10,13,24.318,SEA,@,JAX,L 24-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
28,2017,2017-12-17,14,24.325,SEA,,LAR,L 7-42,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,,,0,0
29,2017,2017-12-24,15,24.332,SEA,@,DAL,W 21-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
30,2018,2018-09-09,1,25.226,MIA,,TEN,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
31,2018,2018-09-16,2,25.233,MIA,@,NYJ,W 20-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
