ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2009,2009-09-10,1,22.015,PIT,,TEN,W 13-10,,,,,,,0.0%,,,,,,,,,,,,
2,2009,2009-09-20,2,22.025,PIT,@,CHI,L 14-17,,,,,,,0.0%,,,,,,,,,,,,
3,2009,2009-09-27,3,22.032,PIT,@,CIN,L 20-23,*,,,,,,0.0%,,,,,,,,,,,,
4,2009,2009-10-11,5,22.046,PIT,@,DET,W 28-20,,0,,,,,0.0%,,,,,,,,,,,,
5,2009,2009-10-18,6,22.053,PIT,,CLE,W 27-14,*,,,,,,0.0%,,,,,,,,,,,,
6,2009,2009-10-25,7,22.060,PIT,,MIN,W 27-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0
7,2009,2009-11-09,8,22.075,PIT,@,DEN,W 28-10,,,,,,,0.0%,,,,,,,,,,,,
8,2009,2009-11-15,9,22.081,PIT,,CIN,L 12-18,,,,,,,0.0%,,,,,,,,,,,,
9,2009,2009-11-22,10,22.088,PIT,@,KAN,L 24-27,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0
10,2009,2009-11-29,11,22.095,PIT,@,BAL,L 17-20,*,,,,,,0.0%,,,,,,,,,,,,
11,2009,2009-12-06,12,22.102,PIT,,OAK,L 24-27,,,,,,,0.0%,,,,,,,,,,,,
12,2009,2009-12-10,13,22.106,PIT,@,CLE,L 6-13,,1,,,,,0.0%,,,,,,,,,,,,
13,2009,2009-12-20,14,22.116,PIT,,GNB,W 37-36,,,,,,,0.0%,,,,,,,,,,,,
14,2009,2009-12-27,15,22.123,PIT,,BAL,W 23-20,,1,,,,,0.0%,,,,,,,,,,,,
15,2009,2010-01-03,16,22.130,PIT,@,MIA,W 30-24,,,,,,,0.0%,,,,,,,,,,,,
16,2010,2010-09-12,1,23.017,PIT,,ATL,W 15-9,,,,,,,0.0%,,,,,,,,,,,,
17,2010,2010-09-19,2,23.024,PIT,@,TEN,W 19-11,,,,,,,0.0%,,,,,,,,,,,,
18,2010,2010-09-26,3,23.031,PIT,@,TAM,W 38-13,,1,,,,,0.0%,,,,,,,,,,,,
19,2010,2010-10-03,4,23.038,PIT,,BAL,L 14-17,,,,,,,0.0%,,,,,,,,,,,,
20,2010,2010-10-17,5,23.052,PIT,,CLE,W 28-10,,,,,,,0.0%,,,,,,,,,,,,
21,2010,2010-10-24,6,23.059,PIT,@,MIA,W 23-22,,,,,,,0.0%,,,,,,,,,,,,
22,2010,2010-10-31,7,23.066,PIT,@,NOR,L 10-20,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0
23,2010,2010-11-08,8,23.074,PIT,@,CIN,W 27-21,,,,,,,0.0%,,,,,,,,,,,,
24,2010,2010-11-14,9,23.080,PIT,,NWE,L 26-39,,,,,,,0.0%,,,,,,,,,,,,
25,2010,2010-11-21,10,23.087,PIT,,OAK,W 35-3,,0,,,,,0.0%,,,,,,,,,,,,
26,2010,2010-11-28,11,23.094,PIT,@,BUF,W 19-16,*,,,,,,0.0%,,,,,,,,,,,,
27,2010,2010-12-05,12,23.101,PIT,@,BAL,W 13-10,*,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,,0,0
28,2010,2010-12-12,13,23.108,PIT,,CIN,W 23-7,*,0,,,,,0.0%,,,,,,,,,,,,
29,2010,2010-12-19,14,23.115,PIT,,NYJ,L 17-22,*,1,,,,,0.0%,,,,,,,,,,,,
30,2010,2010-12-23,15,23.119,PIT,,CAR,W 27-3,*,,,,,,0.0%,,,,,,,,,,,,
31,2010,2011-01-02,16,23.129,PIT,@,CLE,W 41-9,,,,,,,0.0%,,,,,,,,,,,,
32,2011,2011-09-11,1,24.016,PIT,@,BAL,L 7-35,*,,,,,,0.0%,,,,,,,,,,,,
33,2011,2011-09-18,2,24.023,PIT,,SEA,W 24-0,*,,,,,,0.0%,,,,,,,,,,,,
34,2011,2011-09-25,3,24.030,PIT,@,IND,W 23-20,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,0,0
35,2011,2011-10-02,4,24.037,PIT,@,HOU,L 10-17,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0
