ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1997,1997-11-30,13,23.177,IND,@,NWE,L 17-20,,,,,,,,
2,1997,1997-12-07,14,23.184,IND,@,NYJ,W 22-14,,0,0,,0,1,14,0
3,1997,1997-12-14,15,23.191,IND,,MIA,W 41-0,,,,,,,,
4,1997,1997-12-21,16,23.198,IND,@,MIN,L 28-39,,,,,,,,
5,1998,1998-09-06,1,24.092,IND,,MIA,L 15-24,,,,,,,,
6,1998,1998-09-13,2,24.099,IND,@,NWE,L 6-29,,,,,,,,
7,1998,1998-09-20,3,24.106,IND,@,NYJ,L 6-44,,3,38,12.67,0,0,0,0
8,1998,1998-09-27,4,24.113,IND,,NOR,L 13-19,,,,,,,,
9,1998,1998-10-04,5,24.120,IND,,SDG,W 17-12,,,,,,,,
10,1998,1998-10-11,6,24.127,IND,,BUF,L 24-31,,,,,,,,
11,1998,1998-10-18,7,24.134,IND,@,SFO,L 31-34,,,,,,,,
12,1998,1998-11-01,8,24.148,IND,,NWE,L 16-21,,,,,,,,
13,1998,1998-11-08,9,24.155,IND,@,MIA,L 14-27,,,,,,,,
14,1998,1998-11-15,10,24.162,IND,,NYJ,W 24-23,,,,,,,,
15,1998,1998-11-22,11,24.169,IND,@,BUF,L 11-34,,,,,,,,
16,1998,1998-12-06,13,24.183,IND,@,ATL,L 21-28,,0,0,,0,1,30,0
17,1998,1998-12-13,14,24.190,IND,,CIN,W 39-26,,,,,,,,
18,1998,1998-12-20,15,24.197,IND,@,SEA,L 23-27,,,,,,,,
19,1998,1998-12-27,16,24.204,IND,,CAR,L 19-27,,,,,,,,
20,1999,1999-09-19,2,25.105,CIN,,SDG,L 7-34,,,,,,,,
21,1999,1999-09-26,3,25.112,CIN,@,CAR,L 3-27,,,,,,,,
22,1999,1999-10-03,4,25.119,CIN,,STL,L 10-38,,,,,,,,
23,1999,1999-11-07,9,25.154,CIN,@,SEA,L 20-37,*,,,,,,,
24,1999,1999-11-14,10,25.161,CIN,,TEN,L 14-24,,,,,,,,
25,1999,1999-11-21,11,25.168,CIN,,BAL,L 31-34,,,,,,,,
26,1999,1999-11-28,12,25.175,CIN,@,PIT,W 27-20,,,,,,,,
27,1999,1999-12-05,13,25.182,CIN,,SFO,W 44-30,,,,,,,,
28,1999,2000-01-02,16,25.210,NWE,,BAL,W 20-3,,,,,,,,
