ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-10,1,23.137,SDG,@,OAK,W 22-14,,1,0,0.00,0,0,0,0.0,1,0
2,2012,2012-09-16,2,23.143,SDG,,TEN,W 38-10,,0,0,,0,0,0,0.0,0,1
3,2012,2012-09-23,3,23.150,SDG,,ATL,L 3-27,,0,0,,0,0,0,0.0,1,1
4,2012,2012-09-30,4,23.157,SDG,@,KAN,W 37-20,,0,0,,0,0,0,0.0,2,0
5,2012,2012-10-07,5,23.164,SDG,@,NOR,L 24-31,,,,,,,,,,
6,2012,2012-10-15,6,23.172,SDG,,DEN,L 24-35,,0,0,,0,0,0,0.0,1,2
7,2012,2012-10-28,7,23.185,SDG,@,CLE,L 6-7,,0,0,,0,0,0,0.5,0,3
8,2012,2012-11-01,8,23.189,SDG,,KAN,W 31-13,,0,0,,0,0,0,0.0,2,1
9,2012,2012-11-11,9,23.199,SDG,@,TAM,L 24-34,,,,,,,,,,
10,2012,2012-11-18,10,23.206,SDG,@,DEN,L 23-30,*,0,0,,0,0,0,0.0,2,1
11,2012,2012-11-25,11,23.213,SDG,,BAL,L 13-16,,0,0,,0,0,0,0.0,2,0
12,2012,2012-12-02,12,23.220,SDG,,CIN,L 13-20,*,0,0,,0,0,0,0.0,4,1
13,2012,2012-12-09,13,23.227,SDG,@,PIT,W 34-24,,1,-1,-1.00,0,0,0,0.0,0,1
14,2012,2012-12-16,14,23.234,SDG,,CAR,L 7-31,,0,0,,0,0,0,0.0,1,1
15,2012,2012-12-23,15,23.241,SDG,@,NYJ,W 27-17,,0,0,,0,0,0,0.5,0,1
16,2012,2012-12-30,16,23.248,SDG,,OAK,W 24-21,,0,0,,0,0,0,0.0,0,0
17,2013,2013-12-08,13,24.226,SDG,,NYG,W 37-14,,0,0,,0,0,0,0.0,0,1
18,2013,2013-12-12,14,24.230,SDG,@,DEN,W 27-20,,,,,,,,,,
19,2013,2013-12-22,15,24.240,SDG,,OAK,W 26-13,*,0,0,,0,0,0,1.0,3,0
20,2013,2013-12-29,16,24.247,SDG,,KAN,W 27-24,,0,0,,0,0,0,0.0,1,3
21,2014,2014-09-08,1,25.135,SDG,@,ARI,L 17-18,*,0,0,,0,0,0,0.0,2,1
22,2014,2014-09-14,2,25.141,SDG,,SEA,W 30-21,*,0,0,,0,0,0,1.0,4,1
23,2014,2014-11-16,10,25.204,SDG,,OAK,W 13-6,*,0,0,,0,0,0,0.0,2,2
24,2014,2014-11-23,11,25.211,SDG,,STL,W 27-24,*,0,0,,0,0,0,0.0,2,0
25,2014,2014-11-30,12,25.218,SDG,@,BAL,W 34-33,*,0,0,,0,0,0,0.0,0,2
26,2014,2014-12-07,13,25.225,SDG,,NWE,L 14-23,*,0,0,,0,0,0,1.0,5,1
27,2014,2014-12-14,14,25.232,SDG,,DEN,L 10-22,*,0,0,,0,0,0,1.0,2,1
28,2014,2014-12-20,15,25.238,SDG,@,SFO,W 38-35,*,0,0,,0,0,0,0.0,3,0
29,2014,2014-12-28,16,25.246,SDG,@,KAN,L 7-19,*,0,0,,0,0,0,1.0,1,0
30,2015,2015-09-13,1,26.140,SDG,,DET,W 33-28,*,0,0,,0,0,0,0.0,2,2
31,2015,2015-09-20,2,26.147,SDG,@,CIN,L 19-24,*,0,0,,0,0,0,0.0,0,2
32,2015,2015-09-27,3,26.154,SDG,@,MIN,L 14-31,*,0,0,,0,0,0,0.0,6,0
33,2015,2015-10-04,4,26.161,SDG,,CLE,W 30-27,*,0,0,,0,0,0,1.5,3,2
34,2015,2015-10-12,5,26.169,SDG,,PIT,L 20-24,*,0,0,,0,0,0,0.0,2,1
35,2015,2015-10-18,6,26.175,SDG,@,GNB,L 20-27,*,0,0,,0,0,0,0.0,0,0
36,2015,2015-10-25,7,26.182,SDG,,OAK,L 29-37,*,0,0,,0,0,0,0.0,3,1
37,2015,2015-11-01,8,26.189,SDG,@,BAL,L 26-29,*,0,0,,0,0,0,1.5,4,2
38,2015,2015-11-09,9,26.197,SDG,,CHI,L 19-22,*,0,0,,0,0,0,1.0,5,0
39,2015,2015-11-22,10,26.210,SDG,,KAN,L 3-33,*,0,0,,0,0,0,0.0,6,0
40,2015,2015-11-29,11,26.217,SDG,@,JAX,W 31-25,*,0,0,,0,0,0,0.0,0,0
41,2015,2015-12-06,12,26.224,SDG,,DEN,L 3-17,*,0,0,,0,0,0,1.0,6,1
42,2015,2015-12-13,13,26.231,SDG,@,KAN,L 3-10,*,0,0,,0,0,0,1.0,2,0
43,2015,2015-12-20,14,26.238,SDG,,MIA,W 30-14,*,0,0,,0,0,0,2.5,4,2
