ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-10-17,6,24.042,CLE,@,PIT,L 10-28,*,23,33,69.70,281,1,2,80.5,5,23,8.52,6.39,4,22,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2010,2010-10-24,7,24.049,CLE,@,NOR,W 30-17,*,9,16,56.25,74,0,0,68.2,1,2,4.63,4.63,5,-5,-1.00,0,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,0,0
3,2010,2010-11-07,8,24.063,CLE,,NWE,W 34-14,*,14,19,73.68,174,0,0,101.6,0,0,9.16,9.16,3,20,6.67,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
4,2010,2010-11-14,9,24.070,CLE,,NYJ,L 20-26,*,18,31,58.06,205,1,0,88.8,3,9,6.61,7.26,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2010,2010-11-21,10,24.077,CLE,@,JAX,L 20-24,*,17,28,60.71,241,1,1,85.6,6,46,8.61,7.71,4,39,9.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
6,2010,2010-12-19,14,24.105,CLE,@,CIN,L 17-19,*,19,25,76.00,243,2,0,132.6,4,24,9.72,11.32,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2010,2010-12-26,15,24.112,CLE,,BAL,L 10-20,*,15,29,51.72,149,0,3,27.0,0,0,5.14,0.48,4,30,7.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2010,2011-01-02,16,24.119,CLE,,PIT,L 9-41,*,20,41,48.78,209,1,3,41.6,4,28,5.10,2.29,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2011,2011-09-11,1,25.006,CLE,,CIN,L 17-27,*,19,40,47.50,213,2,1,70.1,2,11,5.33,5.20,3,11,3.67,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,0.0,0,0
10,2011,2011-09-18,2,25.013,CLE,@,IND,W 27-19,*,22,32,68.75,211,1,0,97.3,1,14,6.59,7.22,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2011,2011-09-25,3,25.020,CLE,,MIA,W 17-16,*,19,39,48.72,210,2,1,71.5,0,0,5.38,5.26,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
12,2011,2011-10-02,4,25.027,CLE,,TEN,L 13-31,*,40,61,65.57,350,1,1,79.3,3,11,5.74,5.33,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2011,2011-10-16,5,25.041,CLE,@,OAK,L 17-24,*,21,45,46.67,215,2,0,75.7,2,12,4.78,5.67,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2011,2011-10-23,6,25.048,CLE,,SEA,W 6-3,*,20,35,57.14,178,0,1,59.0,4,19,5.09,3.80,9,29,3.22,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
15,2011,2011-10-30,7,25.055,CLE,@,SFO,L 10-20,*,22,34,64.71,241,1,1,83.1,4,17,7.09,6.35,8,30,3.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2011,2011-11-06,8,25.062,CLE,@,HOU,L 12-30,*,14,22,63.64,146,1,1,79.0,4,18,6.64,5.50,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
17,2011,2011-11-13,9,25.069,CLE,,STL,L 12-13,*,20,27,74.07,218,0,0,97.5,2,9,8.07,8.07,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2011,2011-11-20,10,25.076,CLE,,JAX,W 14-10,*,17,24,70.83,199,1,1,92.2,2,13,8.29,7.25,5,27,5.40,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
19,2011,2011-11-27,11,25.083,CLE,@,CIN,L 20-23,*,16,34,47.06,151,2,1,67.2,2,11,4.44,4.29,6,38,6.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2011,2011-12-04,12,25.090,CLE,,BAL,L 10-24,*,17,35,48.57,192,1,1,63.0,3,22,5.49,4.77,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
21,2011,2011-12-08,13,25.094,CLE,@,PIT,L 3-14,*,18,35,51.43,209,0,2,46.0,3,16,5.97,3.40,6,15,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
22,2012,2012-11-25,11,26.081,CLE,,PIT,W 20-14,,,,,,,,,,,,,,,,,0,,,,,0.0%,,,,,,
23,2012,2012-12-09,13,26.095,CLE,,KAN,W 30-7,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
24,2012,2012-12-23,15,26.109,CLE,@,DEN,L 12-34,,9,17,52.94,79,1,0,85.2,4,25,4.65,5.82,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
25,2013,2013-09-26,4,27.021,SFO,@,STL,W 35-11,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,
