ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-12,1,21.024,ARI,@,PHI,W 25-24,*,6,4,21,5.25,0,66.7%,3.50,1,1,1.00,0,0,0,,0,0,0
2,1999,1999-09-19,2,21.031,ARI,@,MIA,L 16-19,,2,1,5,5.00,0,50.0%,2.50,1,2,2.00,0,4,63,15.75,0,0,0
3,1999,1999-09-27,3,21.039,ARI,,SFO,L 10-24,*,5,0,0,,0,0.0%,0.00,0,0,,0,3,-1,-0.33,0,0,0
4,1999,1999-10-03,4,21.045,ARI,@,DAL,L 7-35,*,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,0,0
5,1999,1999-10-10,5,21.052,ARI,,NYG,W 14-3,*,12,8,101,12.63,1,66.7%,8.42,0,0,,0,0,0,,0,1,6
6,1999,1999-10-17,6,21.059,ARI,,WAS,L 10-24,*,4,3,44,14.67,0,75.0%,11.00,1,-8,-8.00,0,0,0,,0,0,0
7,1999,1999-10-31,7,21.073,ARI,,NWE,L 3-27,*,10,2,14,7.00,0,20.0%,1.40,0,0,,0,0,0,,0,0,0
8,1999,1999-11-07,8,21.080,ARI,@,NYJ,L 7-12,,,,,,,0.0%,,,,,,,,,,,
9,1999,1999-11-14,9,21.087,ARI,,DET,W 23-19,,4,4,53,13.25,0,100.0%,13.25,0,0,,0,0,0,,0,0,0
10,1999,1999-11-21,10,21.094,ARI,,DAL,W 13-9,*,7,3,47,15.67,0,42.9%,6.71,1,7,7.00,0,0,0,,0,0,0
11,1999,1999-11-28,11,21.101,ARI,@,NYG,W 34-24,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
12,1999,1999-12-05,12,21.108,ARI,,PHI,W 21-17,*,5,3,28,9.33,1,60.0%,5.60,0,0,,0,0,0,,0,1,6
