ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1976,1976-09-12,1,22.060,NWE,,BAL,L 13-27,,,,,,
2,1976,1976-09-19,2,22.067,NWE,,MIA,W 30-14,,,,,,
3,1976,1976-09-26,3,22.074,NWE,@,PIT,W 30-27,,,,,,
4,1976,1976-10-03,4,22.081,NWE,,OAK,W 48-17,,,,,,
5,1976,1976-10-10,5,22.088,NWE,@,DET,L 10-30,,,,,,
6,1976,1976-10-18,6,22.096,NWE,,NYJ,W 41-7,,,,,,
7,1976,1976-10-24,7,22.102,NWE,@,BUF,W 26-22,,,,,,
8,1976,1976-10-31,8,22.109,NWE,@,MIA,L 3-10,,,,,,
9,1976,1976-11-07,9,22.116,NWE,,BUF,W 20-10,,,,,,
10,1976,1976-11-14,10,22.123,NWE,@,BAL,W 21-14,,,,,,
11,1976,1976-11-21,11,22.130,NWE,@,NYJ,W 38-24,1,6,6.00,1,1,6
12,1976,1976-11-28,12,22.137,NWE,,DEN,W 38-14,,,,,,
13,1976,1976-12-05,13,22.144,NWE,,NOR,W 27-6,,,,,,
14,1976,1976-12-12,14,22.151,NWE,@,TAM,W 31-14,,,,,,
15,1977,1977-09-18,1,23.066,NWE,,KAN,W 21-17,,,,,,
16,1977,1977-09-26,2,23.074,NWE,@,CLE,L 27-30,,,,,,
17,1977,1977-10-02,3,23.080,NWE,@,NYJ,L 27-30,,,,,,
18,1977,1977-10-09,4,23.087,NWE,,SEA,W 31-0,,,,,,
19,1977,1977-10-16,5,23.094,NWE,@,SDG,W 24-20,,,,,,
20,1977,1977-10-23,6,23.101,NWE,,BAL,W 17-3,,,,,,
21,1977,1977-10-30,7,23.108,NWE,,NYJ,W 24-13,,,,,,
22,1977,1977-11-06,8,23.115,NWE,,BUF,L 14-24,,,,,,
23,1977,1977-11-13,9,23.122,NWE,@,MIA,L 5-17,,,,,,
24,1977,1977-11-20,10,23.129,NWE,@,BUF,W 20-7,,,,,,
25,1977,1977-11-27,11,23.136,NWE,,PHI,W 14-6,,,,,,
26,1977,1977-12-04,12,23.143,NWE,@,ATL,W 16-10,,,,,,
27,1977,1977-12-11,13,23.150,NWE,,MIA,W 14-10,,,,,,
28,1977,1977-12-18,14,23.157,NWE,@,BAL,L 24-30,,,,,,
29,1978,1978-09-10,2,24.058,NWE,@,STL,W 16-6,,,,,,
30,1978,1978-09-18,3,24.066,NWE,,BAL,L 27-34,,,,,,
31,1978,1978-09-24,4,24.072,NWE,@,OAK,W 21-14,,,,,,
32,1978,1978-10-01,5,24.079,NWE,,SDG,W 28-23,,,,,,
33,1978,1978-10-08,6,24.086,NWE,,PHI,W 24-14,,,,,,
34,1978,1978-10-15,7,24.093,NWE,@,CIN,W 10-3,,,,,,
35,1978,1978-10-22,8,24.100,NWE,,MIA,W 33-24,,,,,,
