ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2012,2012-09-09,1,24.263,PIT,@,DEN,L 19-31,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0
2,2012,2012-09-16,2,24.270,PIT,,NYJ,W 27-10,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0
3,2012,2012-09-23,3,24.277,PIT,@,OAK,L 31-34,,4,12,3.00,0,2,2,20,10.00,0,100.0%,10.00,0,0
4,2012,2012-10-07,4,24.291,PIT,,PHI,W 16-14,,,,,,,,,,,0.0%,,,
5,2012,2012-10-11,5,24.295,PIT,@,TEN,L 23-26,,10,22,2.20,1,1,1,3,3.00,0,100.0%,3.00,1,6
6,2012,2012-10-21,6,24.305,PIT,@,CIN,W 24-17,,2,4,2.00,0,1,0,0,,0,0.0%,0.00,0,0
7,2012,2012-10-28,7,24.312,PIT,,WAS,W 27-12,,4,1,0.25,0,1,1,8,8.00,0,100.0%,8.00,0,0
8,2012,2012-11-04,8,24.319,PIT,@,NYG,W 24-20,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0
9,2012,2012-11-12,9,24.327,PIT,,KAN,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,0,0
10,2012,2012-11-18,10,24.333,PIT,,BAL,L 10-13,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0
11,2012,2012-12-16,14,24.361,PIT,@,DAL,L 24-27,,,,,,,,,,,0.0%,,,
12,2012,2012-12-23,15,25.002,PIT,,CIN,L 10-13,,,,,,,,,,,0.0%,,,
