ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-12-02,12,25.030,BUF,,JAX,W 34-18,,0,0,0,,0,0.0%,,1,55,55.00,0,0,0,0.0,0,0,0,0,0
2,2012,2012-12-16,14,25.044,BUF,,SEA,L 17-50,,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,0.0,0,0,0,0,0
3,2012,2012-12-30,16,25.058,BUF,,NYJ,W 28-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
4,2013,2013-09-08,1,25.310,BUF,,NWE,L 21-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
5,2013,2013-09-15,2,25.317,BUF,,CAR,W 24-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
6,2013,2013-09-22,3,25.324,BUF,@,NYJ,L 20-27,,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,0.0,2,0,0,0,0
7,2013,2013-09-29,4,25.331,BUF,,BAL,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,0,0,0,0
8,2013,2013-10-03,5,25.335,BUF,@,CLE,L 24-37,,1,0,0,,0,0.0%,0.00,2,37,18.50,0,0,0,0.0,1,0,0,0,0
9,2013,2013-10-13,6,25.345,BUF,,CIN,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
10,2013,2013-10-20,7,25.352,BUF,@,MIA,W 23-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,0,0,0,0
11,2013,2013-10-27,8,25.359,BUF,@,NOR,L 17-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
12,2013,2013-11-03,9,26.001,BUF,,KAN,L 13-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
13,2013,2013-11-10,10,26.008,BUF,@,PIT,L 10-23,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,0.0,0,0,0,0,0
14,2013,2013-11-17,11,26.015,BUF,,NYJ,W 37-14,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,2,0,0,0
15,2013,2013-12-01,12,26.029,BUF,,ATL,L 31-34,,,,,,,0.0%,,,,,,,,,,,,,
16,2013,2013-12-08,13,26.036,BUF,@,TAM,L 6-27,,,,,,,0.0%,,,,,,,,,,,,,
17,2013,2013-12-15,14,26.043,BUF,@,JAX,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
18,2013,2013-12-22,15,26.050,BUF,,MIA,W 19-0,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,2,1,0,0,0
19,2013,2013-12-29,16,26.057,BUF,@,NWE,L 20-34,,0,0,0,,0,0.0%,,1,28,28.00,0,0,0,0.0,1,1,0,0,0
20,2014,2014-09-07,1,26.309,BUF,@,CHI,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
21,2014,2014-09-14,2,26.316,BUF,,MIA,W 29-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,1,0,0,0
22,2014,2014-09-21,3,26.323,BUF,,SDG,L 10-22,,,,,,,0.0%,,,,,,,,,,,,,
23,2014,2014-11-13,10,27.011,BUF,@,MIA,L 9-22,,,,,,,0.0%,,,,,,,,,,,,,
24,2014,2014-11-24,11,27.022,BUF,,NYJ,W 38-3,,0,0,0,,0,0.0%,,1,13,13.00,0,0,0,0.0,2,0,0,0,0
25,2014,2014-11-30,12,27.028,BUF,,CLE,W 26-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0,0,0
26,2014,2014-12-07,13,27.035,BUF,@,DEN,L 17-24,,,,,,,0.0%,,,,,,,,,,,,,
27,2014,2014-12-14,14,27.042,BUF,,GNB,W 21-13,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
28,2014,2014-12-21,15,27.049,BUF,@,OAK,L 24-26,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
29,2014,2014-12-28,16,27.056,BUF,@,NWE,W 17-9,,,,,,,0.0%,,,,,,,,,,,,,
30,2015,2015-09-13,1,27.315,BUF,,IND,W 27-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
31,2015,2015-09-20,2,27.322,BUF,,NWE,L 32-40,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
32,2015,2015-09-27,3,27.329,BUF,@,MIA,W 41-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
33,2015,2015-10-04,4,27.336,BUF,,NYG,L 10-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
34,2015,2015-10-11,5,27.343,BUF,@,TEN,W 14-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
35,2015,2015-10-25,7,27.357,BUF,@,JAX,L 31-34,,1,1,58,58.00,1,100.0%,58.00,0,0,,0,1,6,0.0,0,0,0,0,0
36,2015,2015-11-08,8,28.006,BUF,,MIA,W 33-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
37,2015,2015-11-12,9,28.010,BUF,@,NYJ,W 22-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
38,2015,2015-11-23,10,28.021,BUF,@,NWE,L 13-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
39,2015,2015-12-06,12,28.034,BUF,,HOU,W 30-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,1,0,0
40,2015,2015-12-13,13,28.041,BUF,@,PHI,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
41,2015,2015-12-20,14,28.048,BUF,@,WAS,L 25-35,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
42,2015,2015-12-27,15,28.055,BUF,,DAL,W 16-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
