ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2005,2005-12-19,14,24.001,BAL,,GNB,W 48-3,,,,,,,,
2,2005,2005-12-25,15,24.007,BAL,,MIN,W 30-23,,,,,,,,
3,2005,2006-01-01,16,24.014,BAL,@,CLE,L 16-20,,,,,,,,
4,2006,2006-09-10,1,24.266,BAL,@,TAM,W 27-0,,1,0,0.00,0,0.0,,
5,2006,2006-09-17,2,24.273,BAL,,OAK,W 28-6,,,,,,,,
6,2006,2006-09-24,3,24.280,BAL,@,CLE,W 15-14,,,,,,,,
7,2006,2006-10-01,4,24.287,BAL,,SDG,W 16-13,,,,,,,,
8,2006,2006-10-09,5,24.295,BAL,@,DEN,L 3-13,,,,,,,,
9,2006,2006-10-15,6,24.301,BAL,,CAR,L 21-23,,,,,,,,
10,2006,2006-10-29,7,24.315,BAL,@,NOR,W 35-22,,,,,,,,
11,2006,2006-11-05,8,24.322,BAL,,CIN,W 26-20,,,,,,,,
12,2006,2006-11-12,9,24.329,BAL,@,TEN,W 27-26,,,,,,,,
13,2006,2006-11-19,10,24.336,BAL,,ATL,W 24-10,,,,,,,,
14,2006,2006-11-26,11,24.343,BAL,,PIT,W 27-0,,,,,,,,
15,2006,2006-11-30,12,24.347,BAL,@,CIN,L 7-13,,,,,,,,
16,2006,2006-12-10,13,24.357,BAL,@,KAN,W 20-10,,,,,,,,
17,2006,2006-12-17,14,24.364,BAL,,CLE,W 27-17,,,,,,,,
18,2006,2006-12-24,15,25.006,BAL,@,PIT,W 31-7,,,,,,,,
19,2006,2006-12-31,16,25.013,BAL,,BUF,W 19-7,,,,,,,,
20,2007,2007-09-09,1,25.265,DAL,,NYG,W 45-35,,,,,,,,
21,2007,2007-09-16,2,25.272,DAL,@,MIA,W 37-20,,,,,,,,
22,2007,2007-09-30,4,25.286,DAL,,STL,W 35-7,,,,,,,,
23,2007,2007-10-08,5,25.294,DAL,@,BUF,W 25-24,,,,,,,,
24,2007,2007-10-14,6,25.300,DAL,,NWE,L 27-48,,,,,,,,
25,2007,2007-10-21,7,25.307,DAL,,MIN,W 24-14,,,,,,,,
26,2007,2007-12-22,15,26.004,DAL,@,CAR,W 20-13,,,,,,,,
27,2007,2007-12-30,16,26.012,DAL,@,WAS,L 6-27,,,,,,,,
28,2008,2008-10-05,4,26.292,BAL,,TEN,L 10-13,,0,0,,0,0.0,1,0
29,2008,2008-10-12,5,26.299,BAL,@,IND,L 3-31,,,,,,,,
30,2008,2008-10-19,6,26.306,BAL,@,MIA,W 27-13,,,,,,,,
31,2008,2008-10-26,7,26.313,BAL,,OAK,W 29-10,,0,0,,0,0.0,0,0
32,2008,2008-11-02,8,26.320,BAL,@,CLE,W 37-27,,0,0,,0,0.0,1,0
33,2008,2008-11-09,9,26.327,BAL,@,HOU,W 41-13,,0,0,,0,0.0,3,1
34,2008,2008-11-30,12,26.348,BAL,@,CIN,W 34-3,,0,0,,0,0.0,1,0
35,2008,2008-12-20,15,27.002,BAL,@,DAL,W 33-24,,0,0,,0,0.0,1,1
36,2008,2008-12-28,16,27.010,BAL,,JAX,W 27-7,,0,0,,0,0.0,1,0
37,2009,2009-12-13,13,27.360,MIA,@,JAX,W 14-10,,,,,,,,
38,2010,2010-10-31,7,28.317,MIA,@,CIN,W 22-14,,0,0,,0,0.0,0,1
