ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2015,2015-09-13,1,23.325,CHI,,GNB,L 23-31,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
2,2015,2015-09-20,2,23.332,CHI,,ARI,L 23-48,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
3,2015,2015-11-01,7,24.009,CHI,,MIN,L 20-23,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
4,2015,2015-11-09,8,24.017,CHI,@,SDG,W 22-19,*,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
5,2015,2015-11-15,9,24.023,CHI,@,STL,W 37-13,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
6,2015,2015-11-22,10,24.030,CHI,,DEN,L 15-17,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
7,2015,2015-11-26,11,24.034,CHI,@,GNB,W 17-13,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
8,2015,2015-12-06,12,24.044,CHI,,SFO,L 20-26,,0,0,,0,1,34,34.00,0,0,0,0.0,4,0,0,0,0
9,2015,2016-01-03,16,24.072,CHI,,DET,L 20-24,*,0,0,,0,0,0,,0,0,0,1.0,3,0,0,0,0
10,2016,2016-09-11,1,24.324,CHI,@,HOU,L 14-23,*,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
11,2016,2016-09-19,2,24.332,CHI,,PHI,L 14-29,*,1,17,17.00,0,0,0,,0,0,0,0.0,1,0,0,0,0
12,2016,2016-10-02,4,24.345,CHI,,DET,W 17-14,*,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
13,2016,2016-10-09,5,24.352,CHI,@,IND,L 23-29,*,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
14,2016,2016-10-16,6,24.359,CHI,,JAX,L 16-17,*,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
15,2016,2016-10-20,7,24.363,CHI,@,GNB,L 10-26,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
16,2016,2016-11-20,10,25.028,CHI,@,NYG,L 16-22,*,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
17,2016,2016-11-27,11,25.035,CHI,,TEN,L 21-27,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
18,2016,2016-12-04,12,25.042,CHI,,SFO,W 26-6,*,1,0,0.00,0,1,3,3.00,0,0,0,0.0,0,0,0,0,0
19,2016,2016-12-11,13,25.049,CHI,@,DET,L 17-20,*,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
20,2016,2016-12-24,15,25.062,CHI,,WAS,L 21-41,*,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
21,2017,2017-09-10,1,25.322,CHI,,ATL,L 17-23,*,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
22,2017,2017-09-17,2,25.329,CHI,@,TAM,L 7-29,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
23,2017,2017-09-24,3,25.336,CHI,,PIT,W 23-17,,0,0,,0,0,0,,0,0,0,1.0,3,1,0,0,0
24,2017,2017-09-28,4,25.340,CHI,@,GNB,L 14-35,*,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
25,2017,2017-10-09,5,25.351,CHI,,MIN,L 17-20,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
26,2017,2017-10-15,6,25.357,CHI,@,BAL,W 27-24,,0,0,,0,0,0,,0,0,0,0.0,3,1,1,52,0
27,2017,2017-10-22,7,25.364,CHI,,CAR,W 17-3,*,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
28,2017,2017-10-29,8,26.006,CHI,@,NOR,L 12-20,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
29,2017,2017-12-10,13,26.048,CHI,@,CIN,W 33-7,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
30,2017,2017-12-16,14,26.054,CHI,@,DET,L 10-20,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
31,2017,2017-12-24,15,26.062,CHI,,CLE,W 20-3,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,21,0
32,2017,2017-12-31,16,26.069,CHI,@,MIN,L 10-23,*,0,0,,0,1,59,59.00,1,1,6,0.0,2,0,0,0,0
33,2018,2018-09-09,1,26.321,CHI,@,GNB,L 23-24,*,0,0,,0,0,0,,0,0,0,0.0,8,0,0,0,0
34,2018,2018-09-17,2,26.329,CHI,,SEA,W 24-17,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
35,2018,2018-09-23,3,26.335,CHI,@,ARI,W 16-14,*,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0
