ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-08,1,22.281,SEA,@,OAK,L 17-31,,0,0,,0,0,0,0,,0,0.0%,,1,66,66.00,0,0,0,,0,,0,0,0.0,,
2,2002,2002-09-15,2,22.288,SEA,,ARI,L 13-24,,7,35,5.00,0,1,1,6,6.00,0,100.0%,6.00,5,102,20.40,0,0,0,,0,,0,0,0.0,,
3,2002,2002-09-22,3,22.295,SEA,@,NYG,L 6-9,,0,0,,0,0,0,0,,0,0.0%,,3,76,25.33,0,0,0,,0,,0,0,0.0,,
4,2002,2002-09-29,4,22.302,SEA,,MIN,W 48-23,,1,3,3.00,0,0,0,0,,0,0.0%,,4,53,13.25,0,0,0,,0,,0,0,0.0,,
5,2002,2002-10-14,5,22.317,SEA,,SFO,L 21-28,,0,0,,0,0,0,0,,0,0.0%,,6,122,20.33,0,0,0,,0,,0,0,0.0,,
6,2002,2002-10-20,6,22.323,SEA,@,STL,L 20-37,,2,21,10.50,0,1,1,12,12.00,0,100.0%,12.00,7,231,33.00,1,0,0,,0,,1,6,0.0,,
7,2002,2002-10-27,7,22.330,SEA,@,DAL,W 17-14,,6,24,4.00,0,0,0,0,,0,0.0%,,3,60,20.00,0,0,0,,0,,0,0,0.0,,
8,2002,2002-11-03,8,22.337,SEA,,WAS,L 3-14,,0,0,,0,0,0,0,,0,0.0%,,2,34,17.00,0,0,0,,0,,0,0,0.0,,
9,2002,2002-11-10,9,22.344,SEA,@,ARI,W 27-6,,15,72,4.80,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,,
10,2002,2002-12-01,12,23.000,SEA,@,SFO,L 24-31,,1,-2,-2.00,0,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0,,0,0,0.0,,
