ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1963,1963-09-15,1,22.092,CLE,,WAS,W 37-14,1,17,17.00,0,0,0,,0,0,0
2,1963,1963-09-22,2,22.099,CLE,@,DAL,W 41-24,1,17,17.00,0,0,0,,0,0,0
3,1963,1963-10-20,6,22.127,CLE,,PHI,W 37-7,1,7,7.00,0,0,0,,0,0,0
4,1963,1963-10-27,7,22.134,CLE,,NYG,L 6-33,2,97,48.50,0,0,0,,0,0,0
5,1963,1963-11-24,11,22.162,CLE,,DAL,W 27-17,1,35,35.00,0,0,0,,0,0,0
6,1963,1963-12-01,12,22.169,CLE,@,STL,W 24-10,2,63,31.50,0,0,0,,0,0,0
7,1963,1963-12-15,14,22.183,CLE,@,WAS,W 27-20,1,8,8.00,0,0,0,,0,0,0
8,1964,1964-09-20,2,23.097,CLE,,STL,T 33-33,1,7,7.00,0,0,0,,0,0,0
9,1964,1964-10-18,6,23.125,CLE,@,DAL,W 20-16,1,5,5.00,0,0,0,,0,0,0
10,1964,1964-12-12,14,23.180,CLE,@,NYG,W 52-20,1,12,12.00,0,0,0,,0,0,0
11,1965,1965-10-17,5,24.124,CLE,,DAL,W 23-17,0,0,,0,1,0,0.00,0,0,0
12,1965,1965-10-24,6,24.131,CLE,@,NYG,W 38-14,1,22,22.00,0,0,0,,0,0,0
13,1965,1965-11-28,11,24.166,CLE,@,PIT,W 42-21,0,0,,0,1,0,0.00,0,0,0
14,1965,1965-12-05,12,24.173,CLE,,WAS,W 24-16,1,14,14.00,1,0,0,,0,1,6
15,1965,1965-12-19,14,24.187,CLE,@,STL,W 27-24,4,77,19.25,1,0,0,,0,1,6
16,1966,1966-11-20,10,25.158,ATL,@,NYG,W 27-16,1,28,28.00,0,0,0,,0,0,0
