ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,21.151,BUF,,NWE,L 21-23,*,2,1,18,18.00,1,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
2,2013,2013-09-15,2,21.158,BUF,,CAR,W 24-23,*,6,4,68,17.00,0,66.7%,11.33,1,3,3.00,0,0,0,,0,0,0,,0,1,0,2,0.0,0,0
3,2013,2013-09-22,3,21.165,BUF,@,NYJ,L 20-27,*,10,2,35,17.50,0,20.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
4,2013,2013-09-29,4,21.172,BUF,,BAL,W 23-20,*,8,4,80,20.00,1,50.0%,10.00,1,13,13.00,0,0,0,,0,0,0,,0,,1,6,0.0,2,0
5,2013,2013-10-03,5,21.176,BUF,@,CLE,L 24-37,*,13,5,64,12.80,0,38.5%,4.92,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
6,2013,2013-10-13,6,21.186,BUF,,CIN,L 24-27,*,6,2,9,4.50,0,33.3%,1.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2013,2013-10-20,7,21.193,BUF,@,MIA,W 23-21,*,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,2013,2013-10-27,8,21.200,BUF,@,NOR,L 17-35,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0
9,2013,2013-11-03,9,21.207,BUF,,KAN,L 13-23,*,8,4,44,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,1
10,2013,2013-12-01,12,21.235,BUF,,ATL,L 31-34,*,3,2,39,19.50,0,66.7%,13.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2013,2013-12-08,13,21.242,BUF,@,TAM,L 6-27,*,5,3,20,6.67,0,60.0%,4.00,0,0,,0,1,9,9.00,0,0,0,,0,,0,0,0.0,0,0
12,2013,2013-12-15,14,21.249,BUF,@,JAX,W 27-20,*,6,5,82,16.40,1,83.3%,13.67,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
13,2013,2013-12-22,15,21.256,BUF,,MIA,W 19-0,*,5,3,70,23.33,0,60.0%,14.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2013,2013-12-29,16,21.263,BUF,@,NWE,L 20-34,*,6,1,27,27.00,0,16.7%,4.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
