ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,24.053,NYG,@,WAS,L 17-19,,,,,,,,,,,,,,,,,,,,,,
2,1976,1976-09-19,2,24.060,NYG,@,PHI,L 7-20,,,,,,,,,,,,,,,,,,,,,,
3,1976,1976-09-26,3,24.067,NYG,@,RAM,L 10-24,,,,,,,,,,,,,,,,,,,,,,
4,1976,1976-10-03,4,24.074,NYG,@,STL,L 21-27,,,,,,,,,,,,,,,,,,,,,,
5,1976,1976-10-10,5,24.081,NYG,,DAL,L 14-24,,,,,,,,,,,,,,,,,,,,,,
6,1976,1976-10-17,6,24.088,NYG,@,MIN,L 7-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0
7,1976,1976-10-24,7,24.095,NYG,,PIT,L 0-27,,,,,,,,,,,,,,,,,,,,,,
8,1976,1976-10-31,8,24.102,NYG,,PHI,L 0-10,,,,,,,,,,,,,,,,,,,,,,
9,1976,1976-11-07,9,24.109,NYG,@,DAL,L 3-9,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0
10,1976,1976-11-14,10,24.116,NYG,,WAS,W 12-9,,,,,,,,,,,,,,,,,,,,,,
11,1976,1976-11-21,11,24.123,NYG,@,DEN,L 13-14,,,,,,,,,,,,,,,,,,,,,,
12,1976,1976-11-28,12,24.130,NYG,,SEA,W 28-16,,,,,,,,,,,,,,,,,,,,,,
13,1976,1976-12-05,13,24.137,NYG,,DET,W 24-10,,,,,,,,,,,,,,,,,,,,,,
14,1976,1976-12-12,14,24.144,NYG,,STL,L 14-17,,,,,,,,,,,,,,,,,,,,,,
15,1977,1977-09-18,1,25.059,NYG,,WAS,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0
16,1977,1977-09-25,2,25.066,NYG,@,DAL,L 21-41,,,,,,,,,,,,,,,,,,,,,,
17,1977,1977-10-02,3,25.073,NYG,@,ATL,L 3-17,,,,,,,,,,,,,,,,,,,,,,
18,1977,1977-10-09,4,25.080,NYG,,PHI,L 10-28,,,,,,,,,,,,,,,,,,,,,,
19,1977,1977-10-16,5,25.087,NYG,,SFO,W 20-17,,,,,,,,,,,,,,,,,,,,,,
20,1977,1977-10-23,6,25.094,NYG,@,WAS,W 17-6,,,,,,,,,,,,,,,,,,,,,,
21,1977,1977-10-31,7,25.102,NYG,@,STL,L 0-28,,,,,,,,,,,,,,,,,,,,,,
22,1977,1977-11-06,8,25.108,NYG,,DAL,L 10-24,,,,,,,,,,,,,,,,,,,,,,
23,1977,1977-11-13,9,25.115,NYG,@,TAM,W 10-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,0
24,1977,1977-11-20,10,25.122,NYG,,CLE,L 7-21,,,,,,,,,,,,,,,,,,,,,,
25,1977,1977-11-27,11,25.129,NYG,@,CIN,L 13-30,,,,,,,,,,,,,,,,,,,,,,
26,1977,1977-12-04,12,25.136,NYG,,STL,W 27-7,,,,,,,,,,,,,,,,,,,,,,
27,1977,1977-12-11,13,25.143,NYG,@,PHI,L 14-17,,,,,,,,,,,,,,,,,,,,,,
28,1977,1977-12-18,14,25.150,NYG,,CHI,L 9-12,,,,,,,,,,,,,,,,,,,,,,
29,1978,1978-09-02,1,26.043,NYG,@,TAM,W 19-13,,,,,,,,,,,,,,,,,,,,,,
30,1978,1978-09-10,2,26.051,NYG,,DAL,L 24-34,,,,,,,,,,,,,,,,,,,,,,
31,1978,1978-09-17,3,26.058,NYG,,KAN,W 26-10,,,,,,,,,,,,,,,,,,,,,,
32,1978,1978-09-24,4,26.065,NYG,,SFO,W 27-10,,,,,,,,,,,,,,,,,,,,,,
33,1978,1978-10-01,5,26.072,NYG,@,ATL,L 20-23,,,,,,,,,,,,,,,,,,,,,,
34,1978,1978-10-08,6,26.079,NYG,@,DAL,L 3-24,,,,,,,,,,,,,,,,,,,,,,
35,1978,1978-10-15,7,26.086,NYG,,TAM,W 17-14,,,,,,,,,,,,,,,,,,,,,,
36,1978,1978-10-22,8,26.093,NYG,,WAS,W 17-6,,,,,,,,,,,,,,,,,,,,,,
37,1978,1978-10-29,9,26.100,NYG,@,NOR,L 17-28,0,0,,0,1,1,100.00,35,0,0,118.7,0,0,35.00,35.00,0,0,,0,0,0,0
38,1978,1978-11-05,10,26.107,NYG,@,STL,L 10-20,,,,,,,,,,,,,,,,,,,,,,
39,1978,1978-11-12,11,26.114,NYG,@,WAS,L 13-16,,,,,,,,,,,,,,,,,,,,,,
40,1978,1978-11-19,12,26.121,NYG,,PHI,L 17-19,,,,,,,,,,,,,,,,,,,,,,
41,1978,1978-11-26,13,26.128,NYG,@,BUF,L 17-41,,,,,,,,,,,,,,,,,,,,,,
42,1978,1978-12-03,14,26.135,NYG,,RAM,L 17-20,,,,,,,,,,,,,,,,,,,,,,
43,1978,1978-12-10,15,26.142,NYG,,STL,W 17-0,,,,,,,,,,,,,,,,,,,,,,
44,1978,1978-12-17,16,26.149,NYG,@,PHI,L 3-20,,,,,,,,,,,,,,,,,,,,,,
