ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.353,CHI,,BUF,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,,0,0,0.0,0,1
2,2014,2014-09-14,2,22.360,CHI,@,SFO,W 28-20,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,,0,0,0.0,0,0
3,2014,2014-09-22,3,23.003,CHI,@,NYJ,W 27-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
4,2014,2014-09-28,4,23.009,CHI,,GNB,L 17-38,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
5,2014,2014-10-05,5,23.016,CHI,@,CAR,L 24-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
6,2014,2014-10-12,6,23.023,CHI,@,ATL,W 27-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
7,2014,2014-10-19,7,23.030,CHI,,MIA,L 14-27,,,,,,,,,,,0.0%,,,,,,,,,,,
8,2014,2014-10-26,8,23.037,CHI,@,NWE,L 23-51,,,,,,,,,,,0.0%,,,,,,,,,,,
9,2014,2014-11-09,9,23.051,CHI,@,GNB,L 14-55,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
10,2014,2014-11-16,10,23.058,CHI,,MIN,W 21-13,,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0,,0,0,0.0,0,0
11,2014,2014-11-23,11,23.065,CHI,,TAM,W 21-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
12,2014,2014-11-27,12,23.069,CHI,@,DET,L 17-34,,0,0,,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,,0,0,0.0,1,1
13,2014,2014-12-04,13,23.076,CHI,,DAL,L 28-41,,0,0,,0,0,0,0,,0,0.0%,,0,9,,0,,0,0,0.0,0,0
14,2014,2014-12-15,14,23.087,CHI,,NOR,L 15-31,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,,0,0,0.0,0,0
15,2014,2014-12-21,15,23.093,CHI,,DET,L 14-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
16,2014,2014-12-28,16,23.100,CHI,@,MIN,L 9-13,,,,,,,,,,,0.0%,,,,,,,,,,,
17,2017,2017-09-17,1,25.363,MIA,@,LAC,W 19-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
18,2017,2017-09-24,2,26.005,MIA,@,NYJ,L 6-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
19,2017,2017-10-01,3,26.012,MIA,,NOR,L 0-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
20,2017,2017-10-08,4,26.019,MIA,,TEN,W 16-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
21,2017,2017-10-15,5,26.026,MIA,@,ATL,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
22,2017,2017-10-22,6,26.033,MIA,,NYJ,W 31-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
23,2017,2017-10-26,7,26.037,MIA,@,BAL,L 0-40,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
24,2017,2017-11-05,8,26.047,MIA,,OAK,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
25,2017,2017-11-13,9,26.055,MIA,@,CAR,L 21-45,,0,0,,0,0,0,0,,0,0.0%,,4,87,21.75,0,,0,0,0.0,0,0
26,2017,2017-11-19,10,26.061,MIA,,TAM,L 20-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
27,2017,2017-11-26,11,26.068,MIA,@,NWE,L 17-35,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
28,2017,2017-12-03,12,26.075,MIA,,DEN,W 35-9,,5,22,4.40,0,0,0,0,,0,0.0%,,1,20,20.00,0,1,0,2,0.0,0,0
29,2017,2017-12-11,13,26.083,MIA,,NWE,W 27-20,,0,0,,0,0,0,0,,0,0.0%,,2,33,16.50,0,,0,0,0.0,0,0
30,2017,2017-12-17,14,26.089,MIA,@,BUF,L 16-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
31,2017,2017-12-24,15,26.096,MIA,@,KAN,L 13-29,,0,0,,0,0,0,0,,0,0.0%,,1,3,3.00,0,,0,0,0.0,0,0
32,2017,2017-12-31,16,26.103,MIA,,BUF,L 16-22,,3,8,2.67,0,1,1,3,3.00,0,100.0%,3.00,2,59,29.50,0,,0,0,0.0,0,0
33,2018,2018-09-09,1,26.355,MIA,,TEN,W 27-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
34,2018,2018-09-16,2,26.362,MIA,@,NYJ,W 20-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
35,2018,2018-09-23,3,27.004,MIA,,OAK,W 28-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
