ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,23.267,BUF,,MIA,L 7-9,,,,,,,,
2,1979,1979-09-09,2,23.274,BUF,,CIN,W 51-24,,,,,,,,
3,1979,1979-09-16,3,23.281,BUF,@,SDG,L 19-27,,,,,,,,
4,1979,1979-09-23,4,23.288,BUF,,NYJ,W 46-31,,,,,,,,
5,1979,1979-09-30,5,23.295,BUF,@,BAL,W 31-13,,,,,,,,
6,1979,1979-10-07,6,23.302,BUF,,CHI,L 0-7,,,,,,,,
7,1979,1979-10-14,7,23.309,BUF,@,MIA,L 7-17,,,,,,,,
8,1979,1979-10-21,8,23.316,BUF,,BAL,L 13-14,,,,,,,,
9,1979,1979-10-28,9,23.323,BUF,@,DET,W 20-17,,,,,,,,
10,1979,1979-11-04,10,23.330,BUF,,NWE,L 6-26,,,,,,,,
11,1979,1979-11-11,11,23.337,BUF,@,NYJ,W 14-12,,,,,,,,
12,1979,1979-11-18,12,23.344,BUF,,GNB,W 19-12,,,,,,,,
13,1979,1979-11-25,13,23.351,BUF,@,NWE,W 16-13,0,0,,0,0.0,2,15,0
14,1979,1979-12-02,14,23.358,BUF,,DEN,L 16-19,,,,,,,,
15,1979,1979-12-09,15,24.000,BUF,@,MIN,L 3-10,,,,,,,,
16,1979,1979-12-16,16,24.007,BUF,@,PIT,L 0-28,,,,,,,,
17,1980,1980-09-07,1,24.273,BUF,,MIA,W 17-7,,,,,,,,
18,1980,1980-09-14,2,24.280,BUF,,NYJ,W 20-10,,,,,,,,
19,1980,1980-09-21,3,24.287,BUF,@,NOR,W 35-26,,,,,,,,
20,1980,1980-09-28,4,24.294,BUF,,OAK,W 24-7,0,0,,0,0.0,1,13,0
21,1980,1980-10-05,5,24.301,BUF,@,SDG,W 26-24,0,0,,0,0.0,1,17,0
22,1980,1980-10-12,6,24.308,BUF,,BAL,L 12-17,,,,,,,,
23,1980,1980-10-19,7,24.315,BUF,@,MIA,L 14-17,,,,,,,,
24,1980,1980-10-26,8,24.322,BUF,,NWE,W 31-13,,,,,,,,
25,1980,1980-11-02,9,24.329,BUF,,ATL,L 14-30,,,,,,,,
26,1980,1980-11-09,10,24.336,BUF,@,NYJ,W 31-24,,,,,,,,
27,1980,1980-11-16,11,24.343,BUF,@,CIN,W 14-0,,,,,,,,
28,1980,1980-11-23,12,24.350,BUF,,PIT,W 28-13,,,,,,,,
29,1980,1980-11-30,13,24.357,BUF,@,BAL,L 24-28,,,,,,,,
30,1980,1980-12-07,14,24.364,BUF,,RAM,W 10-7,,,,,,,,
31,1980,1980-12-14,15,25.005,BUF,@,NWE,L 2-24,,,,,,,,
32,1980,1980-12-21,16,25.012,BUF,@,SFO,W 18-13,,,,,,,,
33,1981,1981-09-06,1,25.271,BUF,,NYJ,W 31-0,,,,,,,,
34,1981,1981-09-13,2,25.278,BUF,@,BAL,W 35-3,,,,,,,,
35,1981,1981-09-17,3,25.282,BUF,,PHI,L 14-20,,,,,,,,
36,1981,1981-09-27,4,25.292,BUF,@,CIN,L 24-27,,,,,,,,
37,1981,1981-10-04,5,25.299,BUF,,BAL,W 23-17,,,,,,,,
38,1981,1981-10-12,6,25.307,BUF,,MIA,W 31-21,,,,,,,,
39,1981,1981-10-18,7,25.313,BUF,@,NYJ,L 14-33,,,,,,,,
40,1981,1981-10-25,8,25.320,BUF,,DEN,W 9-7,,,,,,,,
41,1981,1981-11-01,9,25.327,BUF,,CLE,W 22-13,,,,,,,,
42,1981,1981-11-09,10,25.335,BUF,@,DAL,L 14-27,,,,,,,,
43,1981,1981-11-15,11,25.341,BUF,@,STL,L 0-24,,,,,,,,
44,1981,1981-11-22,12,25.348,BUF,,NWE,W 20-17,,,,,,,,
45,1981,1981-11-29,13,25.355,BUF,,WAS,W 21-14,,,,,,,,
46,1981,1981-12-06,14,25.362,BUF,@,SDG,W 28-27,,,,,,,,
47,1981,1981-12-13,15,26.004,BUF,@,NWE,W 19-10,,,,,,,,
48,1981,1981-12-19,16,26.010,BUF,@,MIA,L 6-16,,,,,,,,
49,1982,1982-09-12,1,26.277,BUF,,KAN,W 14-9,0,0,,0,,,,
50,1982,1982-09-16,2,26.281,BUF,,MIN,W 23-22,0,0,,0,,,,
51,1982,1982-11-21,3,26.347,BUF,,MIA,L 7-9,0,0,,0,,,,
52,1982,1982-11-28,4,26.354,BUF,,BAL,W 20-0,1,4,4.00,0,0.0,0,0,0
53,1982,1982-12-05,5,26.361,BUF,@,GNB,L 21-33,0,0,,0,,,,
54,1982,1982-12-27,8,27.018,BUF,@,MIA,L 10-27,0,0,,0,,,,
55,1982,1983-01-02,9,27.024,BUF,@,NWE,L 19-30,0,0,,0,,,,
56,1983,1983-11-20,12,27.346,BUF,,RAI,L 24-27,,,,,,,,
57,1983,1983-11-27,13,27.353,BUF,@,RAM,L 17-41,,,,,,,,
58,1983,1983-12-04,14,27.360,BUF,@,KAN,W 14-9,,,,,,,,
59,1983,1983-12-11,15,28.002,BUF,,SFO,L 10-23,,,,,,,,
60,1983,1983-12-18,16,28.009,BUF,@,ATL,L 14-31,,,,,,,,
61,1984,1984-09-02,1,28.268,BUF,,NWE,L 17-21,,,,,,,,
62,1984,1984-09-09,2,28.275,BUF,@,STL,L 7-37,,,,,,,,
63,1984,1984-09-17,3,28.283,BUF,,MIA,L 17-21,,,,,,,,
64,1984,1984-09-23,4,28.289,BUF,,NYJ,L 26-28,,,,,,,,
65,1984,1984-09-30,5,28.296,BUF,@,IND,L 17-31,,,,,,,,
66,1984,1984-10-07,6,28.303,BUF,,PHI,L 17-27,0,0,,0,1.0,0,0,0
67,1984,1984-10-14,7,28.310,BUF,@,SEA,L 28-31,,,,,,,,
68,1984,1984-10-28,9,28.324,BUF,@,MIA,L 7-38,,,,,,,,
69,1984,1984-11-04,10,28.331,BUF,,CLE,L 10-13,,,,,,,,
70,1984,1984-11-11,11,28.338,BUF,@,NWE,L 10-38,0,0,,0,0.5,0,0,0
71,1984,1984-11-18,12,28.345,BUF,,DAL,W 14-3,,,,,,,,
72,1984,1984-11-25,13,28.352,BUF,@,WAS,L 14-41,,,,,,,,
73,1984,1984-12-02,14,28.359,BUF,,IND,W 21-15,0,0,,0,1.0,0,0,0
74,1984,1984-12-08,15,28.365,BUF,@,NYJ,L 17-21,0,0,,0,1.0,0,0,0
75,1984,1984-12-16,16,29.007,BUF,@,CIN,L 21-52,,,,,,,,
76,1985,1985-09-08,1,29.273,BUF,,SDG,L 9-14,,,,,,,,
77,1985,1985-09-15,2,29.280,BUF,@,NYJ,L 3-42,,,,,,,,
78,1985,1985-09-22,3,29.287,BUF,,NWE,L 14-17,,,,,,,,
79,1985,1985-09-29,4,29.294,BUF,,MIN,L 20-27,,,,,,,,
80,1985,1985-10-06,5,29.301,BUF,@,IND,L 17-49,,,,,,,,
81,1985,1985-10-13,6,29.308,BUF,@,NWE,L 3-14,,,,,,,,
82,1985,1985-10-20,7,29.315,BUF,,IND,W 21-9,,,,,,,,
83,1985,1985-10-27,8,29.322,BUF,@,PHI,L 17-21,,,,,,,,
84,1985,1985-11-03,9,29.329,BUF,,CIN,L 17-23,,,,,,,,
85,1985,1985-11-10,10,29.336,BUF,,HOU,W 20-0,,,,,,,,
86,1985,1985-11-17,11,29.343,BUF,@,CLE,L 7-17,,,,,,,,
