ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2002,2002-09-05,1,27.099,NYG,,SFO,L 13-16,,1,1,100.0,2,2,100.0,0,7,0,0,,0
2,2002,2002-09-15,2,27.109,NYG,@,STL,W 26-21,,2,2,100.0,4,4,100.0,0,14,0,0,,0
3,2002,2002-09-22,3,27.116,NYG,,SEA,W 9-6,,,,,3,3,100.0,0,9,0,0,,0
4,2002,2002-09-29,4,27.123,NYG,@,ARI,L 7-21,,1,1,100.0,,,,0,1,,,,
5,2002,2002-10-06,5,27.130,NYG,@,DAL,W 21-17,,3,3,100.0,,,,0,3,,,,
6,2002,2002-10-13,6,27.137,NYG,,ATL,L 10-17,,1,1,100.0,1,1,100.0,0,4,0,0,,0
7,2002,2002-10-28,7,27.152,NYG,@,PHI,L 3-17,,,,,1,1,100.0,0,3,0,0,,0
8,2002,2002-11-03,8,27.158,NYG,,JAX,W 24-17,,3,3,100.0,1,3,33.3,0,6,0,0,,0
9,2002,2002-11-10,9,27.165,NYG,@,MIN,W 27-20,,1,2,50.0,,1,0.0,0,1,0,0,,0
10,2002,2002-11-17,10,27.172,NYG,,WAS,W 19-17,,1,1,100.0,4,4,100.0,0,13,0,0,,0
11,2002,2002-11-24,11,27.179,NYG,@,HOU,L 14-16,,2,2,100.0,,1,0.0,0,2,0,0,,0
12,2002,2002-12-01,12,27.186,NYG,,TEN,L 29-32,,2,2,100.0,3,3,100.0,0,11,0,0,,0
13,2002,2002-12-08,13,27.193,NYG,@,WAS,W 27-21,,3,3,100.0,2,3,66.7,0,9,0,0,,0
14,2002,2002-12-15,14,27.200,NYG,,DAL,W 37-7,,4,4,100.0,3,3,100.0,0,13,0,0,,0
15,2002,2002-12-22,15,27.207,NYG,@,IND,W 44-27,,5,6,83.3,1,1,100.0,0,8,0,0,,0
16,2002,2002-12-28,16,27.213,NYG,,PHI,W 10-7,,1,1,100.0,1,2,50.0,0,4,0,0,,0
17,2003,2003-09-07,1,28.101,NYG,,STL,W 23-13,,2,2,100.0,3,3,100.0,0,11,0,0,,0
18,2003,2003-09-15,2,28.109,NYG,,DAL,L 32-35,,3,3,100.0,1,1,100.0,0,6,0,0,,0
19,2003,2003-09-21,3,28.115,NYG,@,WAS,W 24-21,,3,3,100.0,1,2,50.0,0,6,0,0,,0
20,2003,2003-10-05,4,28.129,NYG,,MIA,L 10-23,,1,1,100.0,1,1,100.0,0,4,0,0,,0
21,2003,2003-11-16,10,28.171,NYG,@,PHI,L 10-28,,1,1,100.0,1,1,100.0,0,4,0,0,,0
22,2003,2003-11-24,11,28.179,NYG,@,TAM,L 13-19,,1,1,100.0,2,2,100.0,0,7,0,0,,0
23,2003,2003-11-30,12,28.185,NYG,,BUF,L 7-24,,1,1,100.0,,,,0,1,,,,
24,2003,2003-12-07,13,28.192,NYG,,WAS,L 7-20,,1,1,100.0,,1,0.0,0,1,0,0,,0
25,2003,2003-12-14,14,28.199,NYG,@,NOR,L 7-45,,1,1,100.0,,1,0.0,0,1,0,0,,0
26,2003,2003-12-21,15,28.206,NYG,@,DAL,L 3-19,,,,,1,1,100.0,0,3,0,0,,0
27,2003,2003-12-28,16,28.213,NYG,,CAR,L 24-37,,3,3,100.0,1,1,100.0,0,6,0,0,,0
28,2004,2004-10-10,5,29.134,IND,,OAK,W 35-14,,5,5,100.0,,1,0.0,0,5,0,0,,0
29,2004,2004-10-17,6,29.141,MIA,@,BUF,L 13-20,,1,1,100.0,2,2,100.0,0,7,0,0,,0
30,2004,2004-10-24,7,29.148,MIA,,STL,W 31-14,,4,4,100.0,1,1,100.0,0,7,0,0,,0
