ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1975,1975-09-28,2,22.252,NOR,,CIN,L 0-21,1,10,10.00,0
2,1975,1975-10-26,6,22.280,NOR,@,RAM,L 14-38,1,7,7.00,0
