ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1954,1954-09-26,1,22.341,CHI,@,DET,L 23-48,*,2,12,16.67,118,1,4,56.2,0,0,9.83,-3.50,1,-2,-2.00,0,0,,,,,
2,1954,1954-10-03,2,22.348,CHI,@,GNB,W 10-3,,2,3,66.67,23,0,0,89.6,0,0,7.67,7.67,0,0,,0,0,,,,,
3,1954,1954-11-14,8,23.025,CHI,,CLE,L 10-39,,6,14,42.86,104,1,3,53.0,0,0,7.43,-0.79,3,13,4.33,0,0,,,,,
4,1954,1954-11-21,9,23.032,CHI,@,BAL,W 28-13,*,13,21,61.90,183,1,1,86.0,0,0,8.71,7.52,4,-12,-3.00,1,1,,,,,
5,1954,1954-11-28,10,23.039,CHI,,RAM,W 24-13,*,14,28,50.00,237,2,4,63.2,0,0,8.46,3.46,2,25,12.50,0,0,,,,,
6,1954,1954-12-05,11,23.046,CHI,@,CRD,W 29-7,*,15,30,50.00,238,1,3,48.3,0,0,7.93,4.10,3,9,3.00,0,0,,,,,
7,1954,1954-12-12,12,23.053,CHI,,DET,W 28-24,*,15,22,68.18,184,2,2,86.2,0,0,8.36,6.09,2,2,1.00,0,0,,,,,
8,1957,1957-09-29,1,25.344,CHI,@,GNB,L 17-21,,2,4,50.00,34,0,1,39.6,0,0,8.50,-2.75,1,10,10.00,0,0,,,,,
9,1957,1957-10-05,2,25.350,CHI,@,BAL,L 10-21,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,,,,,
10,1957,1957-10-13,3,25.358,CHI,,SFO,L 17-21,*,1,3,33.33,9,0,0,42.4,0,0,3.00,3.00,4,30,7.50,0,0,,,,,
11,1957,1957-10-20,4,26.000,CHI,,RAM,W 34-26,*,7,13,53.85,121,0,2,46.2,0,0,9.31,2.38,0,0,,0,0,,,,,
12,1957,1957-10-27,5,26.007,CHI,@,SFO,L 17-21,,7,16,43.75,68,0,2,16.7,0,0,4.25,-1.38,0,0,,0,0,,,,,
13,1957,1957-11-03,6,26.014,CHI,@,RAM,W 16-10,,3,8,37.50,73,0,0,71.4,0,0,9.13,9.13,1,14,14.00,0,0,,,,,
14,1957,1957-11-10,7,26.021,CHI,,GNB,W 21-14,*,13,19,68.42,182,1,0,116.6,0,0,9.58,10.63,4,23,5.75,0,0,,,,,
15,1957,1957-11-17,8,26.028,CHI,,BAL,L 14-29,*,4,12,33.33,40,0,3,4.2,0,0,3.33,-7.92,1,6,6.00,0,0,,,,,
16,1957,1957-12-01,10,26.042,CHI,,WAS,L 3-14,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,0,0,,0,0,,,,,
17,1957,1957-12-15,12,26.056,CHI,,DET,L 13-21,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,1,0,0.00,0,0,,,,,
18,1958,1958-10-04,2,26.349,CHI,@,BAL,L 38-51,,4,7,57.14,52,1,0,120.2,0,0,7.43,10.29,0,0,,0,0,,,,,
19,1958,1958-10-26,5,27.006,CHI,@,SFO,W 27-14,,3,3,100.00,79,1,0,158.3,0,0,26.33,33.00,1,0,0.00,0,0,,,,,
20,1958,1958-11-02,6,27.013,CHI,@,RAM,L 35-41,,17,36,47.22,173,3,2,66.1,0,0,4.81,3.97,1,-2,-2.00,0,0,,,,,
21,1958,1958-11-16,8,27.027,CHI,,BAL,L 0-17,,3,12,25.00,44,0,1,7.6,0,0,3.67,-0.08,0,0,,0,0,,,,,
