ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.220,DAL,@,TAM,W 34-21,,,,,,,,,,,,
2,2009,2009-09-20,2,22.227,DAL,,NYG,L 31-33,,,,,,,,,,,,
3,2009,2009-09-28,3,22.235,DAL,,CAR,W 21-7,,,,,,,,,,,,
4,2009,2009-10-04,4,22.241,DAL,@,DEN,L 10-17,,,,,,,,,,,,
5,2009,2009-10-11,5,22.248,DAL,@,KAN,W 26-20,,,,,,,,,,,,
6,2009,2009-10-25,6,22.262,DAL,,ATL,W 37-21,,,,,,,,,,,,
7,2009,2009-11-01,7,22.269,DAL,,SEA,W 38-17,,,,,,,,0,0,0.0,0,0
8,2009,2009-11-08,8,22.276,DAL,@,PHI,W 20-16,,,,,,,,0,0,0.0,0,0
9,2009,2009-11-15,9,22.283,DAL,@,GNB,L 7-17,,,,,,,,,,,,
10,2009,2009-11-22,10,22.290,DAL,,WAS,W 7-6,,,,,,,,,,,,
11,2009,2009-11-26,11,22.294,DAL,,OAK,W 24-7,,,,,,,,,,,,
12,2009,2009-12-06,12,22.304,DAL,@,NYG,L 24-31,,,,,,,,,,,,
13,2009,2009-12-13,13,22.311,DAL,,SDG,L 17-20,,,,,,,,,,,,
14,2009,2009-12-19,14,22.317,DAL,@,NOR,W 24-17,,,,,,,,,,,,
15,2009,2009-12-27,15,22.325,DAL,@,WAS,W 17-0,,,,,,,,,,,,
16,2009,2010-01-03,16,22.332,DAL,,PHI,W 24-0,,,,,,,,,,,,
17,2010,2010-09-12,1,23.219,DAL,@,WAS,L 7-13,,1,1,100.0,,1,0.0,0,1,0.0,0,0
18,2010,2010-09-19,2,23.226,DAL,,CHI,L 20-27,,2,2,100.0,2,3,66.7,0,8,0.0,0,0
19,2010,2010-09-26,3,23.233,DAL,@,HOU,W 27-13,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
20,2010,2010-10-10,4,23.247,DAL,,TEN,L 27-34,,3,3,100.0,2,3,66.7,0,9,0.0,0,0
21,2010,2010-10-17,5,23.254,DAL,@,MIN,L 21-24,,3,3,100.0,,,,0,3,0.0,0,0
22,2010,2010-10-25,6,23.262,DAL,,NYG,L 35-41,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
23,2010,2010-10-31,7,23.268,DAL,,JAX,L 17-35,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
24,2010,2010-11-07,8,23.275,DAL,@,GNB,L 7-45,,1,1,100.0,,,,0,1,0.0,0,0
25,2010,2010-11-14,9,23.282,DAL,@,NYG,W 33-20,,3,4,75.0,2,3,66.7,0,9,0.0,0,0
26,2010,2010-11-21,10,23.289,DAL,,DET,W 35-19,,5,5,100.0,,,,0,5,0.0,0,0
27,2010,2010-11-25,11,23.293,DAL,,NOR,L 27-30,,3,3,100.0,2,3,66.7,0,9,0.0,0,0
28,2010,2010-12-05,12,23.303,DAL,@,IND,W 38-35,,3,3,100.0,3,4,75.0,0,12,0.0,0,0
29,2010,2010-12-12,13,23.310,DAL,,PHI,L 27-30,,3,3,100.0,2,2,100.0,0,9,0.0,0,1
30,2010,2010-12-19,14,23.317,DAL,,WAS,W 33-30,,3,3,100.0,4,5,80.0,0,15,0.0,0,1
31,2010,2010-12-25,15,23.323,DAL,@,ARI,L 26-27,,2,3,66.7,2,2,100.0,0,8,0.0,0,0
32,2010,2011-01-02,16,23.331,DAL,@,PHI,W 14-13,,2,2,100.0,,1,0.0,0,2,0.0,0,0
33,2011,2011-09-11,1,24.218,DAL,@,NYJ,L 24-27,,,,,,,,,,,,
34,2011,2011-09-18,2,24.225,DAL,@,SFO,W 27-24,,,,,,,,0,0,0.0,0,1
35,2011,2011-10-30,7,24.267,DAL,@,PHI,L 7-34,,,,,,,,,,,,
36,2011,2011-11-06,8,24.274,DAL,,SEA,W 23-13,,,,,,,,0,0,0.0,0,0
