ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2017,2017-09-10,1,21.357,TEN,,OAK,L 16-26,*,0,0,,0,1,35,35.00,0,1,5,5.00,0,0.0,4,0,0,0,0
2,2017,2017-09-17,2,21.364,TEN,@,JAX,W 37-16,*,0,0,,0,0,0,,0,2,55,27.50,0,0.0,4,1,0,0,0
3,2017,2017-09-24,3,22.006,TEN,,SEA,W 33-27,*,0,0,,0,2,27,13.50,0,5,51,10.20,0,0.0,3,2,0,0,0
4,2017,2017-10-01,4,22.013,TEN,@,HOU,L 14-57,*,0,0,,0,3,71,23.67,0,1,3,3.00,0,0.0,5,0,0,0,0
5,2017,2017-10-08,5,22.020,TEN,@,MIA,L 10-16,*,0,0,,0,1,21,21.00,0,2,14,7.00,0,0.0,2,0,0,0,0
6,2017,2017-10-16,6,22.028,TEN,,IND,W 36-22,*,0,0,,0,2,46,23.00,0,0,0,,0,0.0,2,0,0,0,0
7,2017,2017-10-22,7,22.034,TEN,@,CLE,W 12-9,*,0,0,,0,0,0,,0,3,20,6.67,0,0.0,3,1,0,0,0
8,2017,2017-11-05,8,22.048,TEN,,BAL,W 23-20,*,1,20,20.00,0,1,4,4.00,0,2,22,11.00,0,0.0,6,2,0,0,0
9,2017,2017-11-12,9,22.055,TEN,,CIN,W 24-20,*,3,30,10.00,0,3,71,23.67,0,3,17,5.67,0,0.0,2,0,0,0,0
10,2017,2017-11-16,10,22.059,TEN,@,PIT,L 17-40,*,1,5,5.00,0,5,103,20.60,0,1,10,10.00,0,0.0,11,0,0,0,0
11,2017,2017-11-26,11,22.069,TEN,@,IND,W 20-16,*,0,0,,0,1,15,15.00,0,2,7,3.50,0,0.0,1,1,0,0,0
12,2017,2017-12-03,12,22.076,TEN,,HOU,W 24-13,*,0,0,,0,0,0,,0,2,41,20.50,0,0.0,3,1,0,0,0
13,2017,2017-12-10,13,22.083,TEN,@,ARI,L 7-12,*,0,0,,0,2,55,27.50,0,3,14,4.67,0,0.0,2,1,0,0,0
14,2017,2017-12-17,14,22.090,TEN,@,SFO,L 23-25,*,0,0,,0,1,21,21.00,0,1,0,0.00,0,0.0,8,0,0,0,0
15,2017,2017-12-24,15,22.097,TEN,,LAR,L 23-27,*,0,0,,0,3,109,36.33,0,2,12,6.00,0,0.0,0,0,0,0,0
16,2017,2017-12-31,16,22.104,TEN,,JAX,W 15-10,*,0,0,,0,0,0,,0,4,19,4.75,0,0.0,5,0,0,0,0
17,2018,2018-09-09,1,22.356,TEN,@,MIA,L 20-27,,0,0,,0,0,0,,0,1,26,26.00,0,0.0,4,0,0,0,0
18,2018,2018-09-16,2,22.363,TEN,,HOU,W 20-17,*,0,0,,0,0,0,,0,1,2,2.00,0,0.0,6,0,1,0,0
19,2018,2018-09-23,3,23.005,TEN,@,JAX,W 9-6,,0,0,,0,0,0,,0,1,6,6.00,0,0.0,0,0,0,0,0
