ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2005,2005-10-30,8,23.305,DAL,,ARI,W 34-13,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,,,0,0,,0
2,2005,2005-11-14,9,23.320,DAL,@,PHI,W 21-20,,0,0,,0,3,3,100.0,,,,0,3,,,,,,,
3,2005,2006-01-01,16,24.003,DAL,,STL,L 10-20,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
4,2006,2006-09-10,1,24.255,DAL,@,JAX,L 17-24,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
5,2006,2006-12-03,12,24.339,WAS,,ATL,L 14-24,,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,,,0,0,,0
6,2006,2006-12-10,13,24.346,WAS,,PHI,L 19-21,,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,,,0,0,,0
7,2006,2006-12-17,14,24.353,WAS,@,NOR,W 16-10,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
8,2006,2006-12-24,15,24.360,WAS,@,STL,L 31-37,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
9,2006,2006-12-30,16,25.001,WAS,,NYG,L 28-34,,0,0,,0,4,4,100.0,,,,0,4,,,,,,,
10,2007,2007-09-09,1,25.254,WAS,,MIA,W 16-13,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
11,2007,2007-09-17,2,25.262,WAS,@,PHI,W 20-12,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
12,2007,2007-09-23,3,25.268,WAS,,NYG,L 17-24,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
13,2007,2007-10-07,4,25.282,WAS,,DET,W 34-3,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
14,2007,2007-10-14,5,25.289,WAS,@,GNB,L 14-17,,0,0,,0,2,2,100.0,,,,0,2,,,,,,,
15,2007,2007-10-21,6,25.296,WAS,,ARI,W 21-19,,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
16,2007,2007-10-28,7,25.303,WAS,@,NWE,L 7-52,,0,0,,0,1,1,100.0,,,,0,1,,,,,,,
17,2007,2007-11-04,8,25.310,WAS,@,NYJ,W 23-20,,0,0,,0,,,,5,5,100.0,0,15,0.0,,,0,0,,0
18,2007,2007-11-11,9,25.317,WAS,,PHI,L 25-33,,0,0,,0,1,2,50.0,2,2,100.0,0,7,0.0,,,0,0,,0
19,2007,2007-11-18,10,25.324,WAS,@,DAL,L 23-28,,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,,,0,0,,0
20,2007,2007-11-25,11,25.331,WAS,@,TAM,L 13-19,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
21,2007,2007-12-02,12,25.338,WAS,,BUF,L 16-17,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
22,2007,2007-12-06,13,25.342,WAS,,CHI,W 24-16,,0,0,,0,3,3,100.0,1,3,33.3,0,6,0.0,,,0,0,,0
23,2007,2007-12-16,14,25.352,WAS,@,NYG,W 22-10,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
24,2007,2007-12-23,15,25.359,WAS,@,MIN,W 32-21,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
25,2007,2007-12-30,16,26.001,WAS,,DAL,W 27-6,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
26,2008,2008-09-04,1,26.250,WAS,@,NYG,L 7-16,,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,0,,0
27,2008,2008-09-14,2,26.260,WAS,,NOR,W 29-24,,0,0,,0,2,2,100.0,3,5,60.0,0,11,0.0,0,0,0,0,,0
28,2008,2008-09-21,3,26.267,WAS,,ARI,W 24-17,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,,0
29,2008,2008-09-28,4,26.274,WAS,@,DAL,W 26-24,,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,,0
30,2008,2008-10-05,5,26.281,WAS,@,PHI,W 23-17,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
31,2008,2008-10-12,6,26.288,WAS,,STL,L 17-19,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
32,2008,2008-10-19,7,26.295,WAS,,CLE,W 14-11,,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,,0
33,2008,2008-10-26,8,26.302,WAS,@,DET,W 25-17,,0,0,,0,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,0,,0
34,2008,2008-11-03,9,26.310,WAS,,PIT,L 6-23,,0,0,,0,,,,2,2,100.0,0,6,0.0,0,0,0,0,,0
35,2008,2008-11-16,10,26.323,WAS,,DAL,L 10-14,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,,0
36,2008,2008-11-23,11,26.330,WAS,@,SEA,W 20-17,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,,0
37,2008,2008-11-30,12,26.337,WAS,,NYG,L 7-23,,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,,0
38,2008,2008-12-07,13,26.344,WAS,@,BAL,L 10-24,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,,0
39,2008,2008-12-14,14,26.351,WAS,@,CIN,L 13-20,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0
40,2008,2008-12-21,15,26.358,WAS,,PHI,W 10-3,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,,0
41,2008,2008-12-28,16,26.365,WAS,@,SFO,L 24-27,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
42,2009,2009-09-13,1,27.258,WAS,@,NYG,L 17-23,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
