ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,21.198,DAL,,PHI,W 28-6,,,,,,,,
2,1972,1972-09-24,2,21.205,DAL,@,NYG,W 23-14,,,,,,,,
3,1972,1972-10-01,3,21.212,DAL,@,GNB,L 13-16,,,,,,,,
4,1972,1972-10-08,4,21.219,DAL,,PIT,W 17-13,,,,,,,,
5,1973,1973-09-16,1,22.197,DAL,@,CHI,W 20-17,,,,,,,,
6,1973,1973-09-24,2,22.205,DAL,,NOR,W 40-3,,,,,,,,
7,1973,1973-09-30,3,22.211,DAL,,STL,W 45-10,,,,,,,,
8,1973,1973-10-08,4,22.219,DAL,@,WAS,L 7-14,,,,,,,,
9,1973,1973-10-14,5,22.225,DAL,@,RAM,L 31-37,,,,,,,,
10,1973,1973-10-21,6,22.232,DAL,,NYG,W 45-28,,,,,,,,
11,1973,1973-10-28,7,22.239,DAL,@,PHI,L 16-30,,,,,,,,
12,1973,1973-11-04,8,22.246,DAL,,CIN,W 38-10,,,,,,,,
13,1973,1973-11-11,9,22.253,DAL,@,NYG,W 23-10,0,0,,0,0.0,1,1,0
14,1973,1973-11-18,10,22.260,DAL,,PHI,W 31-10,,,,,,,,
15,1973,1973-11-22,11,22.264,DAL,,MIA,L 7-14,,,,,,,,
16,1973,1973-12-02,12,22.274,DAL,@,DEN,W 22-10,,,,,,,,
17,1973,1973-12-09,13,22.281,DAL,,WAS,W 27-7,,,,,,,,
18,1973,1973-12-16,14,22.288,DAL,@,STL,W 30-3,,,,,,,,
19,1974,1974-09-15,1,23.196,DAL,@,ATL,W 24-0,,,,,,,,
20,1974,1974-09-23,2,23.204,DAL,@,PHI,L 10-13,,,,,,,,
21,1974,1974-09-29,3,23.210,DAL,,NYG,L 6-14,,,,,,,,
22,1974,1974-10-06,4,23.217,DAL,,MIN,L 21-23,,,,,,,,
23,1974,1974-10-13,5,23.224,DAL,@,STL,L 28-31,,,,,,,,
24,1974,1974-10-20,6,23.231,DAL,,PHI,W 31-24,,,,,,,,
25,1974,1974-10-27,7,23.238,DAL,@,NYG,W 21-7,,,,,,,,
26,1974,1974-11-03,8,23.245,DAL,,STL,W 17-14,,,,,,,,
27,1974,1974-11-10,9,23.252,DAL,,SFO,W 20-14,,,,,,,,
28,1974,1974-11-17,10,23.259,DAL,@,WAS,L 21-28,,,,,,,,
29,1974,1974-11-24,11,23.266,DAL,@,HOU,W 10-0,,,,,,,,
30,1974,1974-11-28,12,23.270,DAL,,WAS,W 24-23,1,37,37.00,0,0.0,0,0,0
31,1974,1974-12-07,13,23.279,DAL,,CLE,W 41-17,,,,,,,,
