ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1987,1987-11-01,7,25.105,RAI,@,NWE,L 23-26,0,0,,0,0,0,,0,4,91,22.75,0
2,1987,1987-11-08,8,25.112,RAI,@,MIN,L 20-31,0,0,,0,0,0,,0,6,29,4.83,0
3,1987,1987-11-15,9,25.119,RAI,@,SDG,L 14-16,0,0,,0,0,0,,0,5,30,6.00,0
4,1987,1987-11-22,10,25.126,RAI,,DEN,L 17-23,0,0,,0,0,0,,0,2,0,0.00,0
5,1987,1987-11-30,11,25.134,RAI,@,SEA,W 37-14,0,0,,0,0,0,,0,2,8,4.00,0
6,1987,1987-12-06,12,25.140,RAI,,BUF,W 34-21,0,0,,0,0,0,,0,3,13,4.33,0
7,1987,1987-12-13,13,25.147,RAI,@,KAN,L 10-16,0,0,,0,3,55,18.33,0,2,-3,-1.50,0
8,1987,1987-12-20,14,25.154,RAI,,CLE,L 17-24,1,14,14.00,0,0,0,,0,0,0,,0
9,1987,1987-12-27,15,25.161,RAI,,CHI,L 3-6,0,0,,0,0,0,,0,2,21,10.50,0
10,1988,1988-09-04,1,26.047,RAI,,SDG,W 24-13,,,,,,,,,,,,
11,1988,1988-09-11,2,26.054,RAI,@,HOU,L 35-38,0,0,,0,1,20,20.00,0,0,0,,0
12,1989,1989-11-12,10,27.116,DEN,@,KAN,W 16-13,0,0,,0,1,17,17.00,0,2,6,3.00,0
