ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2005,2005-09-11,1,27.225,TEN,@,PIT,L 7-34,,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
2,2005,2005-09-18,2,27.232,TEN,,BAL,W 25-10,,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
3,2005,2005-09-25,3,27.239,TEN,@,STL,L 27-31,,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
4,2005,2005-10-02,4,27.246,TEN,,IND,L 10-31,,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
5,2005,2005-10-09,5,27.253,TEN,@,HOU,W 34-20,,4,4,100.0,2,3,66.7,0,10,0.0,,,0,0,,0
6,2005,2005-10-16,6,27.260,TEN,,CIN,L 23-31,,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
7,2005,2005-10-23,7,27.267,TEN,@,ARI,L 10-20,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
8,2005,2005-10-30,8,27.274,TEN,,OAK,L 25-34,,1,2,50.0,2,2,100.0,0,7,0.0,,,0,0,,0
9,2005,2005-11-06,9,27.281,TEN,@,CLE,L 14-20,,2,2,100.0,,1,0.0,0,2,0.0,,,0,0,,0
10,2005,2005-11-20,10,27.295,TEN,,JAX,L 28-31,,4,4,100.0,,,,0,4,,,,,,,
11,2005,2005-11-27,11,27.302,TEN,,SFO,W 33-22,,3,3,100.0,4,4,100.0,0,15,0.0,,,0,0,,0
12,2005,2005-12-04,12,27.309,TEN,@,IND,L 3-35,,,,,1,2,50.0,0,3,0.0,,,0,0,,0
13,2005,2005-12-11,13,27.316,TEN,,HOU,W 13-10,,1,1,100.0,2,3,66.7,0,7,0.0,,,0,0,,0
14,2005,2005-12-18,14,27.323,TEN,,SEA,L 24-28,,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
15,2005,2005-12-24,15,27.329,TEN,@,MIA,L 10-24,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
16,2005,2006-01-01,16,27.337,TEN,@,JAX,L 13-40,,1,2,50.0,,,,0,1,,,,,,,
17,2006,2006-09-10,1,28.224,TEN,,NYJ,L 16-23,,,,,,,,,,,,,,,,
18,2006,2006-09-17,2,28.231,TEN,@,SDG,L 7-40,,1,1,100.0,,,,0,1,,,,,,,
19,2006,2006-09-24,3,28.238,TEN,@,MIA,L 10-13,,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
20,2006,2006-10-01,4,28.245,TEN,,DAL,L 14-45,,,,,2,2,100.0,0,6,0.0,,,0,0,,0
21,2006,2006-10-08,5,28.252,TEN,@,IND,L 13-14,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
22,2006,2006-10-15,6,28.259,TEN,@,WAS,W 25-22,,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
23,2006,2006-10-29,7,28.273,TEN,,HOU,W 28-22,,4,4,100.0,,,,0,4,,,,,,,
24,2006,2006-11-05,8,28.280,TEN,@,JAX,L 7-37,,1,1,100.0,,,,0,1,,,,,,,
25,2006,2006-11-12,9,28.287,TEN,,BAL,L 26-27,,3,3,100.0,1,3,33.3,0,6,0.0,,,0,0,,0
26,2006,2006-11-19,10,28.294,TEN,@,PHI,W 31-13,,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
27,2006,2006-11-26,11,28.301,TEN,,NYG,W 24-21,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
28,2006,2006-12-03,12,28.308,TEN,,IND,W 20-17,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
29,2006,2006-12-10,13,28.315,TEN,@,HOU,W 26-20,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
30,2006,2006-12-17,14,28.322,TEN,,JAX,W 24-17,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
31,2006,2006-12-24,15,28.329,TEN,@,BUF,W 30-29,,3,3,100.0,3,3,100.0,0,12,0.0,,,0,0,,0
32,2006,2006-12-31,16,28.336,TEN,,NWE,L 23-40,,2,2,100.0,3,4,75.0,0,11,0.0,,,0,0,,0
33,2007,2007-09-09,1,29.223,TEN,@,JAX,W 13-10,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
34,2007,2007-09-16,2,29.230,TEN,,IND,L 20-22,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
35,2007,2007-09-24,3,29.238,TEN,@,NOR,W 31-14,,4,4,100.0,1,2,50.0,0,7,0.0,,,0,0,,0
36,2007,2007-10-07,4,29.251,TEN,,ATL,W 20-13,,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
37,2007,2007-10-14,5,29.258,TEN,@,TAM,L 10-13,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
38,2007,2007-10-21,6,29.265,TEN,@,HOU,W 38-36,,2,2,100.0,8,8,100.0,0,26,0.0,,,0,0,,0
39,2007,2007-10-28,7,29.272,TEN,,OAK,W 13-9,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
40,2007,2007-11-04,8,29.279,TEN,,CAR,W 20-7,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
