ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2016,2016-11-17,10,24.134,CAR,,NOR,W 23-20,,0,0,,0,0,0,,0,0,,,6,280,46.67,0
2,2016,2016-11-27,11,24.144,CAR,@,OAK,L 32-35,,0,0,,0,0,0,,0,0,,,6,280,46.67,0
3,2016,2016-12-04,12,24.151,CAR,@,SEA,L 7-40,,0,0,,0,0,0,,0,0,,,6,254,42.33,0
4,2016,2016-12-11,13,24.158,CAR,,SDG,W 28-16,,0,0,,0,0,0,,0,0,,,5,215,43.00,0
5,2016,2016-12-19,14,24.166,CAR,@,WAS,W 26-15,,0,0,,0,0,0,,0,0,,,6,208,34.67,0
6,2016,2016-12-24,15,24.171,CAR,,ATL,L 16-33,,0,0,,0,0,0,,0,0,,,3,130,43.33,0
7,2016,2017-01-01,16,24.179,CAR,@,TAM,L 16-17,,0,0,,0,0,0,,0,0,,,4,164,41.00,0
8,2017,2017-09-10,1,25.066,CAR,@,SFO,W 23-3,,0,0,,0,0,0,,0,0,,,3,155,51.67,0
9,2017,2017-09-17,2,25.073,CAR,,BUF,W 9-3,,0,0,,0,0,0,,0,0,,,6,249,41.50,0
10,2017,2017-09-24,3,25.080,CAR,,NOR,L 13-34,,0,0,,0,0,0,,0,0,,,3,129,43.00,0
11,2017,2017-10-01,4,25.087,CAR,@,NWE,W 33-30,,0,0,,0,0,0,,0,0,,,1,35,35.00,0
12,2017,2017-10-08,5,25.094,CAR,@,DET,W 27-24,,0,0,,0,0,0,,0,0,,,5,234,46.80,0
13,2017,2017-10-12,6,25.098,CAR,,PHI,L 23-28,,0,0,,0,0,0,,0,0,,,3,136,45.33,0
14,2017,2017-10-22,7,25.108,CAR,@,CHI,L 3-17,,0,0,,0,0,0,,0,0,,,5,263,52.60,0
15,2017,2017-10-29,8,25.115,CAR,@,TAM,W 17-3,,0,0,,0,0,0,,0,0,,,7,353,50.43,0
16,2017,2017-11-05,9,25.122,CAR,,ATL,W 20-17,,0,0,,0,0,0,,0,0,,,5,249,49.80,0
17,2017,2017-11-13,10,25.130,CAR,,MIA,W 45-21,,0,0,,0,0,0,,0,0,,,2,85,42.50,0
18,2017,2017-11-26,11,25.143,CAR,@,NYJ,W 35-27,,0,0,,0,0,0,,0,0,,,6,284,47.33,0
19,2017,2017-12-03,12,25.150,CAR,@,NOR,L 21-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,215,43.00,0
20,2017,2017-12-10,13,25.157,CAR,,MIN,W 31-24,,0,0,,0,0,0,,0,0,,,6,260,43.33,0
21,2017,2017-12-17,14,25.164,CAR,,GNB,W 31-24,,0,0,,0,0,0,,0,0,,,4,174,43.50,0
22,2017,2017-12-24,15,25.171,CAR,,TAM,W 22-19,,0,0,,0,0,0,,0,0,,,3,119,39.67,0
23,2017,2017-12-31,16,25.178,CAR,@,ATL,L 10-22,,0,0,,0,0,0,,0,0,,,7,329,47.00,0
24,2018,2018-09-09,1,26.065,CAR,,DAL,W 16-8,,0,0,,0,0,0,,0,0,,,6,287,47.83,0
25,2018,2018-09-16,2,26.072,CAR,@,ATL,L 24-31,,0,0,,0,0,0,,0,0,,,4,191,47.75,0
26,2018,2018-09-23,3,26.079,CAR,,CIN,W 31-21,,0,0,,0,0,0,,0,0,,,4,165,41.25,0
