ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2014,2014-09-07,1,23.161,DAL,,SFO,L 17-28,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0
2,2014,2014-09-14,2,23.168,DAL,@,TEN,W 26-10,,,,,,,0.0%,,,,,,,
3,2014,2014-09-21,3,23.175,DAL,@,STL,W 34-31,,,,,,,0.0%,,,,,,,
4,2014,2014-09-28,4,23.182,DAL,,NOR,W 38-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
5,2014,2014-10-05,5,23.189,DAL,,HOU,W 20-17,,,,,,,0.0%,,,,,,,
6,2014,2014-10-12,6,23.196,DAL,@,SEA,W 30-23,,,,,,,0.0%,,,,,,,
7,2014,2014-10-19,7,23.203,DAL,,NYG,W 31-21,,,,,,,0.0%,,,,,,,
8,2014,2014-10-27,8,23.211,DAL,,WAS,L 17-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
9,2014,2014-11-02,9,23.217,DAL,,ARI,L 17-28,,,,,,,0.0%,,,,,,,
10,2014,2014-11-09,10,23.224,DAL,@,JAX,W 31-17,,0,,,,,0.0%,,,,,,,
11,2014,2014-11-23,11,23.238,DAL,@,NYG,W 31-28,,,,,,,0.0%,,,,,,,
12,2014,2014-11-27,12,23.242,DAL,,PHI,L 10-33,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
13,2014,2014-12-04,13,23.249,DAL,@,CHI,W 41-28,,,,,,,0.0%,,,,,,,
14,2014,2014-12-14,14,23.259,DAL,@,PHI,W 38-27,,,,,,,0.0%,,,,,,,
15,2014,2014-12-21,15,23.266,DAL,,IND,W 42-7,,,,,,,0.0%,,,,,,,
16,2014,2014-12-28,16,23.273,DAL,@,WAS,W 44-17,,,,,,,0.0%,,,,,,,
17,2015,2015-09-13,1,24.167,DAL,,NYG,W 27-26,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
18,2015,2015-09-20,2,24.174,DAL,@,PHI,W 20-10,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0
19,2015,2015-09-27,3,24.181,DAL,,ATL,L 28-39,*,0,0,0,,0,0.0%,,0,0,,0,0,0
20,2015,2015-10-04,4,24.188,DAL,@,NOR,L 20-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0
21,2015,2015-10-11,5,24.195,DAL,,NWE,L 6-30,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0
22,2015,2015-10-25,6,24.209,DAL,@,NYG,L 20-27,,1,1,25,25.00,1,100.0%,25.00,1,22,22.00,0,1,6
23,2015,2015-11-01,7,24.216,DAL,,SEA,L 12-13,,0,0,0,,0,0.0%,,0,0,,0,0,0
24,2015,2015-11-08,8,24.223,DAL,,PHI,L 27-33,,0,0,0,,0,0.0%,,0,0,,0,0,0
25,2015,2015-11-15,9,24.230,DAL,@,TAM,L 6-10,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
26,2015,2015-11-22,10,24.237,DAL,@,MIA,W 24-14,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0
27,2015,2015-12-07,12,24.252,DAL,@,WAS,W 19-16,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0
28,2015,2015-12-13,13,24.258,DAL,@,GNB,L 7-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
29,2015,2015-12-27,15,24.272,DAL,@,BUF,L 6-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
30,2015,2016-01-03,16,24.279,DAL,,WAS,L 23-34,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0
31,2016,2016-10-23,7,25.207,IND,@,TEN,W 34-26,,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0
32,2016,2016-10-30,8,25.214,IND,,KAN,L 14-30,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0
33,2016,2016-12-18,14,25.263,IND,@,MIN,W 34-6,,0,0,0,,0,0.0%,,0,0,,0,0,0
34,2016,2017-01-01,16,25.277,IND,,JAX,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,0,0
