ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,2001,2001-09-09,1,21.337,PIT,@,JAX,L 3-21,,,,,,
2,2001,2001-09-30,2,21.358,PIT,@,BUF,W 20-3,*,0,0,,0,1.0
3,2001,2001-10-07,3,22.000,PIT,,CIN,W 16-7,,,,,,
4,2001,2001-10-14,4,22.007,PIT,@,KAN,W 20-17,,,,,,
5,2001,2001-10-21,5,22.014,PIT,@,TAM,W 17-10,,,,,,
6,2001,2001-10-29,6,22.022,PIT,,TEN,W 34-7,,,,,,
7,2001,2001-11-04,7,22.028,PIT,,BAL,L 10-13,,,,,,
8,2001,2001-11-11,8,22.035,PIT,@,CLE,W 15-12,,,,,,
9,2001,2001-11-18,9,22.042,PIT,,JAX,W 20-7,,,,,,
10,2001,2001-11-25,10,22.049,PIT,@,TEN,W 34-24,,,,,,
11,2001,2001-12-02,11,22.056,PIT,,MIN,W 21-16,,,,,,
12,2001,2001-12-09,12,22.063,PIT,,NYJ,W 18-7,,,,,,
13,2001,2001-12-16,13,22.070,PIT,@,BAL,W 26-21,,,,,,
14,2001,2001-12-23,14,22.077,PIT,,DET,W 47-14,,,,,,
15,2001,2001-12-30,15,22.084,PIT,@,CIN,L 23-26,,,,,,
16,2001,2002-01-06,16,22.091,PIT,,CLE,W 28-7,,0,0,,0,1.0
17,2002,2002-09-09,1,22.337,PIT,@,NWE,L 14-30,,,,,,
18,2002,2002-09-15,2,22.343,PIT,,OAK,L 17-30,,1,12,12.00,0,0.0
19,2002,2002-09-29,3,22.357,PIT,,CLE,W 16-13,,,,,,
20,2002,2002-10-06,4,22.364,PIT,@,NOR,L 29-32,,,,,,
21,2002,2002-10-13,5,23.006,PIT,@,CIN,W 34-7,,0,0,,0,2.5
22,2002,2002-10-21,6,23.014,PIT,,IND,W 28-10,,,,,,
23,2002,2002-10-27,7,23.020,PIT,@,BAL,W 31-18,,,,,,
24,2002,2002-11-03,8,23.027,PIT,@,CLE,W 23-20,,0,0,,0,1.0
25,2002,2002-11-10,9,23.034,PIT,,ATL,T 34-34,,,,,,
