ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-17,2,22.250,DEN,@,ATL,L 21-27,,,,,,,,,,,
2,2012,2012-09-23,3,22.256,DEN,,HOU,L 25-31,,0,0,,0,,0,0,0.0,1,0
3,2012,2012-09-30,4,22.263,DEN,,OAK,W 37-6,,,,,,,,,,,
4,2012,2012-10-07,5,22.270,DEN,@,NWE,L 21-31,,0,0,,0,,0,0,0.0,1,0
5,2012,2012-10-28,7,22.291,DEN,,NOR,W 34-14,,,,,,,,,,,
6,2012,2012-11-04,8,22.298,DEN,@,CIN,W 31-23,,,,,,,,,,,
7,2012,2012-11-11,9,22.305,DEN,@,CAR,W 36-14,,0,0,,0,,0,0,0.0,1,0
8,2012,2012-11-18,10,22.312,DEN,,SDG,W 30-23,,0,0,,0,,0,0,0.0,0,0
9,2012,2012-11-25,11,22.319,DEN,@,KAN,W 17-9,,,,,,,,,,,
10,2012,2012-12-02,12,22.326,DEN,,TAM,W 31-23,,,,,,,,,,,
11,2012,2012-12-06,13,22.330,DEN,@,OAK,W 26-13,,,,,,,,,,,
12,2012,2012-12-16,14,22.340,DEN,@,BAL,W 34-17,,,,,,,,,,,
13,2012,2012-12-23,15,22.347,DEN,,CLE,W 34-12,,0,0,,0,,0,0,0.0,0,1
14,2012,2012-12-30,16,22.354,DEN,,KAN,W 38-3,,0,0,,0,,0,0,0.0,0,1
15,2013,2013-09-05,1,23.237,DEN,,BAL,W 49-27,,0,0,,0,,0,0,0.0,0,1
16,2013,2013-09-15,2,23.247,DEN,@,NYG,W 41-23,,0,0,,0,,0,0,0.0,2,0
17,2013,2013-09-23,3,23.255,DEN,,OAK,W 37-21,,0,0,,0,,0,0,0.5,0,1
18,2013,2013-09-29,4,23.261,DEN,,PHI,W 52-20,,,,,,,,,,,
19,2013,2013-10-06,5,23.268,DEN,@,DAL,W 51-48,,1,6,6.00,0,,0,0,1.0,1,1
20,2013,2013-10-13,6,23.275,DEN,,JAX,W 35-19,,0,0,,0,,0,0,2.0,5,2
21,2013,2013-10-20,7,23.282,DEN,@,IND,L 33-39,,0,0,,0,,0,0,0.0,1,2
22,2013,2013-10-27,8,23.289,DEN,,WAS,W 45-21,,0,0,,0,,0,0,0.0,0,1
23,2013,2013-11-10,9,23.303,DEN,@,SDG,W 28-20,,0,0,,0,,0,0,0.0,2,1
24,2013,2013-11-17,10,23.310,DEN,,KAN,W 27-17,,0,0,,0,,0,0,0.5,1,2
25,2013,2013-11-24,11,23.317,DEN,@,NWE,L 31-34,,0,0,,0,,0,0,0.0,1,0
26,2013,2013-12-01,12,23.324,DEN,@,KAN,W 35-28,*,0,0,,0,,0,0,0.0,2,0
27,2013,2013-12-08,13,23.331,DEN,,TEN,W 51-28,*,0,0,,0,,0,0,1.0,4,0
28,2013,2013-12-12,14,23.335,DEN,,SDG,L 20-27,*,0,0,,0,,0,0,0.0,3,0
29,2013,2013-12-22,15,23.345,DEN,@,HOU,W 37-13,*,0,0,,0,,0,0,0.0,4,1
30,2013,2013-12-29,16,23.352,DEN,@,OAK,W 34-14,*,0,0,,0,,0,0,1.0,4,0
31,2014,2014-09-07,1,24.239,DEN,,IND,W 31-24,,0,0,,0,,0,0,0.5,1,1
32,2014,2014-09-14,2,24.246,DEN,,KAN,W 24-17,,0,0,,0,,0,0,0.0,1,0
33,2014,2014-09-21,3,24.253,DEN,@,SEA,L 20-26,,0,0,,0,,0,0,0.0,0,5
34,2014,2014-10-05,4,24.267,DEN,,ARI,W 41-20,,0,0,,0,,0,0,0.5,1,1
35,2014,2014-10-12,5,24.274,DEN,@,NYJ,W 31-17,,0,0,,0,,0,0,0.0,3,1
36,2014,2014-10-19,6,24.281,DEN,,SFO,W 42-17,,0,0,,0,,0,0,1.0,1,0
