ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-12-02,11,23.358,BUF,@,SFO,L 0-35,,,,,,1,0.0,0,0,0.0,,
2,2001,2001-12-09,12,24.000,BUF,,CAR,W 25-24,,1,1,100.0,2,2,100.0,0,7,0.0,,
3,2001,2001-12-16,13,24.007,BUF,,NWE,L 9-12,,,,,3,4,75.0,0,9,0.0,,
4,2001,2001-12-23,14,24.014,BUF,@,ATL,L 30-33,,3,3,100.0,1,1,100.0,0,6,0.0,,
5,2001,2001-12-30,15,24.021,BUF,@,NYJ,W 14-9,,2,2,100.0,,,,0,2,,,
6,2001,2002-01-06,16,24.028,BUF,@,MIA,L 7-34,,1,1,100.0,,,,0,1,,,
7,2002,2002-09-29,4,24.294,CAR,@,GNB,L 14-17,,2,2,100.0,,1,0.0,0,2,0.0,,
8,2002,2002-10-06,5,24.301,CAR,,ARI,L 13-16,,1,1,100.0,2,2,100.0,0,7,0.0,,
9,2002,2002-10-13,6,24.308,CAR,@,DAL,L 13-14,,1,1,100.0,2,3,66.7,0,7,0.0,,
10,2002,2002-10-27,8,24.322,CAR,,TAM,L 9-12,,,,,3,3,100.0,0,9,0.0,,
11,2002,2002-11-10,9,24.336,CAR,,NOR,L 24-34,,3,3,100.0,1,1,100.0,0,6,0.0,,
12,2002,2002-11-17,10,24.343,CAR,@,TAM,L 10-23,,1,1,100.0,1,2,50.0,0,4,0.0,,
13,2002,2002-12-01,12,24.357,CAR,@,CLE,W 13-6,,1,1,100.0,2,4,50.0,0,7,0.0,,
14,2002,2002-12-08,13,24.364,CAR,,CIN,W 52-31,,6,6,100.0,,,,0,6,,,
15,2002,2002-12-15,14,25.006,CAR,@,PIT,L 14-30,,2,2,100.0,,,,0,2,,,
16,2002,2002-12-22,15,25.013,CAR,,CHI,W 24-14,,3,3,100.0,1,1,100.0,0,6,0.0,,
17,2002,2002-12-29,16,25.020,CAR,@,NOR,W 10-6,,1,1,100.0,1,1,100.0,0,4,0.0,,
18,2003,2003-09-07,1,25.272,CIN,,DEN,L 10-30,,1,1,100.0,1,1,100.0,0,4,0.0,,
19,2003,2003-09-14,2,25.279,CIN,@,OAK,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,,
20,2003,2003-09-21,3,25.286,CIN,,PIT,L 10-17,,1,1,100.0,1,1,100.0,0,4,0.0,,
21,2003,2003-09-28,4,25.293,CIN,@,CLE,W 21-14,,3,3,100.0,,,,0,3,,,
22,2003,2003-10-05,5,25.300,CIN,@,BUF,L 16-22,,1,1,100.0,3,4,75.0,0,10,0.0,,
23,2003,2003-10-19,6,25.314,CIN,,BAL,W 34-26,,4,4,100.0,2,2,100.0,0,10,0.0,,
24,2003,2003-10-26,7,25.321,CIN,,SEA,W 27-24,,3,3,100.0,2,2,100.0,0,9,0.0,,
25,2003,2003-11-02,8,25.328,CIN,@,ARI,L 14-17,,2,2,100.0,,,,0,2,,,
26,2003,2003-11-09,9,25.335,CIN,,HOU,W 34-27,,4,4,100.0,2,2,100.0,0,10,0.0,,
27,2003,2003-11-16,10,25.342,CIN,,KAN,W 24-19,,3,3,100.0,1,2,50.0,0,6,0.0,,
28,2003,2003-11-23,11,25.349,CIN,@,SDG,W 34-27,,4,4,100.0,2,2,100.0,0,10,0.0,,
29,2003,2003-11-30,12,25.356,CIN,@,PIT,W 24-20,,3,3,100.0,1,1,100.0,0,6,0.0,,
30,2003,2003-12-07,13,25.363,CIN,@,BAL,L 13-31,,1,1,100.0,2,2,100.0,0,7,0.0,,
31,2003,2003-12-14,14,26.005,CIN,,SFO,W 41-38,,5,5,100.0,2,2,100.0,0,11,0.0,,
32,2003,2003-12-21,15,26.012,CIN,@,STL,L 10-27,,1,1,100.0,1,1,100.0,0,4,0.0,,
33,2003,2003-12-28,16,26.019,CIN,,CLE,L 14-22,,2,2,100.0,,1,0.0,0,2,0.0,,
34,2004,2004-09-12,1,26.278,CIN,@,NYJ,L 24-31,,3,3,100.0,1,1,100.0,0,6,0.0,,
35,2004,2004-09-19,2,26.285,CIN,,MIA,W 16-13,,1,1,100.0,3,4,75.0,0,10,0.0,,
36,2004,2004-09-26,3,26.292,CIN,,BAL,L 9-23,,,,,3,3,100.0,0,9,0.0,,
37,2004,2004-10-03,4,26.299,CIN,@,PIT,L 17-28,,2,2,100.0,1,1,100.0,0,5,0.0,,
38,2004,2004-10-17,5,26.313,CIN,@,CLE,L 17-34,,2,2,100.0,1,2,50.0,0,5,0.0,,
39,2004,2004-10-25,6,26.321,CIN,,DEN,W 23-10,,2,2,100.0,3,3,100.0,0,11,0.0,,
40,2004,2004-10-31,7,26.327,CIN,@,TEN,L 20-27,,2,2,100.0,2,2,100.0,0,8,0.0,,
41,2004,2004-11-07,8,26.334,CIN,,DAL,W 26-3,,2,2,100.0,4,4,100.0,0,14,0.0,,
42,2004,2004-11-14,9,26.341,CIN,@,WAS,W 17-10,,2,2,100.0,1,1,100.0,0,5,0.0,,
43,2004,2004-11-21,10,26.348,CIN,,PIT,L 14-19,,2,2,100.0,,,,0,2,,,
44,2004,2004-11-28,11,26.355,CIN,,CLE,W 58-48,,7,7,100.0,3,3,100.0,0,16,0.0,,
45,2004,2004-12-05,12,26.362,CIN,@,BAL,W 27-26,,3,3,100.0,2,3,66.7,0,9,0.0,,
46,2004,2004-12-12,13,27.003,CIN,@,NWE,L 28-35,,4,4,100.0,,,,0,4,,,
47,2004,2004-12-19,14,27.010,CIN,,BUF,L 17-33,,2,2,100.0,1,1,100.0,0,5,0.0,,
48,2004,2004-12-26,15,27.017,CIN,,NYG,W 23-22,,2,2,100.0,1,1,100.0,0,5,0.0,,
49,2004,2005-01-02,16,27.024,CIN,@,PHI,W 38-10,,5,5,100.0,1,2,50.0,0,8,0.0,,
50,2005,2005-09-11,1,27.276,CIN,@,CLE,W 27-13,,3,3,100.0,2,2,100.0,0,9,0.0,,
51,2005,2005-09-18,2,27.283,CIN,,MIN,W 37-8,,4,4,100.0,3,3,100.0,0,13,0.0,,
52,2005,2005-09-25,3,27.290,CIN,@,CHI,W 24-7,,3,3,100.0,1,1,100.0,0,6,0.0,,
53,2005,2005-10-02,4,27.297,CIN,,HOU,W 16-10,,1,1,100.0,3,4,75.0,0,10,0.0,,
54,2005,2005-10-09,5,27.304,CIN,@,JAX,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,,
55,2005,2005-10-16,6,27.311,CIN,@,TEN,W 31-23,,4,4,100.0,1,2,50.0,0,7,0.0,,
56,2005,2005-10-23,7,27.318,CIN,,PIT,L 13-27,,1,1,100.0,2,3,66.7,0,7,0.0,,
57,2005,2005-10-30,8,27.325,CIN,,GNB,W 21-14,,3,3,100.0,,,,0,3,,,
58,2005,2005-11-06,9,27.332,CIN,@,BAL,W 21-9,,3,3,100.0,,1,0.0,0,3,0.0,,
59,2005,2005-11-20,10,27.346,CIN,,IND,L 37-45,,4,4,100.0,3,3,100.0,0,13,0.0,,
60,2005,2005-11-27,11,27.353,CIN,,BAL,W 42-29,,4,4,100.0,2,2,100.0,0,10,0.0,,
61,2005,2005-12-04,12,27.360,CIN,@,PIT,W 38-31,,5,5,100.0,1,1,100.0,0,8,0.0,,
62,2005,2005-12-11,13,28.002,CIN,,CLE,W 23-20,,2,2,100.0,3,3,100.0,0,11,0.0,,
63,2005,2005-12-18,14,28.009,CIN,@,DET,W 41-17,,5,5,100.0,2,2,100.0,0,11,0.0,,
64,2005,2005-12-24,15,28.015,CIN,,BUF,L 27-37,,3,3,100.0,2,2,100.0,0,9,0.0,,
65,2005,2006-01-01,16,28.023,CIN,@,KAN,L 3-37,,,,,1,1,100.0,0,3,0.0,,
66,2006,2006-09-10,1,28.275,CIN,@,KAN,W 23-10,,2,2,100.0,3,3,100.0,0,11,0.0,,
67,2006,2006-09-17,2,28.282,CIN,,CLE,W 34-17,,4,4,100.0,2,3,66.7,0,10,0.0,,
68,2006,2006-09-24,3,28.289,CIN,@,PIT,W 28-20,,4,4,100.0,,,,0,4,,,
69,2006,2006-10-01,4,28.296,CIN,,NWE,L 13-38,,1,1,100.0,2,2,100.0,0,7,0.0,,
70,2006,2006-10-15,5,28.310,CIN,@,TAM,L 13-14,,1,1,100.0,2,3,66.7,0,7,0.0,,
71,2006,2006-10-22,6,28.317,CIN,,CAR,W 17-14,,2,2,100.0,1,1,100.0,0,5,0.0,,
72,2006,2006-10-29,7,28.324,CIN,,ATL,L 27-29,,3,3,100.0,2,2,100.0,0,9,0.0,,
73,2006,2006-11-05,8,28.331,CIN,@,BAL,L 20-26,,2,2,100.0,2,2,100.0,0,8,0.0,,
74,2006,2006-11-12,9,28.338,CIN,,SDG,L 41-49,,5,5,100.0,2,3,66.7,0,11,0.0,,
75,2006,2006-11-19,10,28.345,CIN,@,NOR,W 31-16,,4,4,100.0,1,1,100.0,0,7,0.0,,
76,2006,2006-11-26,11,28.352,CIN,@,CLE,W 30-0,,3,4,75.0,1,1,100.0,0,6,0.0,,
77,2006,2006-11-30,12,28.356,CIN,,BAL,W 13-7,,1,1,100.0,2,3,66.7,0,7,0.0,,
78,2006,2006-12-10,13,29.001,CIN,,OAK,W 27-10,,3,4,75.0,,,,0,3,,,
79,2006,2006-12-18,14,29.009,CIN,@,IND,L 16-34,,1,1,100.0,3,3,100.0,0,10,0.0,,
80,2006,2006-12-24,15,29.015,CIN,@,DEN,L 23-24,,2,2,100.0,1,1,100.0,0,5,0.0,,
