ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1969,1969-09-14,1,22.039,CIN,,MIA,W 27-21,0,0,,0,3,53,17.67,0,0,0,0,0,0
2,1969,1969-09-21,2,22.046,CIN,,SDG,W 34-20,0,0,,0,2,55,27.50,0,0,0,0,0,0
3,1969,1969-10-04,4,22.059,CIN,@,SDG,L 14-21,0,0,,0,3,76,25.33,0,0,0,0,0,0
4,1969,1969-10-12,5,22.067,CIN,,NYJ,L 7-21,0,0,,0,1,40,40.00,0,0,0,0,0,0
5,1969,1969-10-19,6,22.074,CIN,,DEN,L 23-30,1,17,17.00,0,1,30,30.00,0,0,0,1,66,0
6,1969,1969-11-09,9,22.095,CIN,@,HOU,T 31-31,0,0,,0,0,0,,0,0,0,1,0,0
7,1969,1969-11-16,10,22.102,CIN,,BOS,L 14-25,1,-2,-2.00,0,0,0,,0,0,0,0,0,0
8,1969,1969-11-23,11,22.109,CIN,@,NYJ,L 7-40,0,0,,0,4,80,20.00,0,0,0,1,0,0
9,1969,1969-12-07,13,22.123,CIN,@,OAK,L 17-37,0,0,,0,0,0,,0,0,0,1,0,0
10,1970,1970-09-20,1,23.045,CIN,,OAK,W 31-21,,,,,,,,,,,,,
11,1970,1970-09-27,2,23.052,CIN,@,DET,L 3-38,,,,,,,,,,,,,
12,1970,1970-10-04,3,23.059,CIN,,HOU,L 13-20,,,,,,,,,,,,,
13,1970,1970-10-11,4,23.066,CIN,@,CLE,L 27-30,,,,,,,,,,,,,
14,1970,1970-10-18,5,23.073,CIN,,KAN,L 19-27,,,,,,,,,,,,,
15,1970,1970-10-25,6,23.080,CIN,@,WAS,L 0-20,,,,,,,,,,,,,
16,1970,1970-11-02,7,23.088,CIN,@,PIT,L 10-21,,,,,,,,,,,,,
17,1970,1970-11-08,8,23.094,CIN,@,BUF,W 43-14,,,,,,,,,,,,,
18,1970,1970-11-15,9,23.101,CIN,,CLE,W 14-10,,,,,,,,,,,,,
19,1970,1970-11-22,10,23.108,CIN,,PIT,W 34-7,,,,,,,,,,,,,
20,1970,1970-11-29,11,23.115,CIN,,NOR,W 26-6,,,,,,,,,,,,,
21,1970,1970-12-06,12,23.122,CIN,@,SDG,W 17-14,0,0,,0,0,0,,0,0,0,1,14,0
22,1970,1970-12-13,13,23.129,CIN,@,HOU,W 30-20,0,0,,0,0,0,,0,0,0,1,0,0
