ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1974,1974-09-15,1,24.088,CIN,,CLE,W 33-7,1,15,15.00,0,0,0,,0,0,0,,0,0,0
2,1974,1974-09-22,2,24.095,CIN,,SDG,L 17-20,,,,,,,,,,,,,,
3,1974,1974-09-29,3,24.102,CIN,@,SFO,W 21-3,1,2,2.00,0,0,0,,0,0,0,,0,0,0
4,1974,1974-10-06,4,24.109,CIN,,WAS,W 28-17,,,,,,,,,,,,,,
5,1974,1974-10-13,5,24.116,CIN,@,CLE,W 34-24,,,,,,,,,,,,,,
6,1974,1974-10-20,6,24.123,CIN,@,OAK,L 27-30,,,,,,,,,,,,,,
7,1974,1974-10-27,7,24.130,CIN,,HOU,L 21-34,,,,,,,,,,,,,,
8,1974,1974-11-03,8,24.137,CIN,@,BAL,W 24-14,,,,,,,,,,,,,,
9,1974,1974-11-10,9,24.144,CIN,,PIT,W 17-10,3,5,1.67,2,0,0,,0,0,0,,0,2,12
10,1974,1974-11-17,10,24.151,CIN,@,HOU,L 3-20,6,13,2.17,0,4,30,7.50,0,0,0,,0,0,0
11,1974,1974-11-24,11,24.158,CIN,,KAN,W 33-6,20,96,4.80,0,5,53,10.60,1,0,0,,0,1,6
12,1974,1974-12-02,12,24.166,CIN,@,MIA,L 3-24,0,0,,0,1,4,4.00,0,2,33,16.50,0,0,0
13,1974,1974-12-08,13,24.172,CIN,,DET,L 19-23,9,40,4.44,1,2,12,6.00,0,0,0,,0,1,6
14,1974,1974-12-14,14,24.178,CIN,@,PIT,L 3-27,18,67,3.72,0,1,-1,-1.00,0,0,0,,0,0,0
15,1975,1975-09-21,1,25.094,CIN,,CLE,W 24-17,,,,,,,,,,,,,,
16,1975,1975-09-28,2,25.101,CIN,@,NOR,W 21-0,1,3,3.00,0,0,0,,0,0,0,,0,0,0
17,1975,1975-10-05,3,25.108,CIN,@,HOU,W 21-19,,,,,,,,,,,,,,
18,1975,1975-10-12,4,25.115,CIN,,NWE,W 27-10,2,2,1.00,0,0,0,,0,0,0,,0,0,0
