ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,24.342,BAL,@,KAN,L 0-14,,,,,
2,1979,1979-09-09,2,24.349,BAL,,TAM,L 26-29,,,,,
3,1979,1979-09-16,3,24.356,BAL,@,CLE,L 10-13,,,,,
4,1979,1979-09-23,4,24.363,BAL,@,PIT,L 13-17,,,,,
5,1979,1979-09-30,5,25.005,BAL,,BUF,L 13-31,,,,,
6,1979,1979-10-07,6,25.012,BAL,,NYJ,W 10-8,,,,,
7,1979,1979-10-14,7,25.019,BAL,,HOU,L 16-28,,,,,
8,1979,1979-10-21,8,25.026,BAL,@,BUF,W 14-13,,,,,
9,1979,1979-10-28,9,25.033,BAL,,NWE,W 31-26,,,,,
10,1979,1979-11-04,10,25.040,BAL,,CIN,W 38-28,1,6,1,31,1
11,1979,1979-11-11,11,25.047,BAL,@,MIA,L 0-19,0,0,2,0,0
12,1979,1979-11-18,12,25.054,BAL,@,NWE,L 21-50,,,,,
13,1979,1979-11-25,13,25.061,BAL,,MIA,L 24-28,,,,,
14,1979,1979-12-02,14,25.068,BAL,@,NYJ,L 17-30,,,,,
15,1979,1979-12-09,15,25.075,BAL,,KAN,L 7-10,,,,,
16,1979,1979-12-16,16,25.082,BAL,@,NYG,W 31-7,0,0,1,18,0
17,1980,1980-09-07,1,25.348,BAL,@,NYJ,W 17-14,,,,,
18,1980,1980-09-14,2,25.355,BAL,,PIT,L 17-20,,,,,
19,1980,1980-09-21,3,25.362,BAL,@,HOU,L 16-21,,,,,
20,1980,1980-09-28,4,26.003,BAL,,NYJ,W 35-21,0,0,1,60,0
21,1980,1980-10-05,5,26.010,BAL,@,MIA,W 30-17,,,,,
22,1980,1980-10-12,6,26.017,BAL,@,BUF,W 17-12,,,,,
23,1980,1980-10-19,7,26.024,BAL,,NWE,L 21-37,,,,,
24,1980,1980-10-26,8,26.031,BAL,,STL,L 10-17,,,,,
25,1980,1980-11-02,9,26.038,BAL,@,KAN,W 31-24,,,,,
26,1980,1980-11-09,10,26.045,BAL,,CLE,L 27-28,,,,,
27,1980,1980-11-16,11,26.052,BAL,@,DET,W 10-9,,,,,
28,1980,1980-11-23,12,26.059,BAL,@,NWE,L 21-47,,,,,
29,1980,1980-12-07,14,26.073,BAL,@,CIN,L 33-34,0,0,1,27,0
30,1980,1980-12-14,15,26.080,BAL,,MIA,L 14-24,,,,,
31,1980,1980-12-21,16,26.087,BAL,,KAN,L 28-38,,,,,
32,1981,1981-09-06,1,26.346,BAL,@,NWE,W 29-28,,,,,
33,1981,1981-09-13,2,26.353,BAL,,BUF,L 3-35,,,,,
34,1981,1981-09-20,3,26.360,BAL,@,DEN,L 10-28,0,0,2,27,0
35,1981,1981-09-27,4,27.002,BAL,,MIA,L 28-31,,,,,
36,1981,1981-10-04,5,27.009,BAL,@,BUF,L 17-23,,,,,
37,1981,1981-10-11,6,27.016,BAL,,CIN,L 19-41,,,,,
38,1981,1981-10-18,7,27.023,BAL,,SDG,L 14-43,,,,,
39,1981,1981-10-25,8,27.030,BAL,@,CLE,L 28-42,0,0,1,8,0
40,1981,1981-11-01,9,27.037,BAL,@,MIA,L 10-27,,,,,
