ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1964,1964-09-12,1,22.255,DAL,,STL,L 6-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,294,49.00,0
2,1964,1964-09-20,2,22.263,DAL,,WAS,W 24-18,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,60,30.00,0
3,1964,1964-09-27,3,22.270,DAL,@,PIT,L 17-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,194,32.33,0
4,1964,1964-10-04,4,22.277,DAL,@,CLE,L 6-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,222,37.00,0
5,1964,1964-10-11,5,22.284,DAL,,NYG,T 13-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,165,55.00,0
6,1964,1964-10-18,6,22.291,DAL,,CLE,L 16-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,255,42.50,0
7,1964,1964-10-25,7,22.298,DAL,@,STL,W 31-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,203,40.60,0
8,1964,1964-11-01,8,22.305,DAL,@,CHI,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,144,48.00,0
9,1964,1964-11-08,9,22.312,DAL,@,NYG,W 31-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,224,44.80,0
10,1964,1964-11-15,10,22.319,DAL,,PHI,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,278,39.71,0
11,1964,1964-11-22,11,22.326,DAL,@,WAS,L 16-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,232,33.14,1
12,1964,1964-11-29,12,22.333,DAL,,GNB,L 21-45,,2,9,22.22,24,0,2,0.0,0,0,2.67,-7.33,2,-6,-3.00,1,1,6,0,0,0,6,230,38.33,0
13,1965,1965-09-19,1,23.261,RAM,@,DET,L 0-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,257,42.83,0
14,1965,1965-09-25,2,23.267,RAM,,CHI,W 30-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,208,41.60,0
15,1965,1965-10-03,3,23.275,RAM,,MIN,L 35-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,36,18.00,1
16,1965,1965-10-10,4,23.282,RAM,@,CHI,L 6-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,214,42.80,0
17,1965,1965-10-17,5,23.289,RAM,,SFO,L 21-45,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,217,36.17,0
18,1965,1965-10-24,6,23.296,RAM,@,BAL,L 20-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,165,41.25,0
19,1965,1965-10-31,7,23.303,RAM,,DET,L 7-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,169,42.25,0
20,1965,1965-11-07,8,23.310,RAM,@,MIN,L 13-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,168,33.60,0
21,1965,1965-11-14,9,23.317,RAM,@,GNB,L 3-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,185,37.00,0
22,1966,1966-09-11,1,24.253,ATL,,RAM,L 14-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,314,44.86,0
23,1966,1966-09-18,2,24.260,ATL,@,PHI,L 10-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,154,38.50,0
24,1966,1966-09-25,3,24.267,ATL,@,DET,L 10-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,219,43.80,0
25,1966,1966-10-02,4,24.274,ATL,,DAL,L 14-47,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,160,40.00,0
26,1966,1966-10-09,5,24.281,ATL,@,WAS,L 20-33,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,154,51.33,0
27,1966,1966-10-16,6,24.288,ATL,,SFO,L 7-44,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,170,42.50,0
28,1966,1966-10-23,7,24.295,ATL,@,GNB,L 3-56,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,0,6,234,39.00,0
29,1966,1966-10-30,8,24.302,ATL,,CLE,L 17-49,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,155,38.75,0
30,1966,1966-11-13,9,24.316,ATL,,BAL,L 7-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,201,40.20,0
31,1966,1966-11-20,10,24.323,ATL,@,NYG,W 27-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,80,40.00,0
32,1966,1966-11-27,11,24.330,ATL,@,CHI,L 6-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,246,35.14,0
