ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1987,1987-11-08,8,22.255,HOU,@,SFO,L 20-27,2,1,0.50,0,,0,0,,0,,,0,0
2,1987,1987-11-15,9,22.262,HOU,@,PIT,W 23-3,2,3,1.50,0,,0,0,,0,,,0,0
3,1987,1987-11-22,10,22.269,HOU,,CLE,L 7-40,1,1,1.00,0,,1,5,5.00,0,,,0,0
4,1987,1987-11-29,11,22.276,HOU,@,IND,L 27-51,1,-2,-2.00,0,,0,0,,0,,,0,0
5,1987,1987-12-06,12,22.283,HOU,,SDG,W 33-18,10,32,3.20,0,,1,11,11.00,0,,,0,0
6,1987,1987-12-13,13,22.290,HOU,@,NOR,L 10-24,3,7,2.33,0,,0,0,,0,,,0,0
7,1987,1987-12-20,14,22.297,HOU,,PIT,W 24-16,1,3,3.00,0,,1,6,6.00,0,,,0,0
8,1987,1987-12-27,15,22.304,HOU,,CIN,W 21-17,9,61,6.78,1,,1,33,33.00,1,,,2,12
9,1988,1988-09-04,1,23.191,HOU,@,IND,W 17-14,2,3,1.50,0,,2,22,11.00,0,,,0,0
10,1988,1988-09-11,2,23.198,HOU,,RAI,W 38-35,11,31,2.82,0,,0,0,,0,,,0,0
11,1988,1988-09-18,3,23.205,HOU,@,NYJ,L 3-45,4,19,4.75,0,,0,0,,0,,,0,0
12,1988,1988-09-25,4,23.212,HOU,,NWE,W 31-6,8,35,4.38,0,,0,0,,0,,,0,0
13,1988,1988-10-02,5,23.219,HOU,@,PHI,L 23-32,1,2,2.00,0,,0,0,,0,,,0,0
14,1988,1988-10-09,6,23.226,HOU,,KAN,W 7-6,8,38,4.75,0,,1,9,9.00,0,,,0,0
15,1988,1988-10-16,7,23.233,HOU,@,PIT,W 34-14,5,7,1.40,0,,0,0,,0,,,0,0
16,1988,1988-10-23,8,23.240,HOU,@,CIN,L 21-44,4,24,6.00,0,,2,20,10.00,0,,,0,0
17,1988,1988-10-30,9,23.247,HOU,,WAS,W 41-17,8,75,9.38,0,,1,0,0.00,0,,,0,0
18,1988,1988-11-07,10,23.255,HOU,,CLE,W 24-17,8,40,5.00,1,,0,0,,0,,,1,6
19,1988,1988-11-13,11,23.261,HOU,@,SEA,L 24-27,9,80,8.89,0,,0,0,,0,,,0,0
20,1988,1988-11-20,12,23.268,HOU,,PHO,W 38-20,10,38,3.80,1,,1,-3,-3.00,0,,,1,6
21,1988,1988-11-24,13,23.272,HOU,@,DAL,W 25-17,7,46,6.57,0,,1,26,26.00,0,,,0,0
22,1988,1988-12-04,14,23.282,HOU,,PIT,L 34-37,3,8,2.67,0,,1,7,7.00,0,,,0,0
23,1988,1988-12-11,15,23.289,HOU,,CIN,W 41-6,2,8,4.00,0,,1,6,6.00,0,,,0,0
24,1988,1988-12-18,16,23.296,HOU,@,CLE,L 23-28,4,12,3.00,0,,2,44,22.00,0,,,0,0
25,1989,1989-09-10,1,24.196,HOU,@,MIN,L 7-38,6,18,3.00,1,,0,0,,0,,,1,6
26,1989,1989-09-17,2,24.203,HOU,@,SDG,W 34-27,8,50,6.25,1,,0,0,,0,,,1,6
27,1989,1989-09-24,3,24.210,HOU,,BUF,L 41-47,14,55,3.93,1,,4,47,11.75,0,,,1,6
28,1989,1989-10-01,4,24.217,HOU,,MIA,W 39-7,11,53,4.82,1,,2,25,12.50,0,,,1,6
29,1989,1989-10-08,5,24.224,HOU,@,NWE,L 13-23,6,16,2.67,0,,1,13,13.00,0,,,0,0
30,1989,1989-10-15,6,24.231,HOU,@,CHI,W 33-28,9,21,2.33,0,,0,0,,0,,,0,0
31,1989,1989-10-22,7,24.238,HOU,,PIT,W 27-0,7,43,6.14,0,,2,8,4.00,2,,,2,12
32,1989,1989-10-29,8,24.245,HOU,@,CLE,L 17-28,12,58,4.83,0,,1,6,6.00,0,,,0,0
33,1989,1989-11-05,9,24.252,HOU,,DET,W 35-31,9,23,2.56,0,,2,16,8.00,0,,,0,0
34,1989,1989-11-13,10,24.260,HOU,,CIN,W 26-24,15,63,4.20,0,,0,0,,0,,,0,0
35,1989,1989-11-19,11,24.266,HOU,,RAI,W 23-7,7,37,5.29,0,,1,13,13.00,0,,,0,0
36,1989,1989-11-26,12,24.273,HOU,@,KAN,L 0-34,8,24,3.00,0,,1,26,26.00,0,,,0,0
37,1989,1989-12-03,13,24.280,HOU,@,PIT,W 23-16,1,3,3.00,0,,0,0,,0,,,0,0
38,1989,1989-12-10,14,24.287,HOU,,TAM,W 20-17,7,44,6.29,0,,0,0,,0,,,0,0
39,1989,1989-12-17,15,24.294,HOU,@,CIN,L 7-61,4,9,2.25,0,,1,7,7.00,0,,,0,0
40,1989,1989-12-23,16,24.300,HOU,,CLE,L 20-24,4,14,3.50,0,,3,40,13.33,0,,,0,0
41,1990,1990-09-23,3,25.209,DAL,@,WAS,L 15-19,6,15,2.50,0,,2,6,3.00,0,,,0,0
42,1990,1990-09-30,4,25.216,DAL,@,NYG,L 17-31,5,9,1.80,0,,0,0,,0,,,0,0
43,1990,1990-10-07,5,25.223,DAL,,TAM,W 14-10,3,10,3.33,0,,0,0,,0,,,0,0
44,1990,1990-10-14,6,25.230,DAL,@,PHO,L 3-20,2,5,2.50,0,,0,0,,0,,,0,0
45,1990,1990-10-21,7,25.237,DAL,@,TAM,W 17-13,0,0,,0,,0,0,,0,,,0,
46,1990,1990-10-28,8,25.244,DAL,,PHI,L 20-21,2,8,4.00,0,,1,7,7.00,0,,,0,0
47,1990,1990-11-04,9,25.251,DAL,@,NYJ,L 9-24,1,1,1.00,0,,0,0,,0,,,0,0
48,1991,1991-09-15,3,26.201,DAL,,PHI,L 0-24,,,,,,,,,,,,,
49,1991,1991-09-22,4,26.208,DAL,@,PHO,W 17-9,,,,,,,,,,,,,
50,1991,1991-10-06,6,26.222,TAM,,PHI,W 14-13,0,0,,0,,,,,,,,,
51,1991,1991-10-20,7,26.236,TAM,@,NOR,L 7-23,0,0,,0,,,,,,,,,
52,1991,1991-10-27,8,26.243,TAM,,GNB,L 0-27,0,0,,0,,,,,,,,,
53,1991,1991-11-03,9,26.250,TAM,@,MIN,L 13-28,0,0,,0,,,,,,,,,
54,1991,1991-11-10,10,26.257,TAM,,DET,W 30-21,0,0,,0,,,,,,,,,
55,1991,1991-11-17,11,26.264,TAM,@,ATL,L 7-43,0,0,,0,,,,,,,,,
56,1991,1991-11-24,12,26.271,TAM,,NYG,L 14-21,3,14,4.67,0,,0,0,,0,,,0,0
57,1991,1991-12-01,13,26.278,TAM,@,MIA,L 14-33,0,0,,0,,,,,,,,,
58,1991,1991-12-08,14,26.285,TAM,,MIN,L 24-26,0,0,,0,,,,,,,,,
59,1991,1991-12-14,15,26.291,TAM,@,CHI,L 0-27,0,0,,0,,,,,,,,,
60,1991,1991-12-22,16,26.299,TAM,,IND,W 17-3,2,7,3.50,0,,0,0,,0,,,0,0
61,1992,1992-09-06,1,27.193,TAM,,PHO,W 23-7,5,15,3.00,0,2,2,14,7.00,0,100.0%,7.00,0,0
62,1992,1992-09-13,2,27.200,TAM,,GNB,W 31-3,3,8,2.67,0,,0,0,,0,0.0%,,0,0
63,1992,1992-09-20,3,27.207,TAM,@,MIN,L 20-26,0,0,,0,2,2,5,2.50,0,100.0%,2.50,0,0
64,1992,1992-09-27,4,27.214,TAM,@,DET,W 27-23,0,0,,0,,0,0,,0,0.0%,,0,
65,1992,1992-10-04,5,27.221,TAM,,IND,L 14-24,0,0,,0,1,1,9,9.00,0,100.0%,9.00,0,0
