ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2000,2000-09-03,1,22.230,CHI,@,MIN,L 27-30,,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
2,2000,2000-09-10,2,22.237,CHI,@,TAM,L 0-41,,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,0,0,,0
3,2000,2000-09-17,3,22.244,CHI,,NYG,L 7-14,,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0,0,,0
4,2000,2000-09-24,4,22.251,CHI,,DET,L 14-21,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,
5,2000,2000-10-01,5,22.258,CHI,@,GNB,W 27-24,,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0,0,,0
6,2000,2000-10-08,6,22.265,CHI,,NOR,L 10-31,,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
7,2000,2000-10-15,7,22.272,CHI,,MIN,L 16-28,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
8,2000,2000-10-22,8,22.279,CHI,@,PHI,L 9-13,,0,0,,0,0,0,,,,,,,,,3,3,100.0,0,9,0,0,,0
9,2000,2000-11-05,9,22.293,CHI,,IND,W 27-24,,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
10,2000,2000-11-12,10,22.300,CHI,@,BUF,L 3-20,,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0,0,,0
11,2000,2000-11-19,11,22.307,CHI,,TAM,W 13-10,,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
12,2000,2000-11-26,12,22.314,CHI,@,NYJ,L 10-17,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
13,2000,2000-12-03,13,22.321,CHI,,GNB,L 6-28,,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0,0,,0
14,2000,2000-12-10,14,22.328,CHI,,NWE,W 24-17,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0,0,,0
15,2000,2000-12-17,15,22.335,CHI,@,SFO,L 0-17,,,,,,,,,,,,,,,,,,,,,,,,
16,2000,2000-12-24,16,22.342,CHI,@,DET,W 23-20,,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0,0,,0
17,2001,2001-09-09,1,23.235,CHI,@,BAL,L 6-17,,0,0,,0,0,0,,,,,,,,,2,3,66.7,0,6,0,0,,0
18,2001,2001-09-23,2,23.249,CHI,,MIN,W 17-10,,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
19,2001,2001-10-07,3,23.263,CHI,@,ATL,W 31-3,,0,0,,0,0,0,,,,,,4,4,100.0,1,2,50.0,0,7,0,0,,0
20,2001,2001-10-14,4,23.270,CHI,,ARI,W 20-13,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
21,2001,2001-10-21,5,23.277,CHI,@,CIN,W 24-0,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0,0,,0
22,2001,2001-10-28,6,23.284,CHI,,SFO,W 37-31,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
23,2001,2001-11-04,7,23.291,CHI,,CLE,W 27-21,,0,0,,0,0,0,,,,,,3,3,100.0,,,,0,3,1,34,34.00,0
24,2001,2001-11-11,8,23.298,CHI,,GNB,L 12-20,,0,0,,0,0,0,,,,,,,,,4,4,100.0,0,12,0,0,,0
25,2001,2001-11-18,9,23.305,CHI,@,TAM,W 27-24,,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
26,2001,2001-11-25,10,23.312,CHI,@,MIN,W 13-6,,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0,0,,0
27,2001,2001-12-02,11,23.319,CHI,,DET,W 13-10,,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
28,2001,2001-12-09,12,23.326,CHI,@,GNB,L 7-17,,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0,0,,0
29,2001,2001-12-16,13,23.333,CHI,,TAM,W 27-3,,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
30,2001,2001-12-23,14,23.340,CHI,@,WAS,W 20-15,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
31,2001,2001-12-30,15,23.347,CHI,@,DET,W 24-0,,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0,0,,0
32,2001,2002-01-06,16,23.354,CHI,,JAX,W 33-13,,0,0,,0,0,0,,,,,,3,3,100.0,4,4,100.0,0,15,0,0,,0
33,2002,2002-09-08,1,24.234,CHI,,MIN,W 27-23,,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0,0,,0
34,2002,2002-09-15,2,24.241,CHI,@,ATL,W 14-13,,0,0,,0,0,0,,,,,,2,2,100.0,,1,0.0,0,2,0,0,,0
35,2002,2002-09-22,3,24.248,CHI,,NOR,L 23-29,,0,0,,0,0,0,,,,,,2,2,100.0,3,4,75.0,0,11,0,0,,0
36,2002,2002-09-29,4,24.255,CHI,@,BUF,L 27-33,,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
37,2002,2002-10-07,5,24.263,CHI,,GNB,L 21-34,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
38,2002,2002-10-20,6,24.276,CHI,@,DET,L 20-23,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
39,2002,2002-10-27,7,24.283,CHI,@,MIN,L 7-25,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,
