ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-19,2,22.071,PIT,@,TEN,W 19-11,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,107,53.50,1,1,21,21.00,0,,1,6,0.0,0,0
2,2010,2010-09-26,3,22.078,PIT,@,TAM,W 38-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,67,22.33,0,0,0,,0,,0,0,0.0,0,0
3,2010,2010-10-03,4,22.085,PIT,,BAL,L 14-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,2,45,22.50,0,0,0,,0,,0,0,0.0,0,0
4,2010,2010-11-21,10,22.134,PIT,,OAK,W 35-3,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,66,9.43,0,,0,0,0.0,0,0
5,2010,2010-12-05,12,22.148,PIT,@,BAL,W 13-10,,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,,0,0,0.0,1,0
6,2010,2010-12-12,13,22.155,PIT,,CIN,W 23-7,,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,,,,,2,40,20.00,0,2,1,0.50,0,,0,0,0.0,0,0
7,2010,2010-12-19,14,22.162,PIT,,NYJ,L 17-22,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,,,,,4,57,14.25,0,1,4,4.00,0,,0,0,0.0,0,0
8,2010,2010-12-23,15,22.166,PIT,,CAR,W 27-3,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,2,45,22.50,0,4,3,0.75,0,,0,0,0.0,0,0
9,2010,2011-01-02,16,22.176,PIT,@,CLE,W 41-9,,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,2,36,18.00,0,2,4,2.00,0,,0,0,0.0,0,0
10,2011,2011-09-11,1,23.063,PIT,@,BAL,L 7-35,,9,2,14,7.00,0,22.2%,1.56,0,0,,0,0,0,,0,0,0,,0,0,,,3,103,34.33,0,2,7,3.50,0,,0,0,0.0,0,0
11,2011,2011-09-18,2,23.070,PIT,,SEA,W 24-0,,6,4,67,16.75,0,66.7%,11.17,1,1,1.00,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,4,56,14.00,0,,0,0,0.0,0,0
12,2011,2011-09-25,3,23.077,PIT,@,IND,W 23-20,,8,4,75,18.75,0,50.0%,9.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,65,16.25,0,,0,0,0.0,0,0
13,2011,2011-10-02,4,23.084,PIT,@,HOU,L 10-17,,10,5,67,13.40,0,50.0%,6.70,1,8,8.00,0,0,0,,0,0,0,,0,0,,,2,44,22.00,0,1,33,33.00,0,,0,0,0.0,1,0
14,2011,2011-10-09,5,23.091,PIT,,TEN,W 38-17,,4,2,23,11.50,0,50.0%,5.75,1,10,10.00,0,0,0,,0,0,0,,0,0,,,2,83,41.50,0,0,0,,0,,0,0,0.0,0,0
15,2011,2011-10-16,6,23.098,PIT,,JAX,W 17-13,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,34,34.00,0,4,9,2.25,0,,0,0,0.0,0,0
16,2011,2011-10-23,7,23.105,PIT,@,ARI,W 32-20,,9,7,102,14.57,0,77.8%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,3,66,22.00,0,2,47,23.50,0,,0,0,0.0,0,0
17,2011,2011-10-30,8,23.112,PIT,,NWE,W 25-17,,15,9,67,7.44,1,60.0%,4.47,0,0,,0,0,0,,0,0,0,,0,0,,,3,81,27.00,0,2,12,6.00,0,,1,6,0.0,0,0
18,2011,2011-11-06,9,23.119,PIT,,BAL,L 20-23,,11,5,109,21.80,0,45.5%,9.91,0,0,,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,2,21,10.50,0,,0,0,0.0,0,0
19,2011,2011-11-13,10,23.126,PIT,@,CIN,W 24-17,*,6,5,86,17.20,0,83.3%,14.33,0,0,,0,0,0,,0,0,0,,0,0,,,3,69,23.00,0,3,15,5.00,0,,0,0,0.0,0,0
20,2011,2011-11-27,11,23.140,PIT,@,KAN,W 13-9,,6,4,81,20.25,0,66.7%,13.50,2,5,2.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
21,2011,2011-12-04,12,23.147,PIT,,CIN,W 35-7,,4,2,67,33.50,0,50.0%,16.75,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,65,21.67,1,,0,6,0.0,0,0
22,2011,2011-12-08,13,23.151,PIT,,CLE,W 14-3,*,8,5,151,30.20,1,62.5%,18.88,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0,,1,6,0.0,0,0
23,2011,2011-12-19,14,23.162,PIT,@,SFO,L 3-20,*,10,5,59,11.80,0,50.0%,5.90,0,0,,0,0,0,,0,0,0,,0,0,,,3,85,28.33,0,2,-10,-5.00,0,,0,0,0.0,0,0
24,2011,2011-12-24,15,23.167,PIT,,STL,W 27-0,,6,3,34,11.33,0,50.0%,5.67,1,8,8.00,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,1,5,5.00,0,,0,0,0.0,2,0
25,2011,2012-01-01,16,23.175,PIT,@,CLE,W 13-9,,10,6,90,15.00,0,60.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,73,24.33,0,0,0,,0,,0,0,0.0,0,0
26,2012,2012-09-09,1,24.061,PIT,@,DEN,L 19-31,*,8,4,74,18.50,0,50.0%,9.25,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,,0,0,0.0,0,0
27,2012,2012-09-16,2,24.068,PIT,,NYJ,W 27-10,*,10,7,79,11.29,0,70.0%,7.90,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0
28,2012,2012-09-23,3,24.075,PIT,@,OAK,L 31-34,,11,7,87,12.43,1,63.6%,7.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,22,11.00,0,,1,6,0.0,0,0
29,2012,2012-10-07,4,24.089,PIT,,PHI,W 16-14,*,10,7,86,12.29,0,70.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0
30,2012,2012-10-11,5,24.093,PIT,@,TEN,L 23-26,*,10,4,20,5.00,0,40.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,10,3.33,0,,0,0,0.0,0,0
31,2012,2012-10-21,6,24.103,PIT,@,CIN,W 24-17,*,8,7,96,13.71,0,87.5%,12.00,2,13,6.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,3,10,3.33,0,,0,0,0.0,0,0
32,2012,2012-10-28,7,24.110,PIT,,WAS,W 27-12,*,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,25,8.33,0,,0,0,0.0,0,0
33,2012,2012-11-04,8,24.117,PIT,@,NYG,W 24-20,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
34,2012,2012-12-02,12,24.145,PIT,@,BAL,W 23-20,*,10,5,58,11.60,0,50.0%,5.80,1,4,4.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,5,9,1.80,0,,0,0,0.0,0,0
35,2012,2012-12-09,13,24.152,PIT,,SDG,L 24-34,*,9,4,35,8.75,1,44.4%,3.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,1,6,0.0,0,0
36,2012,2012-12-16,14,24.159,PIT,@,DAL,L 24-27,*,12,8,76,9.50,1,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,51,17.00,0,,1,6,0.0,0,0
37,2012,2012-12-23,15,24.166,PIT,,CIN,L 10-13,*,6,5,97,19.40,1,83.3%,16.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,,1,6,0.0,0,0
38,2012,2012-12-30,16,24.173,PIT,,CLE,W 24-10,,3,2,22,11.00,1,66.7%,7.33,2,-6,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,1,6,0.0,1,0
