ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,23.051,DET,,SFO,L 27-30,0,0,,0,0,0,,0,0,0,,0
2,1984,1984-09-09,2,23.058,DET,@,ATL,W 27-24,0,0,,0,0,0,,0,0,0,,0
3,1984,1984-09-16,3,23.065,DET,@,TAM,L 17-21,0,0,,0,0,0,,0,0,0,,0
4,1984,1984-09-23,4,23.072,DET,,MIN,L 28-29,0,0,,0,0,0,,0,0,0,,0
5,1984,1984-09-30,5,23.079,DET,@,SDG,L 24-27,0,0,,0,0,0,,0,1,0,0.00,0
6,1984,1984-10-07,6,23.086,DET,,DEN,L 7-28,0,0,,0,0,0,,0,0,0,,0
7,1984,1984-10-14,7,23.093,DET,,TAM,W 13-7,0,0,,0,0,0,,0,0,0,,0
8,1984,1984-10-21,8,23.100,DET,@,MIN,W 16-14,0,0,,0,0,0,,0,0,0,,0
9,1984,1984-10-28,9,23.107,DET,@,GNB,L 9-41,0,0,,0,1,12,12.00,0,0,0,,0
10,1984,1984-11-04,10,23.114,DET,,PHI,T 23-23,0,0,,0,0,0,,0,0,0,,0
11,1984,1984-11-11,11,23.121,DET,@,WAS,L 14-28,0,0,,0,0,0,,0,0,0,,0
12,1984,1984-11-18,12,23.128,DET,@,CHI,L 14-16,3,11,3.67,0,0,0,,0,0,0,,0
13,1984,1984-11-22,13,23.132,DET,,GNB,W 31-28,4,35,8.75,0,0,0,,0,0,0,,0
14,1984,1984-12-02,14,23.142,DET,@,SEA,L 17-38,0,0,,0,0,0,,0,0,0,,0
15,1984,1984-12-10,15,23.150,DET,,RAI,L 3-24,0,0,,0,0,0,,0,0,0,,0
16,1984,1984-12-16,16,23.156,DET,,CHI,L 13-30,0,0,,0,0,0,,0,0,0,,0
